run_block,prefix,dataset,horizon,seeds,active_gain_mean_pct,active_gain_min_pct,seed_pass_fraction,passes_3of3_or_all,best_active_rmse_mean,best_control_rmse_mean
mdck,real,MDCK_Bulk,1,3,-0.048373303506443,-0.0519843300568167,0.0,False,2.315380970637003,2.3142613569895425
mdck,real,MDCK_Bulk,2,3,-0.8755321933167305,-1.1709262490363046,0.0,False,5.7130662600199384,5.663464228312175
mdck,real,MDCK_Bulk,4,3,-2.8290001836932586,-6.02533374295002,0.0,False,14.484106063842772,14.087887446085611
mdck,real,MDCK_Bulk,6,3,-2.9857336637619407,-4.759151448493156,0.0,False,23.372156143188477,22.695064544677734
mdck,real,MDCK_Edge,1,3,-0.3098075709660251,-0.3738256137003738,0.0,False,2.2532969315846763,2.2463316917419434
mdck,real,MDCK_Edge,2,3,-1.2457938324363458,-1.6021825939962642,0.0,False,5.45558484395345,5.3885040283203125
mdck,real,MDCK_Edge,4,3,-5.3854944168457015,-6.736751347109517,0.0,False,13.758373896280924,13.05472723642985
mdck,real,MDCK_Edge,6,3,-1.575853316730598,-3.5174983927558614,0.0,False,21.39093462626139,21.060496012369793
guards,real,HUVEC,1,3,-0.5360113350267993,-0.7979013172462244,0.0,False,0.6691640019416809,0.6655513246854147
guards,real,HUVEC,2,3,-0.4668502698614776,-0.9562952630820004,0.0,False,1.6338192621866865,1.6264278491338091
guards,real,HUVEC,4,3,-0.5764176779621041,-0.7829174765152188,0.0,False,4.127621650695801,4.103963534037272
guards,real,HUVEC,6,3,-0.8604761531129667,-2.2039251041001817,0.0,False,6.813131809234619,6.755644957224528
guards,real,MDAMB231,1,3,-0.2593399732908255,-0.4635066777333778,0.0,False,12.699274698893229,12.666499137878418
guards,real,MDAMB231,2,3,-0.2156821956991262,-0.3958007396915005,0.0,False,17.779149373372395,17.7401549021403
guards,real,MDAMB231,4,3,0.0034363088842693,-7.44122086622508e-06,0.0,False,25.652535756429035,25.653420130411785
guards,real,MDAMB231,6,3,-0.0002995548043092,-0.0006118752359342,0.0,False,28.6635684967041,28.663480758666992
synthetic,synthetic,synthetic_boundary_flow,1,3,-0.0873703603477706,-0.1859742648537201,0.0,False,1.5732098817825315,1.5718265374501543
synthetic,synthetic,synthetic_boundary_flow,2,3,-0.3093165954660496,-0.526647819783718,0.0,False,1.590860644976298,1.585944692293803
synthetic,synthetic,synthetic_boundary_flow,4,3,-0.1523520568727463,-1.125015205037435,0.3333333333333333,False,1.6938817898432414,1.6912272771199544
synthetic,synthetic,synthetic_boundary_flow,6,3,-2.7249434022272556,-5.419328815871408,0.0,False,1.9199723800023396,1.8692262172698977
synthetic,synthetic,synthetic_density_pressure,1,3,-0.0539490461203442,-0.2566336778439115,0.0,False,1.65884796778361,1.6579384406407671
synthetic,synthetic,synthetic_density_pressure,2,3,-0.4218807196643669,-1.1996304879588628,0.0,False,1.8996000289916992,1.891697923342387
synthetic,synthetic,synthetic_density_pressure,4,3,-0.8175907344490944,-1.791324926855176,0.0,False,2.684354941050211,2.6623290379842124
synthetic,synthetic,synthetic_density_pressure,6,3,-0.7911538237234135,-1.4721644167169925,0.0,False,3.6499880154927578,3.621243397394816
synthetic,synthetic,synthetic_mixed_active,1,3,-0.2127227227875684,-0.2531313721526095,0.0,False,1.5942166248957317,1.590833743413289
synthetic,synthetic,synthetic_mixed_active,2,3,-1.049828011733115,-1.621592740553527,0.0,False,1.7044827143351238,1.6867727835973103
synthetic,synthetic,synthetic_mixed_active,4,3,-1.6239843766054871,-2.8384893286735644,0.0,False,2.037502447764078,2.0050633351008096
synthetic,synthetic,synthetic_mixed_active,6,3,-0.3280494838158023,-1.9262460924210003,0.3333333333333333,False,2.4982194900512695,2.4900803565979004
synthetic,synthetic,synthetic_nonreciprocal_front_back,1,3,-0.4716516066277577,-0.5709411214307067,0.0,False,1.6456679105758667,1.6379284063975017
synthetic,synthetic,synthetic_nonreciprocal_front_back,2,3,-1.3654955845923584,-2.1002309592330697,0.0,False,1.8714301983515425,1.846204439798991
synthetic,synthetic,synthetic_nonreciprocal_front_back,4,3,-2.8846887943643527,-3.5302327529471476,0.0,False,2.622138738632202,2.548659165700277
synthetic,synthetic,synthetic_nonreciprocal_front_back,6,3,-4.184367798034988,-4.9818822842859145,0.0,False,3.5608669916788735,3.417775313059489
synthetic,synthetic,synthetic_null,1,3,-0.0492181322495674,-0.1289358134344865,0.0,False,3.401234229405721,3.3995566368103027
synthetic,synthetic,synthetic_null,2,3,-0.0325256787466487,-0.1045809880799875,0.0,False,3.3883771896362305,3.3872807820638022
synthetic,synthetic,synthetic_null,4,3,-0.0178953611533695,-0.0533756004579934,0.0,False,3.4101103941599527,3.409500996271769
synthetic,synthetic,synthetic_null,6,3,0.0068467093219643,-0.0422704366119606,0.0,False,3.4081857204437256,3.408416271209717
synthetic,synthetic,synthetic_polarity_contact,1,3,-0.0233703461086659,-0.0679345739146157,0.0,False,1.6266464789708457,1.6262658437093098
synthetic,synthetic,synthetic_polarity_contact,2,3,-0.2883181683960822,-0.3212269331034852,0.0,False,1.7988307873408,1.7936590512593586
synthetic,synthetic,synthetic_polarity_contact,4,3,-1.1528681966744885,-1.2972500473215212,0.0,False,2.378509839375814,2.3513901233673096
synthetic,synthetic,synthetic_polarity_contact,6,3,-1.172938765510325,-2.1703180320096656,0.0,False,3.123050848642985,3.0866753260294595
