operating_point,condition,horizon,movies,component_rmse_mean,component_rmse_std,vector_rmse_mean,r2_mean,rmse_improvement_percent_mean,movies_improved,source_path,source_sha256
h1_strict,tracking_noise_1px,2,6,4.41363559015856,0.5111576949340014,6.241823310974815,0.7549891530329536,5.953535190223,6,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h1_strict,missing_0.1,2,6,4.416786434874279,0.5291451582259201,6.2462792783047165,0.7546989053422871,5.923116952561429,6,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h1_strict,missing_0.2,2,6,4.446578925286229,0.5309041500304252,6.288412222302166,0.751399823704647,5.285793270643614,6,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h1_strict,tracking_noise_2px,2,6,4.494524740215766,0.4681711361174141,6.356217844034549,0.7458237711400192,4.1256687174788285,6,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h1_strict,missing_0.4,2,6,4.507209599819152,0.5267640938192616,6.374156944522455,0.7445803866410259,3.9748633532930207,6,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h1_strict,update_every_2,2,6,4.550486995736128,0.5396319464953344,6.4353604247724325,0.7397464646683597,3.0655014997186907,6,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h1_strict,update_every_3,2,6,4.591349242706035,0.5326344848212149,6.493148368626315,0.734972704328646,2.1767896136919167,6,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h1_strict,update_every_6,2,6,4.649752805650796,0.5292166526651946,6.575743479433707,0.728213182658722,0.9135318739953004,6,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h1_strict,no_update,2,6,4.692148016038391,0.5283004496556833,6.6356993609435015,0.7232227225122463,0.0,0,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h1_strict,delay_1frame,2,6,4.767351655335727,0.4928896624977268,6.74205336757761,0.7141759711674843,-1.6947027904991518,0,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
