operating_point,calibration_mode,condition,horizon,movies,nll_mean,coverage_50_mean,coverage_90_mean,calibration_error_mean,uncertainty_error_corr_mean,scale_factor_mean,update_scale_factor_mean,prior_scale_factor_mean,mean_step_scale_mean,mean_endpoint_scale_mean,source_path,source_sha256
h1_strict,frozen_state_aware_scale,tracking_noise_0.5px,1,6,2.520914760914955,0.505628399116017,0.9140647413128026,0.0936111826138396,0.2821200089663454,1.0120381122786553,1.0083333333333333,1.0666666666666669,2.443035577927532,2.443035577927532,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_base_scale,tracking_noise_1px,1,6,2.5284327278218885,0.4965354249498696,0.9097285514404208,0.0869845392831428,0.2768831933368603,1.0,1.0,1.0,2.4188314791447048,2.4188314791447048,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_state_aware_scale,tracking_noise_1px,1,6,2.5291670501317447,0.5044678136229281,0.9144259885433458,0.0923519576497757,0.276482287163265,1.0209714783434352,1.0083333333333333,1.0666666666666669,2.4614197049791264,2.4614197049791264,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_base_scale,tracking_noise_2px,1,6,2.550149710051799,0.4833267076667312,0.9050518213770852,0.0805819809759234,0.2636659376439504,1.0,1.0,1.0,2.4188314791447048,2.4188314791447048,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_state_aware_scale,tracking_noise_2px,1,6,2.5513933755889293,0.4991151001726003,0.9136927773893184,0.0879652977713789,0.263517789747008,1.040718618206766,1.0083333333333333,1.0666666666666669,2.5039486759622975,2.5039486759622975,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_base_scale,update_every_1,1,6,2.5185268995971044,0.5028939592647178,0.9113027138830944,0.0874165777827359,0.2838502750141866,1.0,1.0,1.0,2.4188314791447048,2.4188314791447048,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_state_aware_scale,update_every_1,1,6,2.518082165945733,0.5056674822263413,0.9134463152029684,0.093258580562641,0.2838502750141864,1.0083333333333335,1.0083333333333333,1.0666666666666669,2.43555378648289,2.43555378648289,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_base_scale,update_every_2,1,6,2.52852994701304,0.5009820966557622,0.90777887627454,0.0941609183816575,0.2755427176878741,1.0,1.0,1.0,2.4188314791447048,2.4188314791447048,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_state_aware_scale,update_every_2,1,6,2.5302958586622144,0.5151122854865441,0.9160766330877348,0.1033032557621454,0.2719120048369514,1.0374715440115436,1.0083333333333333,1.0666666666666669,2.5069864087709894,2.5069864087709894,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
h1_strict,frozen_base_scale,update_every_3,1,6,2.53044570358434,0.5004789681673244,0.9073413483041918,0.0973252409318641,0.2748100589156397,1.0,1.0,1.0,2.4188314791447048,2.4188314791447048,outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_uncertainty_aggregate.csv,234684c9bb6a732f53bec961e4d413aee94f2e936fa2a5dd27186dd5c166f502
