objective_name,control,horizon,movies,component_rmse,vector_rmse,r2,gain_vs_v97_percent
h1_strict,constant_velocity,1,7,3.9884311513582857,5.640493426842227,0.3062124846780081,-16.59893676867996
h1_strict,constant_velocity,2,7,4.537854605402277,6.41749552703711,0.7284556636527725,-3.837086053789388
h1_strict,constant_velocity,4,7,5.502760154346495,7.782078040763079,0.8797342234508998,1.7677793458243347
h1_strict,constant_velocity,6,7,6.180445456988423,8.74046978678021,0.9219210368698452,4.832443547169775
h1_strict,imm_cv_ca_turn,1,7,3.7692661884769465,5.33054736393844,0.3809645852948509,-10.258852698786717
h1_strict,imm_cv_ca_turn,2,7,4.928032550320766,6.969290468479699,0.6799039978199727,-12.793246652929891
h1_strict,imm_cv_ca_turn,4,7,6.486481052290115,9.173269476224789,0.8329681499535806,-15.811252521110694
h1_strict,imm_cv_ca_turn,6,7,7.631675543784056,10.792819057650478,0.8809993794220234,-17.51866987741915
h1_strict,kalman_ca,1,7,4.201152536187616,5.941326894274652,0.230848251314841,-22.88517836489672
h1_strict,kalman_ca,2,7,5.538481218848481,7.83259525464419,0.5955996248727703,-26.758188962572607
h1_strict,kalman_ca,4,7,6.676050236108632,9.441360786988932,0.8229894041302711,-19.190893049333663
h1_strict,kalman_ca,6,7,6.934950076944387,9.80750045319509,0.9016893607363388,-6.789654050599781
h1_strict,kalman_cv,1,7,3.74255606413844,5.292773543846254,0.3896156519137907,-9.480259971882772
h1_strict,kalman_cv,2,7,4.928030306533,6.96928729528461,0.6798814175216054,-12.80102971942981
h1_strict,kalman_cv,4,7,6.531656804060132,9.23715763706834,0.8306074155442056,-16.624030121586845
h1_strict,kalman_cv,6,7,7.600179935035357,10.74827754060287,0.8819597914155072,-17.04453203440488
h1_strict,real,1,7,3.41059935231342,4.823315859862533,0.4932774364403238,0.2108891783561594
h1_strict,real,2,7,4.151639131466207,5.871304365798367,0.7726452748133286,5.029249620636968
h1_strict,real,4,7,5.0042909800406905,7.077136174034892,0.900470004652734,10.693256017340037
h1_strict,real,6,7,5.681860930665063,8.035364787664347,0.9339636335727484,12.544555830896613
h1_strict,stale_time,1,7,3.5539879637876832,5.026097978899282,0.4488976575307606,-3.8979706352780217
h1_strict,stale_time,2,7,4.499488825323188,6.363238120518239,0.7330174833432386,-2.9814145115419715
h1_strict,stale_time,4,7,5.332778850298145,7.541688175228037,0.8869605678910821,4.8393588173809885
