split,source_groups,target_group,variant,control,validation_rmse,alpha,threshold,innovation_rmse,displacement_rmse,displacement_r2,angular_cosine,magnitude_ratio,gain_vs_cv_percent
high_to_low_density,4,low_density/island02,mechanics_source_pde,wrong_island,0.09211042903898477,100.0,0.01,0.21772356000656387,0.21772356035350743,0.1854234326296459,0.66432422449053,1.0463229674690333,6.0928314286998075
high_to_low_density,4,low_density/island03,relaxation,real,0.09213206922695752,100.0,0.0,0.18480662231620293,0.1848066214334207,0.13407564702234276,0.6101815768618484,1.0440685198378858,5.629417280874307
high_to_low_density,4,low_density/island03,helmholtz_pde,real,0.09210794352760189,100.0,0.0,0.18425408367693225,0.18425408280532735,0.13924582329158552,0.61371610473212,1.042912403879549,5.91156838511264
high_to_low_density,4,low_density/island03,boundary_pde,real,0.09300494632185038,100.0,0.03,0.18440533228870457,0.18440533141179621,0.13783210912688693,0.6140013556002094,1.045090651571385,5.834334035946937
high_to_low_density,4,low_density/island03,mechanics_source_pde,real,0.09209166784283301,100.0,0.0,0.18415112659967248,0.1841511257287744,0.14020749505125463,0.6150223385804122,1.0438379820969241,5.9641429045427214
high_to_low_density,4,low_density/island03,mechanics_source_pde,time_shuffled,0.09206225865273068,0.01,0.01,0.18427016164163124,0.18427016077083289,0.13909559834619833,0.6139394751336211,1.0435407616672825,5.903358251937068
high_to_low_density,4,low_density/island03,mechanics_source_pde,spatial_shifted,0.09210794352760189,100.0,0.03,0.18425408367693225,0.18425408280532735,0.13924582329158552,0.61371610473212,1.042912403879549,5.91156838511264
high_to_low_density,4,low_density/island03,mechanics_source_pde,wrong_island,0.09211042903898477,100.0,0.01,0.18426056260942342,0.18426056173847524,0.13918528876523129,0.6134203410589616,1.0429753043652175,5.908259950101908
high_to_low_density,4,low_density/island04,relaxation,real,0.09213206922695752,100.0,0.0,0.18457680695545334,0.18457680742005458,0.2997639402715383,0.641408253979252,0.9905862897322207,3.5101151183686716
high_to_low_density,4,low_density/island04,helmholtz_pde,real,0.09210794352760189,100.0,0.0,0.1840632585521094,0.18406325901414552,0.30365505587003283,0.6440532261153823,0.9903793928223199,3.7785791104591886
