outer_group,validation_group,variant,control,n_test,validation_rmse,alpha,threshold,innovation_rmse,displacement_rmse,displacement_r2,angular_cosine,magnitude_ratio,gain_vs_cv_percent
cn03_1_4/island01,cn03_1_4/island02,cv,real,6172,,,,0.10734809056153762,0.10734808965014805,-0.4351442008593165,0.4393384436342895,1.0122785239856171,0.0
cn03_1_4/island01,cn03_1_4/island02,persistence,real,6172,,,,0.1724778984204209,0.1724778975604542,-2.704877043818912,0.2925163851937028,1.6972012170968147,-60.67160405235616
cn03_1_4/island01,cn03_1_4/island02,relaxation,real,6172,0.08621527340261598,0.01,0.0,0.09831397237778072,0.09831397148772307,-0.2037529943042542,0.4561879725200945,0.9245495698933299,8.415723271711268
cn03_1_4/island01,cn03_1_4/island02,relaxation,kin_time_shuffled,6172,0.09453206449586574,0.01,0.0,0.10729903783863926,0.10729903692853726,-0.4338329219150818,0.4382371690405735,1.010535133834886,0.04569501122065391
cn03_1_4/island01,cn03_1_4/island02,relaxation,kin_spatial_shifted,6172,0.09481786324607379,100.0,0.0,0.1078212647235285,0.10782126381667873,-0.44782388224495073,0.433453156254227,1.0248476473140982,-0.4407848971255712
cn03_1_4/island01,cn03_1_4/island02,relaxation,kin_wrong_island,6172,0.09496531877667666,100.0,0.0,0.10744824243572922,0.10744824152370011,-0.43782332499744725,0.4377677805192939,1.0162483053546376,-0.09329637246312995
cn03_1_4/island01,cn03_1_4/island02,isotropic_pde,real,6172,0.08585116901107905,0.01,0.0,0.0976701453327448,0.09767014445721305,-0.18803862408987038,0.45191508992534524,0.923132861806051,9.015479664776374
cn03_1_4/island01,cn03_1_4/island02,helmholtz_pde,real,6172,0.08592145258416234,0.01,0.0,0.09758449873990586,0.09758449786519569,-0.18595596419083016,0.45300709390663013,0.9238011264063939,9.095263657483171
cn03_1_4/island01,cn03_1_4/island02,helmholtz_pde,kin_time_shuffled,6172,0.09454636321346363,100.0,0.0,0.10727376960472113,0.10727376869405295,-0.4331576845317311,0.4384319447899492,1.0105195780896883,0.06923360847624183
cn03_1_4/island01,cn03_1_4/island02,helmholtz_pde,kin_spatial_shifted,6172,0.09478436978210918,100.0,0.0,0.10784601356585775,0.10784601266054243,-0.4484886134546502,0.43381881977194936,1.0243050844970112,-0.46383965659484877
cn03_1_4/island01,cn03_1_4/island02,helmholtz_pde,kin_wrong_island,6172,0.09518960912131777,100.0,0.0,0.10756965072722216,0.10756964981700436,-0.4410744214376334,0.4356240198186163,1.0170805665719749,-0.20639414038794365
cn03_1_4/island01,cn03_1_4/island02,advective_pde,real,6172,0.08607760992090695,0.01,0.01,0.09714324918917595,0.09714324835449964,-0.17525509699626873,0.4548803598618282,0.9273640366067105,9.5063091750458
cn03_1_4/island01,cn03_1_4/island02,advective_pde,kin_time_shuffled,6172,0.09443833158427972,0.01,0.0,0.10726867458203608,0.10726867366987806,-0.43302155060574976,0.438126486018981,1.00987523169275,0.07397987288717438
cn03_1_4/island01,cn03_1_4/island02,advective_pde,kin_spatial_shifted,6172,0.09475840760394914,100.0,0.03,0.10779781117714986,0.10779781027164403,-0.4471940823657612,0.4336116717748659,1.0237902612777179,-0.41893677191800877
cn03_1_4/island01,cn03_1_4/island02,advective_pde,kin_wrong_island,6172,0.09514164135665867,100.0,0.01,0.1075660578018151,0.10756605689123071,-0.44097815660884954,0.4356597390432058,1.017224775994085,-0.20304715416270352
cn03_1_4/island01,cn03_1_4/island02,boundary_pde,real,6172,0.08607760992090695,0.01,0.01,0.09714324918917595,0.09714324835449964,-0.17525509699626873,0.4548803598618282,0.9273640366067105,9.5063091750458
cn03_1_4/island01,cn03_1_4/island02,mechanics_source_pde,real,6172,0.08591997082222853,0.1,0.0,0.0975759865809865,0.09757598570615851,-0.18574907465999768,0.45307754618383794,0.9243205145487484,9.103193150280775
cn03_1_4/island01,cn03_1_4/island02,mechanics_source_pde,time_shuffled,6172,0.08592131578535137,1.0,0.0,0.0975841236802522,0.0975841228055343,-0.1859468479193469,0.45303283835917424,0.924093916973416,9.095613043916227
cn03_1_4/island01,cn03_1_4/island02,mechanics_source_pde,spatial_shifted,6172,0.08585135034913362,1.0,0.03,0.09758468559279261,0.0975846847180609,-0.18596050588519608,0.4530076682095766,0.9238293182392346,9.095089594893127
cn03_1_4/island01,cn03_1_4/island02,mechanics_source_pde,wrong_island,6172,0.08592116469210631,0.01,0.0,0.09758518626694031,0.0975851853922139,-0.18597267544431784,0.45295175972261204,0.9237962114601287,9.09462319241252
cn03_1_4/island01,cn03_1_4/island02,mechanics_source_pde,kin_time_shuffled,6172,0.0945326710934706,1.0,0.03,0.10727190175916534,0.1072719008484472,-0.43310777682342927,0.438435590149413,1.0108196560475753,0.07097359808558487
cn03_1_4/island01,cn03_1_4/island02,mechanics_source_pde,kin_spatial_shifted,6172,0.09478529611706348,100.0,0.0,0.10784460800990939,0.1078446071045496,-0.4484508574257753,0.43383757485956104,1.0245723295752143,-0.4625303123881546
cn03_1_4/island01,cn03_1_4/island02,mechanics_source_pde,kin_wrong_island,6172,0.09519029305560178,100.0,0.0,0.10756813364263218,0.10756813273236736,-0.44103377397893584,0.4356237604467923,1.0173522254913294,-0.20498090179008643
cn03_1_4/island01,cn03_1_4/island02,full_sparse_pde,real,6172,0.08600615739170081,0.01,0.03,0.09713283902506337,0.09713283819035522,-0.1750032227151379,0.4549028011389391,0.9278417886650872,9.516006752504653
cn03_1_4/island01,cn03_1_4/island02,full_sparse_pde,time_shuffled,6172,0.08607722606365734,10.0,0.01,0.09714307926871957,0.09714307843404071,-0.17525098554819252,0.4549182766117816,0.9276537706089741,9.506467464270582
cn03_1_4/island01,cn03_1_4/island02,full_sparse_pde,spatial_shifted,6172,0.08600768108973628,1.0,0.03,0.09714044411696994,0.09714044328236797,-0.17518722552235277,0.4549313545815645,0.9273775898936424,9.508922237039554
cn03_1_4/island01,cn03_1_4/island02,full_sparse_pde,wrong_island,6172,0.08607725216137223,0.01,0.01,0.09714127521261118,0.09714127437800767,-0.17520733449291237,0.45494347490261305,0.9273366526355372,9.50814803077058
cn03_1_4/island01,cn03_1_4/island02,full_sparse_pde,kin_time_shuffled,6172,0.09442880272664239,1.0,0.03,0.10726646500916415,0.10726646409671436,-0.43296251504127947,0.43800009703056814,1.0101434166165866,0.0760381984436898
cn03_1_4/island01,cn03_1_4/island02,full_sparse_pde,kin_spatial_shifted,6172,0.09475937558482828,100.0,0.03,0.10779781117714986,0.10779781027164403,-0.4471940823657612,0.4336116717748659,1.0237902612777179,-0.41893677191800877
cn03_1_4/island01,cn03_1_4/island02,full_sparse_pde,kin_wrong_island,6172,0.09514233578967457,100.0,0.01,0.10756459543403579,0.10756459452340551,-0.4409389764840055,0.4356509398471591,1.0174946347781173,-0.20168488695332837
cn03_1_4/island02,cn03_1_4/island03,cv,real,5423,,,,0.09457354342339776,0.09457354361639536,-0.506877868278556,0.44574235135761514,1.0163999093650449,0.0
cn03_1_4/island02,cn03_1_4/island03,persistence,real,5423,,,,0.1492329548262371,0.14923295505465134,-2.7520464631127513,0.29877457776767413,1.7401143920040816,-57.79566816271878
cn03_1_4/island02,cn03_1_4/island03,relaxation,real,5423,0.15689349639087638,0.01,0.0,0.08618812108732453,0.08618812123504435,-0.25150779206866813,0.4573423130937035,0.9224269752957844,8.866562529753093
cn03_1_4/island02,cn03_1_4/island03,relaxation,kin_time_shuffled,5423,0.16842603189941235,100.0,0.0,0.09453204942056721,0.09453204961629251,-0.5055558775536446,0.44603692394736316,1.014688121023219,0.04387484968434436
cn03_1_4/island02,cn03_1_4/island03,relaxation,kin_spatial_shifted,5423,0.1689942593499345,100.0,0.0,0.0947924465258205,0.09479244672087188,-0.5138616817978803,0.44376911609936853,1.0228718222326318,-0.23146336290878702
cn03_1_4/island02,cn03_1_4/island03,relaxation,kin_wrong_island,5423,0.16860397214222464,100.0,0.0,0.09494460648229158,0.09494460667299202,-0.5187256557984452,0.4340411352678665,1.0334454287229544,-0.3923539738573726
cn03_1_4/island02,cn03_1_4/island03,isotropic_pde,real,5423,0.15584684889762937,0.01,0.0,0.08583857183669036,0.08583857198850446,-0.24137701072971796,0.4556086793389297,0.9232975718538848,9.23616827061199
cn03_1_4/island02,cn03_1_4/island03,helmholtz_pde,real,5423,0.1556588170507273,0.01,0.0,0.08591131505877779,0.08591131521181765,-0.2434818926208122,0.4553800057526235,0.9240018738480893,9.159251174634022
cn03_1_4/island02,cn03_1_4/island03,helmholtz_pde,kin_time_shuffled,5423,0.1684462722744345,100.0,0.0,0.09454934587205874,0.0945493460667026,-0.506106868566971,0.44468988766122136,1.0149781051137714,0.025585960689932522
cn03_1_4/island02,cn03_1_4/island03,helmholtz_pde,kin_spatial_shifted,5423,0.16924248883988818,100.0,0.0,0.09476366582285652,0.09476366601553708,-0.512942549648296,0.4425513391979869,1.0237555300616024,-0.2010312735164983
cn03_1_4/island02,cn03_1_4/island03,helmholtz_pde,kin_wrong_island,5423,0.16856544631633583,100.0,0.01,0.09515497714622624,0.09515497733724806,-0.5254632534847685,0.4321940897472335,1.0389985281885226,-0.6147953207834599
cn03_1_4/island02,cn03_1_4/island03,advective_pde,real,5423,0.15367929348484013,0.01,0.0,0.08609820433488911,0.08609820445408739,-0.24889785347261317,0.4565324735302565,0.9282040911731477,8.961638570597747
cn03_1_4/island02,cn03_1_4/island03,advective_pde,kin_time_shuffled,5423,0.16845731085516594,100.0,0.0,0.09444293383584901,0.09444293402829392,-0.5027186333098874,0.44401175888104766,1.0142587558958003,0.13810372658892703
cn03_1_4/island02,cn03_1_4/island03,advective_pde,kin_spatial_shifted,5423,0.16917850345654792,100.0,0.03,0.09474009874317797,0.09474009893581882,-0.512190126161145,0.44340924970763324,1.0234258842342259,-0.17611195801125137
cn03_1_4/island02,cn03_1_4/island03,advective_pde,kin_wrong_island,5423,0.16856667335619094,100.0,0.03,0.09510821010057834,0.09510821029267948,-0.5239641437499301,0.43197305069941694,1.038018391763042,-0.5653448690183422
cn03_1_4/island02,cn03_1_4/island03,boundary_pde,real,5423,0.15367929348484013,0.01,0.01,0.08607740006522642,0.08607740018454761,-0.24829437355994655,0.45652625836788724,0.9281703685036524,8.983636550946422
cn03_1_4/island02,cn03_1_4/island03,mechanics_source_pde,real,5423,0.1556456712382408,0.01,0.0,0.08590972066349774,0.08590972081633709,-0.24343573843244504,0.4556020990238289,0.9247777683899799,9.16093705360143
cn03_1_4/island02,cn03_1_4/island03,mechanics_source_pde,time_shuffled,5423,0.15565794507776187,1.0,0.0,0.08591123134017552,0.08591123149319824,-0.24347946913244356,0.4555408000747537,0.924418097808679,9.159339696874188
cn03_1_4/island02,cn03_1_4/island03,mechanics_source_pde,spatial_shifted,5423,0.1556587726600304,0.01,0.0,0.08591157108747188,0.08591157124053377,-0.24348930416016734,0.4553803964830519,0.9240085810717339,9.158980455460005
cn03_1_4/island02,cn03_1_4/island03,mechanics_source_pde,wrong_island,5423,0.15565764481455363,0.01,0.0,0.08591108557224965,0.08591108572527965,-0.24347524944528254,0.45537842265822354,0.9239974758970311,9.159493828688444
cn03_1_4/island02,cn03_1_4/island03,mechanics_source_pde,kin_time_shuffled,5423,0.16840189893378119,0.01,0.03,0.09453258629602013,0.09453258649075427,-0.505572978564359,0.44539724900523975,1.0152005011429581,0.04330717035116852
cn03_1_4/island02,cn03_1_4/island03,mechanics_source_pde,kin_spatial_shifted,5423,0.16923850528825304,100.0,0.0,0.09476461711105756,0.09476461730363768,-0.5129729252453754,0.442668445505706,1.0240937877012926,-0.20203714478262802
cn03_1_4/island02,cn03_1_4/island03,mechanics_source_pde,kin_wrong_island,5423,0.16856141216540954,0.01,0.01,0.0951573751821,0.09515737537300924,-0.5255401419803856,0.4323416685426152,1.0394113291052325,-0.6173309514360441
