variant,control,n_islands,displacement_rmse_macro,displacement_r2_macro,gain_vs_cv_percent_mean,gain_vs_cv_percent_ci_low,gain_vs_cv_percent_ci_high,positive_islands,sign_test_one_sided_p
advective_pde,kin_spatial_shifted,22,0.11735587588213058,-0.1779846566168008,0.6725159912381788,0.10900629855262423,1.34324289766936,10,0.7382664680480957
advective_pde,kin_time_shuffled,22,0.11821203087299294,-0.1958433815882727,-0.01540386374123087,-0.09205024429598083,0.052477750025773075,11,0.5840940475463867
advective_pde,kin_wrong_island,22,0.1180469876440615,-0.19511859327819342,0.03405791886960786,-0.2439107784052805,0.33200305607023994,8,0.9330997467041016
advective_pde,real,22,0.10846628374377744,0.020385859663178043,8.829368571263005,7.823971380116118,9.778230289794681,22,2.384185791015625e-07
boundary_pde,real,22,0.10846535118034512,0.020412651067037456,8.830343638040613,7.8239836662534685,9.77919320117361,22,2.384185791015625e-07
cv,real,22,0.11823602415867783,-0.19483142035163203,0.0,0.0,0.0,0,1.0
full_sparse_pde,kin_spatial_shifted,22,0.11735654388654373,-0.1780256979259943,0.6710284446080578,0.10714676325837162,1.3425755077064918,10,0.7382664680480957
full_sparse_pde,kin_time_shuffled,22,0.11822071178404467,-0.1959098429067376,-0.020387831556497912,-0.09595383949005117,0.0465775162406578,10,0.7382664680480957
full_sparse_pde,kin_wrong_island,22,0.11805823724995493,-0.19543892605127133,0.021920451829712473,-0.25133312242239964,0.31257741566321257,7,0.9737606048583984
full_sparse_pde,real,22,0.10846499617547675,0.02039012873334844,8.828874839262259,7.824443628494409,9.780608944448176,22,2.384185791015625e-07
full_sparse_pde,spatial_shifted,22,0.10845505853058741,0.02061097282358729,8.838586208716654,7.833468475740027,9.792291834982363,22,2.384185791015625e-07
full_sparse_pde,time_shuffled,22,0.10846618267488269,0.0203841275398877,8.829176369092345,7.8235138773362065,9.77820652692292,22,2.384185791015625e-07
full_sparse_pde,wrong_island,22,0.10845830231017718,0.02052101316250965,8.835049191128872,7.828445627322021,9.785114346578922,22,2.384185791015625e-07
helmholtz_pde,kin_spatial_shifted,22,0.1174097419589491,-0.17972293780825274,0.614087460261511,0.07485194389549539,1.2449768933190717,10,0.7382664680480957
helmholtz_pde,kin_time_shuffled,22,0.11821594671746155,-0.19540652104265854,-0.006969359296670008,-0.05921822741734125,0.03934622099329794,13,0.2617335319519043
helmholtz_pde,kin_wrong_island,22,0.1180548011781582,-0.19514203964496749,0.031649562521191096,-0.2349212231391943,0.31625080048727877,8,0.9330997467041016
helmholtz_pde,real,22,0.10900414575355276,0.012117446154236261,8.443805245922398,7.367652527796747,9.476725908612979,22,2.384185791015625e-07
isotropic_pde,real,22,0.1090491472251352,0.011352449975144579,8.409998260541185,7.339116481716321,9.434913206845117,22,2.384185791015625e-07
mechanics_source_pde,kin_spatial_shifted,22,0.1174106032144605,-0.17975208530931439,0.6127779667743755,0.07272706757601981,1.2432697893541629,10,0.7382664680480957
mechanics_source_pde,kin_time_shuffled,22,0.1182175673869429,-0.1954595438388374,-0.009376578318114734,-0.06207649430367626,0.03765097771206294,12,0.4159059524536133
mechanics_source_pde,kin_wrong_island,22,0.11805578441346537,-0.19518484370549966,0.02992649149313337,-0.23753109319996166,0.3154967281555525,7,0.9737606048583984
mechanics_source_pde,real,22,0.10900576788781002,0.012035290108807132,8.440249160979214,7.366855122620173,9.473740798502154,22,2.384185791015625e-07
mechanics_source_pde,spatial_shifted,22,0.1090074265193044,0.012025950583508466,8.440285318835903,7.364426599682119,9.473196069813959,22,2.384185791015625e-07
mechanics_source_pde,time_shuffled,22,0.10900533703965234,0.012076735767402102,8.442172469831482,7.367014083941599,9.475124795688306,22,2.384185791015625e-07
mechanics_source_pde,wrong_island,22,0.10900440359174306,0.012110589255788179,8.443484384015962,7.367430719291949,9.476453587190331,22,2.384185791015625e-07
persistence,real,22,0.1930937657551171,-2.2285003666960126,-63.2553863976771,-66.09729038095695,-60.68720052045848,0,1.0
relaxation,kin_spatial_shifted,22,0.11777451448665821,-0.18674395599593677,0.32274054141813785,-0.020150203916739145,0.730806674837734,10,0.7382664680480957
relaxation,kin_time_shuffled,22,0.11822146356684371,-0.19550333165109282,-0.011386248483128308,-0.07329082999646847,0.041636333949059905,14,0.14313936233520508
relaxation,kin_wrong_island,22,0.1181428034349662,-0.19519262679079102,0.014519811124550903,-0.13868744305646963,0.17889694072148787,8,0.9330997467041016
relaxation,real,22,0.10947566918217332,0.005375355128839334,8.109846889905041,6.941608478444916,9.237734259948422,22,2.384185791015625e-07
