outer_group,target,variant,n_test,rmse,r2,gain_vs_velocity_percent,validation_rmse,alpha,threshold
cn03_1_4/island01,traction,velocity_only,6172,49.209013588200726,0.009613894272866741,0.0,48.96646408696382,0.01,0.03
cn03_1_4/island01,traction,velocity_plus_innovation,6172,49.212238983941496,0.009484060667925065,-0.0065544815991674145,48.95928474121247,0.01,0.0
cn03_1_4/island01,traction,velocity_plus_time_shuffled_innovation,6172,49.2023693929495,0.009881319849761372,0.01350198828781142,48.961463989951035,0.01,0.0
cn03_1_4/island01,stress_div,velocity_only,6172,8.463954844089676,0.012054572982381107,0.0,8.475757326529267,0.01,0.03
cn03_1_4/island01,stress_div,velocity_plus_innovation,6172,8.46471073843026,0.011878103301844467,-0.008930746376931437,8.474480916406243,0.01,0.03
cn03_1_4/island01,stress_div,velocity_plus_time_shuffled_innovation,6172,8.462635172858858,0.012362623188814426,0.015591661996386225,8.474811931594777,0.01,0.03
cn03_1_4/island01,force_balance,velocity_only,6172,18.247028556819338,0.010814179694620063,0.0,18.211709939787415,0.01,0.03
cn03_1_4/island01,force_balance,velocity_plus_innovation,6172,18.248226364914206,0.01068430718759672,-0.006564400834573376,18.208982646137667,0.01,0.0
cn03_1_4/island01,force_balance,velocity_plus_time_shuffled_innovation,6172,18.244289937185798,0.011111082876285705,0.01500857865713404,18.209758662830122,0.01,0.0
cn03_1_4/island02,traction,velocity_only,5423,48.96097989056865,0.009260793438484738,0.0,60.46122980781975,100.0,0.0
cn03_1_4/island02,traction,velocity_plus_innovation,5423,48.95405576192602,0.009540997007006946,0.0141421365710131,60.456922063369824,100.0,0.0
cn03_1_4/island02,traction,velocity_plus_time_shuffled_innovation,5423,48.955571078832754,0.009479679002686536,0.011047188491705707,60.451195287114636,100.0,0.0
cn03_1_4/island02,stress_div,velocity_only,5423,8.475082796340363,0.011950499459314368,0.0,10.366537392911518,100.0,0.0
cn03_1_4/island02,stress_div,velocity_plus_innovation,5423,8.473847943889854,0.012238403775996609,0.014570388044371751,10.365899240114906,100.0,0.0
cn03_1_4/island02,stress_div,velocity_plus_time_shuffled_innovation,5423,8.474053537385466,0.012190472818470743,0.012144529789631289,10.364425283048545,100.0,0.0
cn03_1_4/island02,force_balance,velocity_only,5423,18.209961338614292,0.010557002037379637,0.0,22.378493845237777,100.0,0.0
cn03_1_4/island02,force_balance,velocity_plus_innovation,5423,18.207321724244977,0.010843829517600434,0.0144954419190199,22.37696661119467,100.0,0.0
cn03_1_4/island02,force_balance,velocity_plus_time_shuffled_innovation,5423,18.207843586667842,0.010787125863838676,0.011629634500977443,22.374370506240307,100.0,0.0
cn03_1_4/island03,traction,velocity_only,6225,60.46391764541439,0.0014677865987486882,0.0,49.20508731021676,0.01,0.0
cn03_1_4/island03,traction,velocity_plus_innovation,6225,60.45986726218408,0.0016015623388691003,0.0066988435219505794,49.208995349405384,0.01,0.0
cn03_1_4/island03,traction,velocity_plus_time_shuffled_innovation,6225,60.453221404122054,0.0018210418028211661,0.017690288206370964,49.20010521231463,0.01,0.0
cn03_1_4/island03,stress_div,velocity_only,6225,10.367031039787586,0.0007711633305282906,0.0,8.463176264197823,0.01,0.0
cn03_1_4/island03,stress_div,velocity_plus_innovation,6225,10.366463001316216,0.0008806613861526147,0.005479278196327135,8.463923202211541,0.01,0.0
cn03_1_4/island03,stress_div,velocity_plus_time_shuffled_innovation,6225,10.364818871032783,0.0011975586915740077,0.021338498421700117,8.462070710501377,0.01,0.0
cn03_1_4/island03,force_balance,velocity_only,6225,22.379527348711342,0.001198562860815544,0.0,18.245392150664504,0.01,0.0
cn03_1_4/island03,force_balance,velocity_plus_innovation,6225,22.378124492244687,0.0013237782969564016,0.006268481209614961,18.246933813842457,0.01,0.0
cn03_1_4/island03,force_balance,velocity_plus_time_shuffled_innovation,6225,22.37517370775322,0.001587132271951397,0.01945367697130063,18.24329022321151,0.01,0.0
cn03_1_4/island04,traction,velocity_only,7278,230.14905469602283,-0.0012471567613765444,0.0,60.47873634808269,100.0,0.0
cn03_1_4/island04,traction,velocity_plus_innovation,7278,230.14409657794042,-0.001204017343173991,0.0021543073852560565,60.474566219969134,100.0,0.0
cn03_1_4/island04,traction,velocity_plus_time_shuffled_innovation,7278,230.15169061971682,-0.0012700916912735671,-0.0011453115449326014,60.4673222997872,100.0,0.0
cn03_1_4/island04,stress_div,velocity_only,7278,41.775150122516656,-0.0013589047031801194,0.0,10.370801671250602,100.0,0.0
cn03_1_4/island04,stress_div,velocity_plus_innovation,7278,41.77416663771711,-0.0013117565940155007,0.0023542340282763003,10.37014436325911,100.0,0.0
cn03_1_4/island04,stress_div,velocity_plus_time_shuffled_innovation,7278,41.77544065220294,-0.0013728328637836462,-0.0006954605439597836,10.368504192640733,100.0,0.0
cn03_1_4/island04,force_balance,velocity_only,7278,87.61531307223242,-0.0013070040549991724,0.0,22.386278323305554,100.0,0.0
cn03_1_4/island04,force_balance,velocity_plus_innovation,7278,87.6133331486625,-0.00126174966125836,0.0022597916967862725,22.38476643067365,100.0,0.0
cn03_1_4/island04,force_balance,velocity_plus_time_shuffled_innovation,7278,87.61613708153313,-0.0013258384376009236,-0.0009404854834234656,22.381688764815717,100.0,0.0
cn03_5_8/island05,traction,velocity_only,7166,151.72425914117343,0.0010206366090317331,0.0,180.62941822452592,0.01,0.0
cn03_5_8/island05,traction,velocity_plus_innovation,7166,151.72488223083766,0.0010124315270265694,-0.00041067240516296524,180.62714552449037,0.01,0.0
cn03_5_8/island05,traction,velocity_plus_time_shuffled_innovation,7166,151.72336802741003,0.001032371075898375,0.0005873245112190114,180.62912172825315,0.01,0.0
cn03_5_8/island05,stress_div,velocity_only,7166,26.828893772099605,0.002330591823107464,0.0,32.08099841248915,0.01,0.0
cn03_5_8/island05,stress_div,velocity_plus_innovation,7166,26.828898177278944,0.002330264197744958,-1.641953401787086e-05,32.08055812285656,0.01,0.0
cn03_5_8/island05,stress_div,velocity_plus_time_shuffled_innovation,7166,26.828751892912827,0.0023411437415901126,0.0005288298055930913,32.080974414671616,0.01,0.01
cn03_5_8/island05,force_balance,velocity_only,7166,57.009678525768535,0.0016203635097531421,0.0,68.05449320425095,0.01,0.0
cn03_5_8/island05,force_balance,velocity_plus_innovation,7166,57.00980851379847,0.0016158106845706177,-0.00022801045944163467,68.05357910451792,0.01,0.0
cn03_5_8/island05,force_balance,velocity_plus_time_shuffled_innovation,7166,57.0093457866102,0.0016320176372307538,0.0005836538057093485,68.05440988806902,0.01,0.0
cn03_5_8/island06,traction,velocity_only,6487,180.5996506005942,-0.0031772471480191466,0.0,144.49351161350648,0.01,0.0
cn03_5_8/island06,traction,velocity_plus_innovation,6487,180.5961100272941,-0.00313791387413076,0.001960454125099231,144.494402648729,0.01,0.01
cn03_5_8/island06,traction,velocity_plus_time_shuffled_innovation,6487,180.5990627671348,-0.0031707166792178665,0.0003254898098921874,144.4934012897057,0.01,0.0
cn03_5_8/island06,stress_div,velocity_only,6487,32.07337871032389,-0.0011567386178854555,0.0,25.675365374661283,0.01,0.0
cn03_5_8/island06,stress_div,velocity_plus_innovation,6487,32.07254602599433,-0.001104755525384471,0.0025961852571870095,25.67558460826821,0.01,0.0
cn03_5_8/island06,stress_div,velocity_plus_time_shuffled_innovation,6487,32.07331135080517,-0.001152533425419433,0.00021001690942816812,25.67536167120812,0.01,0.0
cn03_5_8/island06,force_balance,velocity_only,6487,68.04094516694258,-0.0022447576253847856,0.0,54.44735999037217,0.01,0.0
cn03_5_8/island06,force_balance,velocity_plus_innovation,6487,68.03939801142874,-0.0021991788677826474,0.002273859526844155,54.44775575371484,0.01,0.0
cn03_5_8/island06,force_balance,velocity_plus_time_shuffled_innovation,6487,68.04075566535525,-0.0022391749072878664,0.0002785111036653355,54.447334556674676,0.01,0.0
cn03_5_8/island07,traction,velocity_only,7300,130.64168430137644,0.0018271224216795945,0.0,180.61289314768953,0.01,0.0
cn03_5_8/island07,traction,velocity_plus_innovation,7300,130.6479473760937,0.0017314135948875986,-0.004794086015306689,180.60933487911333,0.01,0.0
cn03_5_8/island07,traction,velocity_plus_time_shuffled_innovation,7300,130.64485940540064,0.001778602820135533,-0.002430391219443919,180.61243586791355,0.01,0.0
cn03_5_8/island07,stress_div,velocity_only,7300,22.679622553458124,0.0027625720002314447,0.0,32.0765791054334,0.01,0.0
cn03_5_8/island07,stress_div,velocity_plus_innovation,7300,22.680940378926948,0.0026466773852222847,-0.005810614641923386,32.075748204253365,0.01,0.0
cn03_5_8/island07,stress_div,velocity_plus_time_shuffled_innovation,7300,22.680187492327985,0.0027128899386387184,-0.0024909535797129636,32.07655311675753,0.01,0.0
cn03_5_8/island07,force_balance,velocity_only,7300,48.65193415481586,0.0022658727713597004,0.0,68.04678611426505,0.01,0.0
cn03_5_8/island07,force_balance,velocity_plus_innovation,7300,48.65450747527716,0.0021603247560728622,-0.005289245959073648,68.04523421972371,0.01,0.0
cn03_5_8/island07,force_balance,velocity_plus_time_shuffled_innovation,7300,48.653136707180415,0.0022165492497735473,-0.0024717462634202786,68.04666482276973,0.01,0.0
cn03_5_8/island08,traction,velocity_only,6761,144.4605955245098,0.003556485184164737,0.0,151.75064417757295,0.01,0.0
cn03_5_8/island08,traction,velocity_plus_innovation,6761,144.4568636421374,0.003607967208625662,0.0025833220186244122,151.7530269171672,0.01,0.0
cn03_5_8/island08,traction,velocity_plus_time_shuffled_innovation,6761,144.46040513051258,0.003559111737628462,0.00013179649200402058,151.75045213490876,0.01,0.01
cn03_5_8/island08,stress_div,velocity_only,6761,25.666743907317464,0.004985576116400603,0.0,26.835794630053613,0.01,0.0
cn03_5_8/island08,stress_div,velocity_plus_innovation,6761,25.66603636001655,0.005040433878552353,0.002756669499907477,26.83628573802858,0.01,0.0
cn03_5_8/island08,stress_div,velocity_plus_time_shuffled_innovation,6761,25.66673882027611,0.004985970531760975,1.9819581999323973e-05,26.835751907243797,0.01,0.01
cn03_5_8/island08,force_balance,velocity_only,6761,54.432273886741484,0.004234312018035258,0.0,57.02170298865954,0.01,0.0
cn03_5_8/island08,force_balance,velocity_plus_innovation,6761,54.43080881432255,0.004287914379572544,0.0026915510125101742,57.02266982702758,0.01,0.0
cn03_5_8/island08,force_balance,velocity_plus_time_shuffled_innovation,6761,54.4322161154191,0.004236425715147041,0.00010613431748624882,57.02164108831546,0.01,0.01
cytod/island01,traction,velocity_only,2578,73.25053514228675,-0.007531161621638249,0.0,34.7896635102914,100.0,0.0
cytod/island01,traction,velocity_plus_innovation,2578,73.25265152672051,-0.007589382467856787,-0.0028892409176959006,34.80054841870079,100.0,0.0
cytod/island01,traction,velocity_plus_time_shuffled_innovation,2578,73.24315358088448,-0.007328111134881743,0.010077143310872418,34.791519961789405,100.0,0.0
cytod/island01,stress_div,velocity_only,2578,12.356987669726628,-0.004838342358435277,0.0,5.6886512794319,100.0,0.0
cytod/island01,stress_div,velocity_plus_innovation,2578,12.357353188978198,-0.004897789401816066,-0.002957996409315999,5.690505090922706,100.0,0.03
cytod/island01,stress_div,velocity_plus_time_shuffled_innovation,2578,12.355305562947953,-0.004564791815343527,0.013612595752574959,5.688522094891537,100.0,0.0
cytod/island01,force_balance,velocity_only,2578,26.9046843959811,-0.006410842279171769,0.0,12.588055821268295,100.0,0.0
cytod/island01,force_balance,velocity_plus_innovation,2578,26.905647913450167,-0.00648292725714783,-0.003581225688754501,12.59179953332683,100.0,0.03
cytod/island01,force_balance,velocity_plus_time_shuffled_innovation,2578,26.901523146123143,-0.006174353407992772,0.011749812082646744,12.588335793337754,100.0,0.0
cytod/island02,traction,velocity_only,3450,35.08378856003147,-0.01655225667692317,0.0,34.80202052517499,100.0,0.0
cytod/island02,traction,velocity_plus_innovation,3450,35.09011551952699,-0.016918936853576927,-0.018033854823549987,34.813990888554606,100.0,0.0
cytod/island02,traction,velocity_plus_time_shuffled_innovation,3450,35.082021444520386,-0.016449854964093458,0.005036843464218274,34.80413620110208,100.0,0.03
cytod/island02,stress_div,velocity_only,3450,5.750470291062024,-0.026711543947699257,0.0,5.691953307144939,100.0,0.0
cytod/island02,stress_div,velocity_plus_innovation,3450,5.751128709037617,-0.02694667046874266,-0.011449810924434967,5.694119802685903,100.0,0.0
cytod/island02,stress_div,velocity_plus_time_shuffled_innovation,3450,5.750108136928916,-0.026582227178179263,0.00629781765277399,5.691852896995955,100.0,0.0
cytod/island02,force_balance,velocity_only,3450,12.706200551499341,-0.02094351646401149,0.0,12.593773054861137,100.0,0.0
