run,method,metric_unit,family,horizon,family_movie_macro_rmse,family_movie_macro_r2,family_movie_macro_angular_cosine,movies,windows
wrong_cell,v97_direct_context,pixel,skeletal_muscle,4,9.294626235961914,0.7589660882949829,0.7946284711360931,2,3583
wrong_cell,v97_direct_context,pixel,skeletal_muscle,6,11.069551467895508,0.8219744861125946,0.853743702173233,2,3139
wrong_video,v97_direct_context,cell_diameter,bronchial_epithelial,1,0.15319477766752243,0.30784091353416443,0.5039178133010864,2,15534
wrong_video,v97_direct_context,cell_diameter,bronchial_epithelial,2,0.18254002183675766,0.6904585659503937,0.7401107549667358,2,15029
wrong_video,v97_direct_context,cell_diameter,bronchial_epithelial,4,0.2291998267173767,0.8433138728141785,0.8430390059947968,2,14099
wrong_video,v97_direct_context,cell_diameter,bronchial_epithelial,6,0.25706222653388977,0.8919478058815002,0.8779865801334381,2,13302
wrong_video,v97_direct_context,cell_diameter,embryonic_stem,1,0.16280814792428697,-0.7149626186915806,-0.055155989181782515,7,2172
wrong_video,v97_direct_context,cell_diameter,embryonic_stem,2,0.14937290229967662,0.11632066113608223,0.36379538263593403,7,1949
wrong_video,v97_direct_context,cell_diameter,embryonic_stem,4,0.16077572213751928,0.46764048508235384,0.6032925716468266,7,1609
wrong_video,v97_direct_context,cell_diameter,embryonic_stem,6,0.17104678281715938,0.6031783989497593,0.7221013988767352,7,1322
wrong_video,v97_direct_context,cell_diameter,skeletal_muscle,1,0.19851980358362198,0.09848105907440186,0.3435257449746132,2,4443
wrong_video,v97_direct_context,cell_diameter,skeletal_muscle,2,0.21499767899513245,0.5835034251213074,0.6493062674999237,2,4146
wrong_video,v97_direct_context,cell_diameter,skeletal_muscle,4,0.279626727104187,0.7583058178424835,0.7955376207828522,2,3583
wrong_video,v97_direct_context,cell_diameter,skeletal_muscle,6,0.330888956785202,0.8213186264038086,0.8550212681293488,2,3139
wrong_video,v97_direct_context,pixel,bronchial_epithelial,1,6.507683753967285,0.30784085392951965,0.5039178133010864,2,15534
