run,method,metric_unit,sequence,family,video,frame_interval_min,reference_diameter_px,horizon,component_rmse,r2,angular_cosine,magnitude_ratio,n_windows
seed7,v97_direct,pixel,1,bronchial_epithelial,set_1,5.0,43.1153074361454,1,6.355923175811768,0.3513053059577942,0.497772216796875,0.8373346328735352,8006
seed7,v97_direct,pixel,1,bronchial_epithelial,set_1,5.0,43.1153074361454,2,7.580954551696777,0.7141741514205933,0.7449232339859009,0.8543915748596191,7791
seed7,v97_direct,pixel,1,bronchial_epithelial,set_1,5.0,43.1153074361454,4,9.695921897888184,0.8548600673675537,0.8475807309150696,0.8595821857452393,7399
seed7,v97_direct,pixel,1,bronchial_epithelial,set_1,5.0,43.1153074361454,6,11.036022186279297,0.9000318050384521,0.8871439099311829,0.8599231243133545,7081
seed7,v97_direct,pixel,6,bronchial_epithelial,set_7,5.0,41.887039673926,1,6.603679180145264,0.2763369083404541,0.513534665107727,0.8418851494789124,7528
seed7,v97_direct,pixel,6,bronchial_epithelial,set_7,5.0,41.887039673926,2,7.9660868644714355,0.6637566685676575,0.7316259145736694,0.8564475178718567,7238
seed7,v97_direct,pixel,6,bronchial_epithelial,set_7,5.0,41.887039673926,4,9.749269485473633,0.8330960273742676,0.8424915671348572,0.8610185384750366,6700
seed7,v97_direct,pixel,6,bronchial_epithelial,set_7,5.0,41.887039673926,6,10.697057723999023,0.8865560293197632,0.876340925693512,0.8604190349578857,6221
seed7,v97_direct,pixel,7,embryonic_stem,set_1,20.0,32.321638171543796,1,4.849114894866943,-0.424704909324646,-0.004935435019433498,0.7803082466125488,1001
seed7,v97_direct,pixel,7,embryonic_stem,set_1,20.0,32.321638171543796,2,5.298740386962891,0.23259824514389038,0.3940945267677307,0.8064332604408264,901
seed7,v97_direct,pixel,7,embryonic_stem,set_1,20.0,32.321638171543796,4,5.298478603363037,0.6473021507263184,0.6385391354560852,0.8102170825004578,751
seed7,v97_direct,pixel,7,embryonic_stem,set_1,20.0,32.321638171543796,6,5.413962364196777,0.7721354961395264,0.7414207458496094,0.8084847331047058,611
seed7,v97_direct,pixel,12,embryonic_stem,set_14,30.0,64.830268680384,1,8.661391258239746,-0.9994323253631592,-0.0419655367732048,0.7683719992637634,111
seed7,v97_direct,pixel,12,embryonic_stem,set_14,30.0,64.830268680384,2,7.0590500831604,0.027843177318572998,0.3000444769859314,0.7298675179481506,94
seed7,v97_direct,pixel,12,embryonic_stem,set_14,30.0,64.830268680384,4,7.141823768615723,0.36827248334884644,0.5632745623588562,0.8054084181785583,68
seed7,v97_direct,pixel,12,embryonic_stem,set_14,30.0,64.830268680384,6,7.3813252449035645,0.5406201481819153,0.7544832825660706,0.8174297213554382,48
seed7,v97_direct,pixel,17,embryonic_stem,set_19,30.0,64.1867162134092,1,18.76449966430664,-0.7996708154678345,-0.07493794709444046,0.7376924157142639,160
seed7,v97_direct,pixel,17,embryonic_stem,set_19,30.0,64.1867162134092,2,14.029048919677734,0.3074394464492798,0.389069527387619,0.7361010313034058,148
seed7,v97_direct,pixel,17,embryonic_stem,set_19,30.0,64.1867162134092,4,16.54327964782715,0.5559461116790771,0.5994156002998352,0.7083827257156372,130
seed7,v97_direct,pixel,17,embryonic_stem,set_19,30.0,64.1867162134092,6,18.63602066040039,0.5741567611694336,0.6977145075798035,0.7008580565452576,114
seed7,v97_direct,pixel,22,embryonic_stem,set_23,30.0,40.1250384084586,1,8.16771125793457,-0.9289356470108032,-0.21019569039344788,0.7342896461486816,152
seed7,v97_direct,pixel,22,embryonic_stem,set_23,30.0,40.1250384084586,2,7.473182678222656,-0.11944401264190674,0.19248053431510925,0.762025773525238,136
seed7,v97_direct,pixel,22,embryonic_stem,set_23,30.0,40.1250384084586,4,7.404893398284912,0.1735655665397644,0.42796117067337036,0.7379745841026306,106
seed7,v97_direct,pixel,22,embryonic_stem,set_23,30.0,40.1250384084586,6,7.883120536804199,0.3283766508102417,0.5840284824371338,0.7396523952484131,86
seed7,v97_direct,pixel,27,embryonic_stem,set_28,15.0,73.2664856575191,1,5.635870456695557,-0.7432056665420532,-0.07365338504314423,0.7092177867889404,208
seed7,v97_direct,pixel,27,embryonic_stem,set_28,15.0,73.2664856575191,2,5.030406951904297,0.14043772220611572,0.39779579639434814,0.7406487464904785,182
seed7,v97_direct,pixel,27,embryonic_stem,set_28,15.0,73.2664856575191,4,4.878652095794678,0.615641713142395,0.7452074885368347,0.7720118761062622,158
seed7,v97_direct,pixel,27,embryonic_stem,set_28,15.0,73.2664856575191,6,5.30360746383667,0.7585257291793823,0.791492223739624,0.7747785449028015,144
seed7,v97_direct,pixel,32,embryonic_stem,set_32,30.0,77.98800049260215,1,13.932708740234375,-0.6965969800949097,0.06113563850522041,0.7609442472457886,113
seed7,v97_direct,pixel,32,embryonic_stem,set_32,30.0,77.98800049260215,2,14.231827735900879,0.08363622426986694,0.4345177114009857,0.7753408551216125,98
seed7,v97_direct,pixel,32,embryonic_stem,set_32,30.0,77.98800049260215,4,15.114201545715332,0.5169575214385986,0.6932945847511292,0.758072555065155,70
seed7,v97_direct,pixel,32,embryonic_stem,set_32,30.0,77.98800049260215,6,15.352537155151367,0.6833078861236572,0.7937721014022827,0.7642827033996582,45
seed7,v97_direct,pixel,37,embryonic_stem,set_7,20.0,28.24055498755745,1,3.7199816703796387,-0.9417492151260376,-0.04432567581534386,0.7945834994316101,427
seed7,v97_direct,pixel,37,embryonic_stem,set_7,20.0,28.24055498755745,2,3.518883466720581,0.020578444004058838,0.3918532133102417,0.8055673241615295,390
seed7,v97_direct,pixel,37,embryonic_stem,set_7,20.0,28.24055498755745,4,3.4707283973693848,0.5285198092460632,0.6008464694023132,0.8230320811271667,326
seed7,v97_direct,pixel,37,embryonic_stem,set_7,20.0,28.24055498755745,6,3.4302845001220703,0.7186148762702942,0.6974250674247742,0.8353080153465271,274
seed7,v97_direct,pixel,40,skeletal_muscle,set_1,20.0,29.7472937187728,1,6.404134273529053,-0.3182797431945801,0.18111656606197357,0.7367944717407227,1938
seed7,v97_direct,pixel,40,skeletal_muscle,set_1,20.0,29.7472937187728,2,6.12558650970459,0.4139058589935303,0.5655979514122009,0.7678923010826111,1826
seed7,v97_direct,pixel,40,skeletal_muscle,set_1,20.0,29.7472937187728,4,6.887694358825684,0.688115656375885,0.7560562491416931,0.780697226524353,1615
seed7,v97_direct,pixel,40,skeletal_muscle,set_1,20.0,29.7472937187728,6,7.413037300109863,0.7772330641746521,0.8304954171180725,0.7857455015182495,1422
seed7,v97_direct,pixel,45,skeletal_muscle,set_7,20.0,35.85376417597725,1,6.501389503479004,0.5144548416137695,0.4976430833339691,0.8071873188018799,2505
seed7,v97_direct,pixel,45,skeletal_muscle,set_7,20.0,35.85376417597725,2,7.9732985496521,0.7557238340377808,0.7339716553688049,0.8134164810180664,2320
