run,method,metric_unit,horizon,movie_macro_rmse,movie_macro_rmse_std,movie_macro_r2,movie_macro_angular_cosine,movie_macro_magnitude_ratio,movies,windows,family_macro_rmse,family_macro_r2,families
seed123,v97_direct,cell_diameter,1,0.17340451885353436,0.05729338480775719,-0.499204776503823,0.11381316159597853,0.8156407529657538,11,22149,0.17501472752718697,-0.16966110184079122,3
seed123,v97_direct,cell_diameter,2,0.16979941590265793,0.04779619497950503,0.26894040541215375,0.47832008789886127,0.8262528235262091,11,21124,0.18345788653407777,0.44405904270353774,3
seed123,v97_direct,cell_diameter,4,0.1924040737477216,0.0710414533829569,0.5885563655333086,0.6794245784932916,0.8241067799654874,11,19291,0.21958401479891368,0.6929417593138559,3
seed123,v97_direct,cell_diameter,6,0.21177152205597272,0.08996386111804243,0.6956601197069342,0.7739803791046143,0.8180175261064009,11,17763,0.246499165892601,0.7764756778875986,3
seed123,v97_direct,pixel,1,8.329899831251664,4.570443870410916,-0.49920476566661487,0.11381316946988757,0.8156407692215659,11,22149,7.46465573992048,-0.1696611103557405,3
seed123,v97_direct,pixel,2,7.942417426542803,3.4517710243495796,0.26894037290052936,0.4783200838349082,0.8262528397820212,11,21124,7.68590251604716,0.4440590256736392,3
seed123,v97_direct,pixel,4,8.935065746307373,4.1639714284851355,0.5885563492774963,0.6796702905134722,0.8241068016399037,11,19291,9.127201545806159,0.6929417649904887,3
seed123,v97_direct,pixel,6,9.817046230489558,4.813191619324981,0.6956601197069342,0.7752346233888106,0.8180174935947765,11,17763,10.216741493770053,0.7764756636960165,3
seed42,v97_direct,cell_diameter,1,0.1708656298843297,0.05654481798561673,-0.4463586373762651,0.11430444669994441,0.7746097824790261,11,22149,0.1730681753584317,-0.13581535078230358,3
seed42,v97_direct,cell_diameter,2,0.1688469113274054,0.04851735378407081,0.2855690934441306,0.48209048807621,0.7870704098181291,11,21124,0.1831417484652428,0.4526058776038034,3
seed42,v97_direct,cell_diameter,4,0.1933114000342109,0.07324317484166078,0.5951793464747342,0.6874075044285167,0.7977703592993997,11,19291,0.2224286170232864,0.6933201196647826,3
seed42,v97_direct,cell_diameter,6,0.21297258003191513,0.09341565609120113,0.7056799693541094,0.7786705114624717,0.8019068132747303,11,17763,0.25173280352637883,0.7780515097436451,3
seed42,v97_direct,pixel,1,8.197866721586747,4.483918453018857,-0.4463586373762651,0.11430444263599136,0.774609771641818,11,22149,7.37362239474342,-0.1358153365907215,3
seed42,v97_direct,pixel,2,7.88822306286205,3.436263198295272,0.28556912595575507,0.48209048130295495,0.7870704098181291,11,21124,7.666464374178932,0.45260590172949294,3
seed42,v97_direct,pixel,4,8.958313551816074,4.203947440156538,0.5951793356375261,0.6876136308366602,0.7977703647180037,11,19291,9.235749630700974,0.6933201210839407,3
seed42,v97_direct,pixel,6,9.827718691392379,4.798420632738808,0.7056799639355053,0.7798909599130804,0.8019068349491466,11,17763,10.409402938116164,0.7780515069053285,3
seed7,v97_direct,cell_diameter,1,0.16986482658169486,0.05555357194115223,-0.42822534387761896,0.11828986208208582,0.7735099521550265,11,22149,0.1725109407589549,-0.12623504513785952,3
seed7,v97_direct,cell_diameter,2,0.1679728708483956,0.04828205542247751,0.29460453445261175,0.47963403300805524,0.7861938422376459,11,21124,0.18254706121626355,0.4575976743584587,3
seed7,v97_direct,cell_diameter,4,0.19156805900010196,0.07256170077895342,0.6021988012573936,0.6883631104772742,0.7937532338229093,11,19291,0.22029595751137962,0.6985304980050949,3
seed7,v97_direct,cell_diameter,6,0.21047552878206427,0.09212346243832743,0.7111693566495721,0.7773371122100137,0.7960150837898254,11,17763,0.2479104076822599,0.7828893505391621,3
seed7,v97_direct,pixel,1,8.145127643238414,4.4111952205591,-0.4282252951101823,0.11828986360606822,0.7735099467364225,11,22149,7.345677114668347,-0.12623499830563864,3
seed7,v97_direct,pixel,2,7.844278790734031,3.4054055681941766,0.2946045236154036,0.4796340492638675,0.7861938530748541,11,21124,7.638184899375553,0.4575976686818259,3
seed7,v97_direct,pixel,4,8.872835506092418,4.155830189483316,0.6021988120946017,0.6885910521854054,0.7937532717531378,11,19291,9.14162015914917,0.6985305178733099,3
seed7,v97_direct,pixel,6,9.703479766845703,4.750469497438986,0.7111693566495721,0.7786390510472384,0.7960150783712213,11,17763,10.24199172428676,0.7828893505391621,3
