protocol,packet,seeds,folds,nll_mean,nll_std,student_t4_nll_mean,student_t4_nll_std,coverage50_mean,coverage90_mean,coverage_error_mean,uncertainty_error_spearman_mean,coord_nll,coord_student_t4_nll,nll_gain_vs_coord,student_t4_nll_gain_vs_coord
chronological,coord_actin,3,1,3.4653820204562495,0.0025021067220689433,3.207699105545661,0.0003897127299606106,0.696780045351474,0.9103401360544218,0.10356009070294785,0.606236453176923,3.5611009755148335,3.247402253849233,0.09571895505858397,0.03970314830357191
chronological,coord_contact,3,1,3.547754357975437,0.003508976231053153,3.2431352811393004,0.0013789644332410946,0.7098979591836735,0.9051473922902494,0.10752267573696143,0.5542524493047517,3.5611009755148335,3.247402253849233,0.013346617539396366,0.004266972709932482
chronological,coord_only,3,1,3.5611009755148335,0.002897363722787761,3.247402253849233,0.0005115760134389092,0.7126530612244898,0.9052607709750567,0.10895691609977325,0.5494275732968247,3.5611009755148335,3.247402253849233,0.0,0.0
chronological,coord_reliability,3,1,3.4502757060751263,0.0007869789810746801,3.203869011344158,0.0010117416539617082,0.7024829931972789,0.9138662131519274,0.10817460317460315,0.6140528878463571,3.5611009755148335,3.247402253849233,0.11082526943970716,0.04353324250507473
chronological,coord_shape,3,1,3.4509988878738596,0.001427741166202267,3.1989170134553646,0.0008026672489442456,0.6991156462585034,0.9138321995464853,0.10647392290249431,0.6192023593961228,3.5611009755148335,3.247402253849233,0.11010208764097396,0.048485240393868256
chronological,full_real,3,1,3.418950510532644,0.0014137774982151683,3.184285615664899,0.0011539162298275936,0.6946938775510204,0.9167573696145125,0.10572562358276644,0.6379134045122077,3.5611009755148335,3.247402253849233,0.14215046498218964,0.06311663818433377
chronological,full_row_shuffled,3,1,3.5640854780355595,0.002906097534852609,3.2487457501196837,0.0004183305625198977,0.7111904761904762,0.9040702947845806,0.1076303854875283,0.5466487219708259,3.5611009755148335,3.247402253849233,-0.002984502520726018,-0.001343496270450828
chronological,full_time_shuffled,3,1,3.4551738258783975,0.001770441989003334,3.2032367022003356,0.000889221191481287,0.6957369614512472,0.9091836734693878,0.10246031746031743,0.6111681044127629,3.5611009755148335,3.247402253849233,0.10592714963643601,0.04416555164889724
chronological,full_wrong_cell,3,1,3.4670972609691657,0.0012373016526302032,3.208635578739719,0.00017488711378418876,0.6957142857142857,0.9098185941043084,0.10276643990929701,0.6020582510943772,3.5611009755148335,3.247402253849233,0.0940037145456678,0.038766675109513926
chronological,full_zero_state,3,1,3.5625256714816573,0.00047728130887793145,3.2474749699181076,0.00088976239466798,0.711859410430839,0.9045578231292518,0.10820861678004534,0.5491609692702578,3.5611009755148335,3.247402253849233,-0.001424695966823819,-7.271606887471194e-05
leave_one_sequence_out,coord_actin,3,3,4.009421289780706,0.657772955506517,3.6653161596863146,0.4460666939165395,0.6874953376044535,0.8770322653834559,0.19679867740263635,0.255256887783015,3.9657686492454505,3.6492784974785977,-0.043652640535255305,-0.016037662207716963
leave_one_sequence_out,coord_contact,3,3,3.9642813105351333,0.6037681585620683,3.6483865366609183,0.4343997343008977,0.6951201290982958,0.8845055940266056,0.18633758800615163,0.2956330344786668,3.9657686492454505,3.6492784974785977,0.0014873387103171432,0.0008919608176793936
leave_one_sequence_out,coord_only,3,3,3.9657686492454505,0.6047527961229344,3.6492784974785977,0.4354199591951955,0.695137490818833,0.8841177606520654,0.18510873993708576,0.28327897793857765,3.9657686492454505,3.6492784974785977,0.0,0.0
leave_one_sequence_out,coord_reliability,3,3,4.009413802790653,0.5605552876851718,3.6814014235813213,0.3928392870169498,0.6920243944435536,0.8825726132643636,0.19046562066238634,0.2913889976479185,3.9657686492454505,3.6492784974785977,-0.043645153545202486,-0.032122926102723603
leave_one_sequence_out,coord_shape,3,3,3.8610746029256626,0.520005665508754,3.6048441213960394,0.4274397682492352,0.7037890481717207,0.9002524203264495,0.15683680319019933,0.296739262619509,3.9657686492454505,3.6492784974785977,0.10469404631978785,0.04443437608255829
leave_one_sequence_out,full_real,3,3,3.871397798041994,0.49229507615610485,3.6138680055647603,0.40631747189357326,0.7068698926187599,0.9020213902116156,0.1586346472065638,0.31057614774029785,3.9657686492454505,3.6492784974785977,0.09437085120345667,0.03541049191383738
leave_one_sequence_out,full_row_shuffled,3,3,3.9749970125887373,0.6089499624732847,3.655145242800185,0.43437936547774403,0.6947369072797652,0.8830954384447072,0.18898380610195795,0.28545251383060793,3.9657686492454505,3.6492784974785977,-0.009228363343286805,-0.005866745321587263
leave_one_sequence_out,full_time_shuffled,3,3,3.929680818793372,0.5239428633619497,3.6460854846951047,0.40461570730461033,0.705441590392077,0.8935421193259605,0.17473226639160588,0.27958751449639857,3.9657686492454505,3.6492784974785977,0.03608783045207842,0.0031930127834929323
leave_one_sequence_out,full_wrong_cell,3,3,3.9322770797812177,0.5550517902235241,3.644185037708965,0.4232975828921327,0.704127404798535,0.8907306392998253,0.17992992905123598,0.28002624075807714,3.9657686492454505,3.6492784974785977,0.03349156946423282,0.005093459769632602
leave_one_sequence_out,full_zero_state,3,3,3.9679928975594247,0.6081479406402573,3.6503673134709183,0.43629519536161854,0.6945699732063535,0.8837744558928289,0.1865345182004424,0.28355287192439915,3.9657686492454505,3.6492784974785977,-0.0022242483139742752,-0.0010888159923205798
