seed,protocol,packet,model,folds,component_rmse_mean,component_rmse_std,component_r2_mean,direction_cosine_mean,coord_rmse,gain_vs_coord_percent
7,leave_one_sequence_out,coord_actin,ridge,3,11.286434605270438,4.194556174871756,-0.21345199243773005,0.044791091122076854,11.246234766327035,-0.35745153625787357
7,leave_one_sequence_out,coord_shape,ridge,3,11.295364464700805,4.381734714999999,-0.1948625352413588,-0.1426621479362771,11.246234766327035,-0.4368546397490477
7,leave_one_sequence_out,coord_reliability,ridge,3,11.300004066367089,4.336409811962272,-0.20103447587625833,-0.16951353657469756,11.246234766327035,-0.4781093508829078
7,leave_one_sequence_out,full_row_shuffled,ridge,3,11.306361669424325,4.269729742802926,-0.21080595166739954,-0.0858130905701852,11.246234766327035,-0.5346402982562571
7,leave_one_sequence_out,full_time_shuffled,ridge,3,11.34454142515395,4.2641044081316215,-0.2217015866102606,-0.09543745507912542,11.246234766327035,-0.8741295275220559
7,leave_one_sequence_out,full_real,ridge,3,11.423966560357433,4.045295496290104,-0.26886988711609483,-0.027681575833641826,11.246234766327035,-1.580367098173647
42,chronological,full_real,hgbdt,1,9.975812697656526,,0.014398093575247795,0.09926738670187264,10.063405577589036,0.8704099149852125
42,chronological,coord_reliability,hgbdt,1,10.008707217439046,,0.007887475306880276,0.07667814017702274,10.063405577589036,0.5435372720324609
42,chronological,coord_shape,hgbdt,1,10.009653528497301,,0.007699860379962065,0.08408607194353844,10.063405577589036,0.5341337848038145
42,chronological,full_wrong_cell,hgbdt,1,10.02326529618254,,0.004999238874967449,0.06975358547959659,10.063405577589036,0.39887373212788874
42,chronological,coord_contact,hgbdt,1,10.039534060515203,,0.0017666456375399209,0.06414287065314772,10.063405577589036,0.23721111993134503
42,chronological,full_time_shuffled,hgbdt,1,10.040021044541211,,0.0016698014045336551,0.0660409039138198,10.063405577589036,0.23237196262765575
