seed,protocol,fold,packet,evaluation_scale,n_val,n_test,mean_val_rmse_model_scale,gaussian_component_nll,student_t4_component_nll,coverage50,coverage90,coverage_error,uncertainty_error_spearman,mean_sigma
7,chronological,all_sequences,coord_only,current_frame_cell_diameter,26363,29400,0.1245750187703578,3.588441077800697,3.2577283879884047,0.7179251700680273,0.9040136054421769,0.11096938775510207,0.5270630367724309,7.838519820577594
7,chronological,all_sequences,coord_shape,current_frame_cell_diameter,26363,29400,0.1245750187703578,3.471270251187368,3.212083140595068,0.7254761904761905,0.9182653061224489,0.12187074829931971,0.6047726301997621,7.937187401941611
7,chronological,all_sequences,coord_actin,current_frame_cell_diameter,26363,29400,0.1245750187703578,3.4793107939376338,3.2100325068637385,0.7043537414965987,0.9098979591836734,0.10712585034013605,0.5988615453737675,7.633559403414771
7,chronological,all_sequences,coord_contact,current_frame_cell_diameter,26363,29400,0.1245750187703578,3.5689275786407473,3.250974547199508,0.7161224489795919,0.9041156462585034,0.11011904761904762,0.5348783244346658,7.790259699948857
7,chronological,all_sequences,coord_reliability,current_frame_cell_diameter,26363,29400,0.1245750187703578,3.4616763305137015,3.2026067082433216,0.7052380952380952,0.9115986394557823,0.10841836734693877,0.6109385656528873,7.6915274940068965
7,chronological,all_sequences,full_real,current_frame_cell_diameter,26363,29400,0.1245750187703578,3.4237408553876216,3.1841770952269757,0.7059183673469388,0.9186394557823129,0.11227891156462583,0.6344676708842242,7.716531944288081
7,chronological,all_sequences,full_zero_state,current_frame_cell_diameter,26363,29400,0.1245750187703578,3.5853383770108023,3.257912866152545,0.7181292517006803,0.9042517006802722,0.11119047619047623,0.5265806432060447,7.8215449604549345
7,chronological,all_sequences,full_row_shuffled,current_frame_cell_diameter,26363,29400,0.1245750187703578,3.584570510389193,3.2512482059904295,0.7124489795918367,0.9019387755102041,0.10719387755102039,0.5356046971708838,7.681945360558533
7,chronological,all_sequences,full_wrong_cell,current_frame_cell_diameter,26363,29400,0.1245750187703578,3.4735442856698873,3.2079147395350285,0.7027551020408164,0.9099659863945578,0.10636054421768709,0.5993198524917026,7.609807374439235
7,chronological,all_sequences,full_time_shuffled,current_frame_cell_diameter,26363,29400,0.1245750187703578,3.4591541607648435,3.20317395669678,0.705,0.9099319727891156,0.10746598639455779,0.6067462449307914,7.6605912446539985
