protocol,packet,model,seeds,component_rmse_mean,component_rmse_seed_std,component_r2_mean,gain_vs_coord_percent_mean,gain_vs_coord_percent_std
chronological,coord_actin,hgbdt,3,10.02197404310927,0.0029950952290787973,0.005255526254570116,0.16832423988829429,0.015397789302588293
chronological,coord_actin,ridge,3,10.049001328137846,0.0,-0.00011690755988746915,0.07960045059267935,0.0
chronological,coord_contact,hgbdt,3,10.019162256467053,0.002383313213740397,0.005813644953037563,0.19633231400413162,0.013610226335879477
chronological,coord_contact,ridge,3,10.039881666296342,0.0,0.0016975193832980962,0.17028013359829994,0.0
chronological,coord_only,hgbdt,3,10.038871820677484,0.0020679956382342215,0.0018983063991134808,0.0,0.0
chronological,coord_only,ridge,3,10.057006750827641,0.0,-0.0017110058010891827,0.0,0.0
chronological,coord_reliability,hgbdt,3,10.001607307476837,0.0018097747738287145,0.009294510769727427,0.37119990231310473,0.024307876623282525
chronological,coord_reliability,ridge,3,10.051599360803086,0.0,-0.000634107666110495,0.05376738982610122,0.0
chronological,coord_shape,hgbdt,3,10.004323453195541,0.0043073121197013285,0.00875624323782668,0.3441430617331768,0.047672503779529384
chronological,coord_shape,ridge,3,10.032758631572207,0.0,0.003113556136781881,0.24110672147494105,0.0
chronological,full_real,hgbdt,3,9.974634873504653,0.0016836881459967746,0.014630797190551678,0.6398814437828059,0.008238756642622753
chronological,full_real,ridge,3,10.015215046938579,0.0,0.006596879413359624,0.41554813399745666,0.0
chronological,full_row_shuffled,hgbdt,3,10.051107266119478,0.006043163245153191,-0.0005363753933889104,-0.12189120471074517,0.07974800782443092
chronological,full_row_shuffled,ridge,3,10.068293345508085,0.004757802942677167,-0.003960780917286281,-0.11222618180618059,0.047308339952005264
chronological,full_time_shuffled,hgbdt,3,10.015151337287284,0.00486542721042972,0.006609361717880143,0.23627809134632316,0.06631222083426688
chronological,full_time_shuffled,ridge,3,10.01826247117909,0.0,0.005992243105132911,0.38524663061762804,0.0
chronological,full_wrong_cell,hgbdt,3,10.017875817209463,0.0038951592794080683,0.006068868734409334,0.20914887987111563,0.023080291031230733
chronological,full_wrong_cell,ridge,3,10.027140183417226,0.005228329944462172,0.004229596367077426,0.2969727290673027,0.05198693879798685
chronological,full_zero_state,hgbdt,3,10.038871820677484,0.0020679956382342215,0.0018983063991134808,0.0,0.0
chronological,full_zero_state,ridge,3,10.057006750827641,0.0,-0.0017110058010891827,0.0,0.0
leave_one_sequence_out,coord_actin,hgbdt,3,11.034798868900113,0.010098831589480816,-0.07195941168980051,-0.25437772088569904,0.1813210570532537
leave_one_sequence_out,coord_actin,ridge,3,11.14214808591557,0.0,-0.14956921631191192,-0.10450776458447956,0.0
leave_one_sequence_out,coord_contact,hgbdt,3,11.024558980838469,0.01161728697057114,-0.07086964048828302,-0.16125902786694093,0.09820530868402362
leave_one_sequence_out,coord_contact,ridge,3,11.131832512883738,0.0,-0.13409831139794,-0.011829462994995954,0.0
leave_one_sequence_out,coord_only,hgbdt,3,11.00681319443956,0.011831213810278572,-0.0661281668117152,0.0,0.0
leave_one_sequence_out,coord_only,ridge,3,11.130515832632165,0.0,-0.13370037069074706,0.0,0.0
leave_one_sequence_out,coord_reliability,hgbdt,3,11.035488706854565,0.012382011550492839,-0.07354026900863196,-0.2605401130725647,0.0745842431254674
leave_one_sequence_out,coord_reliability,ridge,3,11.168675737846064,0.0,-0.14511388906968534,-0.34284040189783954,0.0
leave_one_sequence_out,coord_shape,hgbdt,3,11.02734630506093,0.005085953319547396,-0.07031202171211935,-0.18665929696732345,0.15379103991587895
leave_one_sequence_out,coord_shape,ridge,3,11.210069575764072,0.0,-0.1664529418939642,-0.7147354563628868,0.0
leave_one_sequence_out,full_real,hgbdt,3,11.025201147443937,0.0034065886451131095,-0.07009987659866684,-0.16711470363377603,0.07671962144242998
leave_one_sequence_out,full_real,ridge,3,11.220051750890661,0.0,-0.18648409409039157,-0.8044184079591115,0.0
leave_one_sequence_out,full_row_shuffled,hgbdt,3,11.030254808209103,0.004457288647486109,-0.07444766609957061,-0.21303234443605498,0.08763363430076669
leave_one_sequence_out,full_row_shuffled,ridge,3,11.180401379011691,0.03732908046077337,-0.15068850906663472,-0.448187192127014,0.33537601511093523
leave_one_sequence_out,full_time_shuffled,hgbdt,3,11.05987156457734,0.013922184797832932,-0.07986322608394279,-0.4820404006025197,0.0369093525361585
leave_one_sequence_out,full_time_shuffled,ridge,3,11.166703654073194,0.0,-0.1512480401500985,-0.3251225907691933,0.0
leave_one_sequence_out,full_wrong_cell,hgbdt,3,11.028362953374712,0.011917693858193261,-0.07168201223423187,-0.19583980461260228,0.1281583679631658
leave_one_sequence_out,full_wrong_cell,ridge,3,11.133742240469745,0.01471995201370508,-0.13109864986441624,-0.028987046836785556,0.13224860586020118
leave_one_sequence_out,full_zero_state,hgbdt,3,11.00681319443956,0.011831213810278572,-0.0661281668117152,0.0,0.0
leave_one_sequence_out,full_zero_state,ridge,3,11.130515832632165,0.0,-0.133700370690747,0.0,0.0
