seed,protocol,fold,packet,evaluation_scale,n_val,n_test,mean_val_rmse_model_scale,gaussian_component_nll,student_t4_component_nll,coverage50,coverage90,coverage_error,uncertainty_error_spearman,mean_sigma
7,chronological,all_sequences,coord_only,pixels,26363,29400,9.189936216743618,3.564090137855505,3.2470340342383475,0.7112244897959183,0.9041836734693878,0.10770408163265305,0.5498938304821603,7.7626491668400694
7,chronological,all_sequences,coord_shape,pixels,26363,29400,9.189936216743618,3.450057347676693,3.1984541273977696,0.7001020408163265,0.9142857142857143,0.10719387755102039,0.6205051418698546,7.693265586317498
7,chronological,all_sequences,coord_actin,pixels,26363,29400,9.189936216743618,3.467742820158126,3.2073853847822202,0.6974829931972789,0.9103401360544218,0.10391156462585033,0.6073669423001419,7.622358541613707
7,chronological,all_sequences,coord_contact,pixels,26363,29400,9.189936216743618,3.5447120676631867,3.2416268064588842,0.7101700680272108,0.9054081632653062,0.10778911564625848,0.5565356152880897,7.763321542225617
7,chronological,all_sequences,coord_reliability,pixels,26363,29400,9.189936216743618,3.450614566741235,3.203112637396939,0.7020408163265306,0.9132993197278911,0.10767006802721085,0.6149562209133622,7.72109897354659
7,chronological,all_sequences,full_real,pixels,26363,29400,9.189936216743618,3.4200229027691527,3.183449789132052,0.6951360544217687,0.9166666666666666,0.10590136054421767,0.6392154636423588,7.63120414607448
7,chronological,all_sequences,full_zero_state,pixels,26363,29400,9.189936216743618,3.5619917988023566,3.2476546428418027,0.7115646258503401,0.9050340136054422,0.10829931972789114,0.5494739764574009,7.774593773844732
7,chronological,all_sequences,full_row_shuffled,pixels,26363,29400,9.189936216743618,3.5667479915608293,3.2491905223192896,0.7103741496598639,0.9032993197278911,0.1068367346938775,0.5452070064578899,7.746803794529408
7,chronological,all_sequences,full_wrong_cell,pixels,26363,29400,9.189936216743618,3.4679980301289053,3.208574299729746,0.6960884353741497,0.9098639455782312,0.10297619047619044,0.6028904339391286,7.567079283815764
7,chronological,all_sequences,full_time_shuffled,pixels,26363,29400,9.189936216743618,3.4549764457210124,3.2024163065533306,0.695204081632653,0.9082653061224489,0.10173469387755096,0.6126803813830721,7.578572348294347
7,leave_one_sequence_out,mitomycin,coord_only,pixels,48549,24807,5.445359469725753,4.681677604024745,4.119296607475297,0.374974805498448,0.7437013746120047,0.14066190994477365,0.2573371722980721,8.528539362101832
7,leave_one_sequence_out,mitomycin,coord_shape,pixels,48549,24807,5.445359469725753,4.447604897405932,4.056825404071386,0.4377393477647438,0.7928810416414722,0.08468980529689199,0.2627207949415381,9.438883036058312
7,leave_one_sequence_out,mitomycin,coord_actin,pixels,48549,24807,5.445359469725753,4.818474191270128,4.155995015810847,0.3387350344660781,0.7156447776837183,0.17281009392510183,0.2474811251357542,8.043613090763994
7,leave_one_sequence_out,mitomycin,coord_contact,pixels,48549,24807,5.445359469725753,4.679194411819915,4.119083412040745,0.37340266860160437,0.7448703994840166,0.14086346595718954,0.25923824694004105,8.497211101283993
7,leave_one_sequence_out,mitomycin,coord_reliability,pixels,48549,24807,5.445359469725753,4.721365241162669,4.134393964278758,0.3535292457774015,0.7309630346273229,0.15775385979763779,0.24972870750279744,8.210328206229288
7,leave_one_sequence_out,mitomycin,full_real,pixels,48549,24807,5.445359469725753,4.432146684835262,4.050754113265689,0.4352400532107873,0.7945338009432822,0.08511307292296527,0.28562416067094965,9.451227968594628
7,leave_one_sequence_out,mitomycin,full_zero_state,pixels,48549,24807,5.445359469725753,4.708536453883209,4.126602431079598,0.3663885193695328,0.7380578062643609,0.14777683718305315,0.2508920117231431,8.40396132921498
7,leave_one_sequence_out,mitomycin,full_row_shuffled,pixels,48549,24807,5.445359469725753,4.719815126392116,4.131258776872295,0.361228685451687,0.7344297980408756,0.1521707582537187,0.25836431987481534,8.317833553459161
7,leave_one_sequence_out,mitomycin,full_wrong_cell,pixels,48549,24807,5.445359469725753,4.619292033238991,4.106738895792004,0.3814649090982384,0.7515217478937397,0.13350667150401097,0.2568478508117995,8.588720429362146
7,leave_one_sequence_out,mitomycin,full_time_shuffled,pixels,48549,24807,5.445359469725753,4.535887422860467,4.080643461476512,0.40887652678679404,0.7738541540694159,0.10863465957189503,0.27244679576665776,9.016406273263634
7,leave_one_sequence_out,y27632,coord_only,pixels,46207,48549,12.356619146306238,3.298711764791592,3.124858890364434,0.9335104739541494,0.9828008815835547,0.25815567776885207,0.3030791938103224,9.467954430270208
7,leave_one_sequence_out,y27632,coord_shape,pixels,46207,48549,12.356619146306238,3.2433210073495378,3.082265409562947,0.9173206451214238,0.9840161486333395,0.2506683968773816,0.3006385485089568,8.915856998324491
7,leave_one_sequence_out,y27632,coord_actin,pixels,46207,48549,12.356619146306238,3.3047504082692947,3.1313466773654817,0.9284846237821582,0.9833158252487177,0.255900224515438,0.22423869025603144,9.439907460912563
7,leave_one_sequence_out,y27632,coord_contact,pixels,46207,48549,12.356619146306238,3.3003687831470434,3.1262619747009106,0.9379389894745515,0.9837895734206678,0.2608642814476096,0.3262260796717631,9.550498137795314
7,leave_one_sequence_out,y27632,coord_reliability,pixels,46207,48549,12.356619146306238,3.421805225290756,3.2278710480755786,0.9579188036828771,0.9883622731673155,0.2731405384250963,0.28699138536708196,11.127231773497602
7,leave_one_sequence_out,y27632,full_real,pixels,46207,48549,12.356619146306238,3.295734439864976,3.1239159344720706,0.9341490040989516,0.9858081525881068,0.2599785783435292,0.2916894858924845,9.530890458729809
7,leave_one_sequence_out,y27632,full_zero_state,pixels,46207,48549,12.356619146306238,3.299767548734808,3.125525994424875,0.9344785680446559,0.9830686522894395,0.2587736101670477,0.30973952542262007,9.48545892770759
7,leave_one_sequence_out,y27632,full_row_shuffled,pixels,46207,48549,12.356619146306238,3.310968793925615,3.134761868676438,0.9364147562256689,0.9834806072215699,0.25994768172361943,0.3081346607838456,9.613455336396791
7,leave_one_sequence_out,y27632,full_wrong_cell,pixels,46207,48549,12.356619146306238,3.293684377191345,3.1205386899979355,0.931636079012956,0.9825537086242765,0.2570948938186162,0.2993430982890888,9.346659608502815
7,leave_one_sequence_out,y27632,full_time_shuffled,pixels,46207,48549,12.356619146306238,3.3362142957485945,3.1565700884685683,0.9404931100537601,0.9845516900451091,0.2625224000494346,0.26736530182714063,9.925956289199387
7,leave_one_sequence_out,lisa,coord_only,pixels,24807,46207,15.196143873100107,3.909729712316403,3.704397581267723,0.7764840824983228,0.927045685718614,0.1517648841084684,0.27497151589048086,12.840767624708834
7,leave_one_sequence_out,lisa,coord_shape,pixels,24807,46207,15.196143873100107,3.9063203870611023,3.682393465297217,0.7483714588698682,0.921137489990694,0.1347544744302811,0.31230817462950616,12.06012430118187
7,leave_one_sequence_out,lisa,coord_actin,pixels,24807,46207,15.196143873100107,3.911485021616495,3.714025023251249,0.7943168783950484,0.9319150778020646,0.1631159780985565,0.2779391733705136,13.345377535506863
7,leave_one_sequence_out,lisa,coord_contact,pixels,24807,46207,15.196143873100107,3.902599136374426,3.7002915913670242,0.777306468716861,0.9285389659575389,0.15292271733719998,0.2920602186594788,12.791977633034783
7,leave_one_sequence_out,lisa,coord_reliability,pixels,24807,46207,15.196143873100107,3.907493419095614,3.6933993336567874,0.7631311273183716,0.9257904646482135,0.14446079598329253,0.3037306349312213,12.583392815626556
7,leave_one_sequence_out,lisa,full_real,pixels,24807,46207,15.196143873100107,3.8965787564677057,3.6803013884038984,0.7524184647347805,0.9238859913000195,0.13815222801739996,0.33212815242777227,12.226534963837263
7,leave_one_sequence_out,lisa,full_zero_state,pixels,24807,46207,15.196143873100107,3.9086565545924574,3.7046331168395548,0.7772199017464886,0.927413595342697,0.15231674854459276,0.2786301641120481,12.86482493428433
7,leave_one_sequence_out,lisa,full_row_shuffled,pixels,24807,46207,15.196143873100107,3.9085934291190663,3.705858329470781,0.7784534810742961,0.9280628476204904,0.15325816434739326,0.2749801941106214,12.893474373122869
7,leave_one_sequence_out,lisa,full_wrong_cell,pixels,24807,46207,15.196143873100107,3.9105167711489615,3.714131115497957,0.7908325578375571,0.9301837383946155,0.16050814811608632,0.2706671485738239,13.220645532183536
7,leave_one_sequence_out,lisa,full_time_shuffled,pixels,24807,46207,15.196143873100107,3.907373935336294,3.6993402713012644,0.7693639491851884,0.9244703183500336,0.14691713376761095,0.28121277023155017,12.62914670557189
42,chronological,all_sequences,coord_only,pixels,26363,29400,9.19594809303857,3.558305088109225,3.247186337710336,0.7132312925170068,0.906156462585034,0.10969387755102039,0.5500676747867691,7.826758924185991
42,chronological,all_sequences,coord_shape,pixels,26363,29400,9.19594809303857,3.450297663356197,3.198453059413568,0.6991156462585034,0.9138775510204081,0.10649659863945576,0.6196466432581164,7.709276993453436
42,chronological,all_sequences,coord_actin,pixels,26363,29400,9.19594809303857,3.4656440167451894,3.2081353589728083,0.695374149659864,0.9099319727891156,0.1026530612244898,0.6044151771521017,7.6159779054597285
42,chronological,all_sequences,coord_contact,pixels,26363,29400,9.19594809303857,3.546957903849528,3.244331017077527,0.7108163265306122,0.9057142857142857,0.10826530612244895,0.5529537179948343,7.769384078991951
