objective_name,horizon,movies,component_rmse_mean,target_component_sd_mean,normalized_rmse_mean,normalized_rmse_std,variance_explained_mean,skill_vs_cv_mean
lambda_00,1,6,3.4743735539609095,4.943697863903391,0.7021524369132831,0.021529490518289954,0.5065956895350905,0.34057376321576044
lambda_00,2,6,4.386432118842225,8.884737819024766,0.4927635201103279,0.025407510026178224,0.7566461619437032,0.1825919317102799
lambda_00,4,6,5.733410335143067,15.98889185047153,0.3580749286616234,0.027001255543964216,0.8711747889631813,0.06926112391007415
lambda_00,6,6,6.7846380047434645,21.963488448339163,0.30870954608784823,0.02719632330713264,0.9040820494863796,-0.043222802256330316
lambda_01,1,6,3.5116900632442403,4.943697863903391,0.7098045234003947,0.02072726049465859,0.495819522453994,0.32599932921914027
lambda_01,2,6,4.313624687255749,8.884737819024766,0.48456471150340147,0.02435547494688589,0.7647027160657184,0.20954414723630999
lambda_01,4,6,5.53278665283628,15.98889185047153,0.34545292168865244,0.02619440340813806,0.8800904899218502,0.13358364969526879
lambda_01,6,6,6.49277427606244,21.963488448339163,0.29532844907867045,0.02591736957668236,0.9122213487933085,0.04489640414834195
lambda_02,1,6,3.5445319177264167,4.943697863903391,0.7164273139466079,0.02245808351485703,0.4863115992352817,0.3135124345354321
lambda_02,2,6,4.271423863555351,8.884737819024766,0.4798507962663134,0.02283264632481721,0.76930877187409,0.22479291338629795
lambda_02,4,6,5.405661322066933,15.98889185047153,0.33753035819762367,0.024123153607015148,0.8855883185116942,0.17326841183133182
lambda_02,6,6,6.301018409554183,21.963488448339163,0.28663079379565654,0.0236632609460385,0.9173761631159049,0.10118934443034638
lambda_03,1,6,3.5932940200463617,4.943697863903391,0.7263725702597107,0.019130555877204757,0.47207790736749256,0.2939089676434578
lambda_03,2,6,4.231223015562036,8.884737819024766,0.4754115407541171,0.022527430804647072,0.7735609626355813,0.2390472455763983
lambda_03,4,6,5.258092769671411,15.98889185047153,0.3283848788716413,0.02593201099930632,0.8916029803330674,0.21666105600918853
lambda_03,6,6,6.073953986780772,21.963488448339163,0.2763651439130212,0.02612584153780763,0.9230535075665528,0.16256964334660656
lambda_04,1,6,3.6200852791982996,4.943697863903391,0.7318292852639043,0.01921839154503581,0.4641181084188077,0.28301910691968674
lambda_04,2,6,4.225832098714843,8.884737819024766,0.4748220332864624,0.022472365755588097,0.7741231973534988,0.2409004844037906
lambda_04,4,6,5.222581172129511,15.98889185047153,0.3261655243630497,0.028151734699756927,0.8929556172448057,0.22676328054969241
lambda_04,6,6,6.0104303846535325,21.963488448339163,0.27348218582210465,0.029059493234257643,0.9245037822487706,0.17884112525321436
lambda_05,1,6,3.649059012650168,4.943697863903391,0.7376900353765153,0.01671842373028134,0.4555804902961745,0.27117307585163836
lambda_05,2,6,4.2179397363407185,8.884737819024766,0.47393673857373503,0.02247737780098882,0.7749629407360841,0.24375437663063426
lambda_05,4,6,5.175607897480796,15.98889185047153,0.32321095200648947,0.02936819471523981,0.8948159381190318,0.24054037904237002
lambda_05,6,6,5.931215785579514,21.963488448339163,0.2698537093978352,0.0302253880364354,0.9264176637892678,0.19996075628436064
lambda_06,1,6,3.69352148063825,4.943697863903391,0.746839343966209,0.02292203979794132,0.4417931443803738,0.2533335190472739
lambda_06,2,6,4.199445600069519,8.884737819024766,0.47179861265127504,0.021393443673946442,0.7770246695734735,0.25049901548728565
lambda_06,4,6,5.084943336000908,15.98889185047153,0.3173628860235845,0.02717554982419396,0.8986653731512421,0.2678225097135319
lambda_06,6,6,5.784695286293917,21.963488448339163,0.26297856963191946,0.02694946245313375,0.9302370439755889,0.2403748094796432
lambda_07,1,6,3.7203769123820187,4.943697863903391,0.7519874489607655,0.02367414489728643,0.43404782232496547,0.2432607073769241
lambda_07,2,6,4.192603603819616,8.884737819024766,0.4711143315438408,0.020683826333046572,0.7776947693875204,0.2526023182804314
lambda_07,4,6,5.042530783450265,15.98889185047153,0.31490137750334646,0.02652061141191839,0.9002510034217766,0.27864351910451274
lambda_07,6,6,5.710519445775847,21.963488448339163,0.259810068827017,0.026846200369515856,0.9318981294075338,0.2574878051883939
lambda_08,1,6,3.7375010285079355,4.943697863903391,0.7553860082825413,0.02443933207956946,0.42889424436388895,0.23644331362932328
lambda_08,2,6,4.193686392299046,8.884737819024766,0.471230133711457,0.020635123893342183,0.7775873208005377,0.25223803050451915
lambda_08,4,6,5.031543896571478,15.98889185047153,0.31420662221751827,0.02674293534113674,0.9006782113957742,0.28176376781734774
lambda_08,6,6,5.685822299293135,21.963488448339163,0.25868105584981665,0.02709264266354896,0.932472435272345,0.26371626682974225
lambda_09,1,6,3.7922158326639575,4.943697863903391,0.7666483673189576,0.030391560845408793,0.4114805750783266,0.21406251908191
lambda_09,2,6,4.17791416827746,8.884737819024766,0.4693963646499962,0.019303119534628727,0.7793565441668943,0.2580814242553077
lambda_09,4,6,4.9315386923622935,15.98889185047153,0.3077711531829857,0.022375981556938658,0.9048596801428848,0.3121563603835817
lambda_09,6,6,5.518749755686392,21.963488448339163,0.25088663090192403,0.021481802179395437,0.9366713419139528,0.31007410444542144
lambda_10,1,6,3.8079649327152563,4.943697863903391,0.7697786618922685,0.031252858171047775,0.40662686074213233,0.2077048419903834
lambda_10,2,6,4.180735110335249,8.884737819024766,0.46970543930689485,0.01932319159659683,0.779065645507618,0.25710994678472593
lambda_10,4,6,4.92497815384113,15.98889185047153,0.30734811059490075,0.0225113840102975,0.9051148369053621,0.3140366091475739
lambda_10,6,6,5.500748634593833,21.963488448339163,0.25005733727826174,0.02155610254540868,0.937084106775849,0.31455790327671557
