variant,n_islands,displacement_rmse_macro,displacement_r2_macro,gain_vs_cv_percent_mean,positive_islands,drift_observed_cosine_mean,drift_shuffled_cosine_mean,energy_decrease_fraction_mean,shuffled_energy_decrease_fraction_mean,bounded_below_folds
advective_unconstrained,22,0.10846628374377744,0.020385859663178043,8.829368571263005,22,0.7007280079133915,-0.0008354931516167488,0.8948026377899917,0.49847688978694865,22
helmholtz_unconstrained,22,0.10900414575355276,0.012117446154236261,8.443805245922398,22,0.7003612230138935,-0.0010000704023643125,0.8946345102362406,0.4987363143795582,22
potential_boundary_constrained,22,0.10861065829861,0.017140257688639807,8.703538047291435,22,0.7006997886599702,-0.0009583459072746422,0.8949358061755839,0.4984831023938227,22
potential_constrained,22,0.10861042457481146,0.017144935098254176,8.703758112532169,22,0.7007024650658285,-0.0009616510464504066,0.8948942036172508,0.4984843953302496,22
potential_unconstrained,22,0.10861042457481146,0.017144935098254103,8.703758112532169,22,0.7007024650658286,-0.00096165104645041,0.8948942036172508,0.4984843953302496,22
