outer_group,validation_group,variant,fit_kind,n_test,validation_rmse,alpha,threshold,innovation_rmse,displacement_rmse,displacement_r2,angular_cosine,magnitude_ratio,gain_vs_cv_percent,drift_observed_cosine,drift_shuffled_cosine,first_order_energy_decrease_fraction,shuffled_energy_decrease_fraction,first_order_energy_change_mean,quadratic_r,gradient_k_transverse,gradient_k_longitudinal,quartic_g,boundary_h,bounded_below_effective_functional
cn03_1_4/island01,cn03_1_4/island02,helmholtz_unconstrained,unconstrained,6172,0.08592145258416234,0.01,0.0,0.09758449873990586,0.09758449786519569,-0.18595596419083016,0.45300709390663013,0.9238011264063939,9.095263657483171,0.7168039377473006,0.013754553981688825,0.9005184705119896,0.5061568373298768,-0.037636769718430385,1.316117245014766,12.400201082887383,6.121567223679911,-0.0,0.0,True
cn03_1_4/island01,cn03_1_4/island02,potential_unconstrained,unconstrained,6172,0.08549066248887967,0.01,0.0,0.09709286090717727,0.09709286007161684,-0.1740362016268977,0.454736397456429,0.9278448681814032,9.553248326964587,0.7173089408238108,0.013706117050331784,0.9013285806869734,0.5048606610499028,-0.038318572646682474,1.2788995675256136,9.961670266263903,5.012426947742773,0.10161721081819754,0.0,True
cn03_1_4/island01,cn03_1_4/island02,potential_constrained,constrained,6172,0.08549066248887967,0.01,0.0,0.09709286090717725,0.09709286007161683,-0.17403620162689726,0.454736397456429,0.9278448681814032,9.5532483269646,0.7173089408238108,0.013706117050331791,0.9013285806869734,0.5048606610499028,-0.03831857264668252,1.2788995675256134,9.961670266263855,5.01242694774283,0.10161721081820047,0.0,True
cn03_1_4/island01,cn03_1_4/island02,potential_boundary_constrained,constrained,6172,0.08549069290023499,0.01,0.0,0.09709285907526259,0.09709285823970217,-0.1740361573242759,0.4547339577735667,0.9278429614268935,9.553250033482776,0.7173083172267462,0.013706726834144324,0.9013285806869734,0.5048606610499028,-0.03831857283543842,1.2788996114991011,9.961672457454757,5.012433315013091,0.10161716299589321,7.560562794024973e-06,True
cn03_1_4/island01,cn03_1_4/island02,advective_unconstrained,unconstrained,6172,0.08607760992090695,0.01,0.01,0.09714324918917595,0.09714324835449964,-0.17525509699626873,0.4548803598618282,0.9273640366067105,9.5063091750458,0.7174832873086906,0.013505231343653463,0.9011665586519767,0.5058327932598834,-0.038330048834747284,1.278052816434182,9.989539278355188,5.03030929977762,0.10112465303429331,0.0,True
cn03_1_4/island02,cn03_1_4/island03,helmholtz_unconstrained,unconstrained,5423,0.1556588170507273,0.01,0.0,0.08591131505877779,0.08591131521181765,-0.2434818926208122,0.4553800057526235,0.9240018738480893,9.159251174634022,0.7064536538138926,-0.018822392658590897,0.8982113221464134,0.4860778167066199,-0.02821660846209258,1.315227628195069,12.399882879137742,6.627769662153677,-0.0,0.0,True
cn03_1_4/island02,cn03_1_4/island03,potential_unconstrained,unconstrained,5423,0.1545382626726908,100.0,0.0,0.08548908720383967,0.08548908734023764,-0.23128926062873312,0.45657346648563146,0.9282741895400984,9.605705706667457,0.707470154600259,-0.018786449157657405,0.8978425225889729,0.4860778167066199,-0.028320707275022984,1.2786481480197076,10.181132247070853,5.3618807119292615,0.09660788415230405,0.0,True
cn03_1_4/island02,cn03_1_4/island03,potential_constrained,constrained,5423,0.1545382626726908,100.0,0.0,0.08548908720383967,0.08548908734023765,-0.23128926062873334,0.45657346648563146,0.9282741895400984,9.605705706667443,0.7074701546002587,-0.018786449157657408,0.8978425225889729,0.4860778167066199,-0.028320707275022974,1.2786481480197067,10.181132247071035,5.361880711929163,0.0966078841523037,0.0,True
cn03_1_4/island02,cn03_1_4/island03,potential_boundary_constrained,constrained,5423,0.15453852602380197,100.0,0.0,0.08548908841474807,0.08548908855114594,-0.23128929550987265,0.4565736910692654,0.9282746123244984,9.605704426279457,0.7074697211496657,-0.018786585321337146,0.8978425225889729,0.4860778167066199,-0.02832070702736129,1.2786481389901805,10.18113170838166,5.361879328668995,0.09660789409513543,-1.615881054699895e-06,True
cn03_1_4/island02,cn03_1_4/island03,advective_unconstrained,unconstrained,5423,0.15367929348484013,0.01,0.0,0.08609820433488911,0.08609820445408739,-0.24889785347261317,0.4565324735302565,0.9282040911731477,8.961638570597747,0.7075603935104713,-0.018800535036418996,0.8976581228102526,0.48626221648534024,-0.028164621688638376,1.2781399581276283,10.057988015853182,5.5173302576020715,0.09632180270505465,0.0,True
