method,contract,horizon,component_rmse,vector_rmse,r2,cosine,magnitude_ratio,n_rows,test_movie,seed,evaluation,fit_movies,validation_movies,confirmation_movies,windows,component_r2,vector_r2
hgbdt_track,streaming_receding_h1,4,6.000331878662109,8.485750198364258,0.8631754333526434,0.899734616279602,0.8316783308982849,13868.0,15,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
hgbdt_track,streaming_receding_h1,6,7.239686489105225,10.238463401794434,0.8981700741270083,0.9260889887809753,0.8311485648155212,13126.0,15,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
hgbdt_track,streaming_receding_h1,1,3.2906768321990967,4.653720378875732,0.5213988961729183,0.7248850464820862,0.8168992400169373,14986.0,16,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
hgbdt_track,streaming_receding_h1,2,4.329305171966553,6.122561931610107,0.7512308303553104,0.8352847099304199,0.8299506306648254,14607.0,16,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
hgbdt_track,streaming_receding_h1,4,5.8028059005737305,8.206406593322754,0.8657172811305329,0.8980312943458557,0.8387392163276672,13853.0,16,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
hgbdt_track,streaming_receding_h1,6,6.918308734893799,9.783966064453125,0.901646281585675,0.9234383702278137,0.8400856852531433,13110.0,16,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
gru_track,streaming_receding_h1,1,3.0771689414978027,4.351774215698242,0.5671376400704935,0.7558196187019348,0.805836021900177,14984.0,10,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
gru_track,streaming_receding_h1,2,4.388664722442627,6.206509590148926,0.7417977919995339,0.8283611536026001,0.8240823149681091,14610.0,10,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
gru_track,streaming_receding_h1,4,6.096284866333008,8.621448516845703,0.8520513901318507,0.8945697546005249,0.8303979635238647,13863.0,10,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
gru_track,streaming_receding_h1,6,7.354647636413574,10.401042938232422,0.8894366068513007,0.925483763217926,0.8268749713897705,13117.0,10,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
gru_track,streaming_receding_h1,1,3.2830557823181152,4.642941951751709,0.5232279370068781,0.7309725284576416,0.7948604226112366,14994.0,11,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
gru_track,streaming_receding_h1,2,4.592523574829102,6.494809150695801,0.7198097737801235,0.82355135679245,0.8161939382553101,14618.0,11,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
gru_track,streaming_receding_h1,4,6.291082382202148,8.896934509277344,0.842147041369179,0.8876828551292419,0.8249587416648865,13870.0,11,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
gru_track,streaming_receding_h1,6,7.603435039520264,10.752881050109863,0.8820702156379583,0.9172714948654175,0.821654200553894,13124.0,11,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
gru_track,streaming_receding_h1,1,3.4187095165252686,4.8347859382629395,0.4676595849339299,0.6727983355522156,0.7769257426261902,14989.0,12,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
gru_track,streaming_receding_h1,2,4.611706256866455,6.521937370300293,0.698994313998621,0.8010638356208801,0.8085717558860779,14617.0,12,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
gru_track,streaming_receding_h1,4,6.297345161437988,8.905791282653809,0.8289828403623065,0.8714107871055603,0.8208560347557068,13879.0,12,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
gru_track,streaming_receding_h1,6,7.458574295043945,10.548016548156738,0.8756806544074708,0.9033787250518799,0.8207142949104309,13145.0,12,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
gru_track,streaming_receding_h1,1,3.7366204261779785,5.284379005432129,0.4347882328599795,0.6605938673019409,0.7517436146736145,14992.0,13,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
gru_track,streaming_receding_h1,2,5.026008605957031,7.107849597930908,0.6792041821466955,0.7947327494621277,0.782425045967102,14615.0,13,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
gru_track,streaming_receding_h1,4,6.814950942993164,9.637796401977539,0.8205499173563968,0.8744835257530212,0.7912079691886902,13864.0,13,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
gru_track,streaming_receding_h1,6,8.202995300292969,11.600787162780762,0.8660680695120855,0.9089735746383667,0.7899585962295532,13118.0,13,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
gru_track,streaming_receding_h1,1,3.4803452491760254,4.921951770782471,0.49167855877137034,0.6956338882446289,0.777382493019104,14994.0,14,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
gru_track,streaming_receding_h1,2,4.835421085357666,6.838318347930908,0.7021984744124485,0.8022364377975464,0.8017844557762146,14627.0,14,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
gru_track,streaming_receding_h1,4,6.545756816864014,9.257097244262695,0.8337758513879164,0.874567449092865,0.811213493347168,13896.0,14,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
gru_track,streaming_receding_h1,6,7.842315673828125,11.09070873260498,0.8762792305097785,0.9062924981117249,0.8099566698074341,13166.0,14,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
gru_track,streaming_receding_h1,1,3.2806620597839355,4.639556884765625,0.5362731047383653,0.728848397731781,0.7911286354064941,14983.0,15,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
gru_track,streaming_receding_h1,2,4.642524719238281,6.565521240234375,0.7247655837464841,0.8220134973526001,0.8115280866622925,14610.0,15,ensemble,three_seed_prediction_ensemble,"1,2,3,4",5,"10,11,12,13,14,15,16",,,
