method,h1_component_rmse,h6_component_rmse,h1_r2,h6_r2
ours_h6_utility,3.7211800444360987,4.819533087729029,0.396702047589637,0.952465638474533
ours_h1_strict,3.41059935231342,5.681860930665063,0.49327743644032385,0.9339636335727485
hgbdt_track,3.377167361123221,7.075831140790667,0.5029826196579856,0.8976562601416395
gru_track,3.3621273381369456,7.688849653516497,0.5073610040929306,0.8791302847246779
kalmannet,3.6037974698202953,7.788938181740897,0.4342152238745288,0.8760366416477042
