objective,variant,control,dataset,horizon,seeds,component_rmse_mean,component_rmse_std,r2_mean,gain_vs_prior_mean,seeds_positive
h6_guard10,lodo_zero_shot,real,HUVEC,1,3,1.1581228051999355,0.0123329540862993,0.4463167748899007,-25.842840867984577,0
h6_guard10,lodo_zero_shot,real,HUVEC,6,3,1.1922248996957896,0.0105251644529109,0.978788759137515,16.378628988412075,3
h6_guard10,lodo_zero_shot,real,MDAMB231,1,3,23.112416695478263,0.0805026108816082,0.2539242194779934,-1.0745649011719804,0
h6_guard10,lodo_zero_shot,real,MDAMB231,6,3,30.470922094065727,0.5228014508689032,-0.0538318324558578,2.2070154316820925,3
h6_guard10,lodo_zero_shot,real,MDCK_Bulk,1,3,4.26219153153972,0.003842381835885,0.4507497405787279,-3.021075473078451,0
h6_guard10,lodo_zero_shot,real,MDCK_Bulk,6,3,7.553240735411003,0.0877225451093697,0.9086413571612492,18.03687555941157,3
h6_guard10,lodo_zero_shot,real,MDCK_Edge,1,3,4.167212929099737,0.0819402492303679,0.3366110302060178,-11.079742143638285,0
h6_guard10,lodo_zero_shot,real,MDCK_Edge,6,3,5.260738769193815,0.0804923591912186,0.952194662579074,14.70562278682005,3
