outer_test_movie,validation_movie,train_movies,movie,split,rows,duplicate_keys,real_donor_coverage,real_future_donor_violations,stale_donor_coverage,stale_future_or_nonstale_violations,coherent_wrong_packet,wrong_fixed_point_fraction,wrong_single_permutation_sha256,feature_columns,uses_whole_movie_xy_normalization,prediction_time,latest_real_measurement,latest_stale_measurement,target_time
5,6,"1,2,3,4",1,train,14446,0,0.9760487332133463,0,0.9505745535096221,0,True,0.0,9385aa4c3434ecde88e866d7b9af4eefec49797991e065312dff6eec9988777f,25,False,t,completed transition t-1 to t,completed transition no later than t-2,t+1
5,6,"1,2,3,4",2,train,13633,0,0.9763074891806646,0,0.9517347612411061,0,True,0.0,11bbc6ec7e83812ec4ecc154af57fe39f15bd23283645e63ff6342ae3fb1265f,25,False,t,completed transition t-1 to t,completed transition no later than t-2,t+1
5,6,"1,2,3,4",3,train,12799,0,0.9762481443862802,0,0.9514805844206579,0,True,0.0,2a06bd7eda4bd760c75e3bfed7ae0769fbdb2cc54579f68d9d33914a39cc9677,25,False,t,completed transition t-1 to t,completed transition no later than t-2,t+1
5,6,"1,2,3,4",4,train,13260,0,0.9763197586726998,0,0.9513574660633484,0,True,0.0,a0cc79ee49ceb518ecaed824525ec51b0b98fee84c16658cefeef3023af20943,25,False,t,completed transition t-1 to t,completed transition no later than t-2,t+1
5,6,"1,2,3,4",5,test,14154,0,0.9761198247845132,0,0.9507559700438039,0,True,0.0,bea4783dc090d7dcdf74dc5d8782b54d43f977d1160e7806e349a3634e3a18e3,25,False,t,completed transition t-1 to t,completed transition no later than t-2,t+1
5,6,"1,2,3,4",6,validation,12960,0,0.9761574074074074,0,0.9513117283950617,0,True,0.0,940b2932f7fc84ebef253d12ba788db27ed4655df49c98a8c5e698807c00d7b8,25,False,t,completed transition t-1 to t,completed transition no later than t-2,t+1
6,1,"2,3,4,5",1,validation,14446,0,0.9760487332133463,0,0.9505745535096221,0,True,0.0,5b48e3c1b51d2391475f15db85c3536b16967cbc618ceef02bb381bdee06c0e0,25,False,t,completed transition t-1 to t,completed transition no later than t-2,t+1
6,1,"2,3,4,5",2,train,13633,0,0.9763074891806646,0,0.9517347612411061,0,True,0.0,5c5ee29cdba8d00930b378a9d83230d9afc58e157cea5878940b988d021e1beb,25,False,t,completed transition t-1 to t,completed transition no later than t-2,t+1
6,1,"2,3,4,5",3,train,12799,0,0.9762481443862802,0,0.9514805844206579,0,True,0.0,85d6e6107eb33820fd8e9f8546898f11c435143f1fb478d44fb55e9b9fa0460c,25,False,t,completed transition t-1 to t,completed transition no later than t-2,t+1
6,1,"2,3,4,5",4,train,13260,0,0.9763197586726998,0,0.9513574660633484,0,True,0.0,601a806464a62fb6a8327dbe2824333667a4ab21ce2f5f6fc3c42e2c3fe78147,25,False,t,completed transition t-1 to t,completed transition no later than t-2,t+1
6,1,"2,3,4,5",5,train,14154,0,0.9761198247845132,0,0.9507559700438039,0,True,0.0,0c669302b85a8d342caeea9427a19fde2e5d4096b8507becbbef8183b72b604a,25,False,t,completed transition t-1 to t,completed transition no later than t-2,t+1
6,1,"2,3,4,5",6,test,12960,0,0.9761574074074074,0,0.9513117283950617,0,True,0.0,e044005e83d7f1203bdb1522137f4325701a56ee62ec192ed475b4d99760c50e,25,False,t,completed transition t-1 to t,completed transition no later than t-2,t+1
