objective_name,variant,horizon,movies,component_rmse_mean,component_rmse_std,component_r2_mean,vector_rmse_mean,vector_r2_mean,gain_vs_no_update_percent
lambda_04,lambda_04_real,6,6,6.0104303846535325,0.8187488311541338,0.9244465300617485,8.500032165676364,0.9252680912641917,23.248960607570268
lambda_04,lambda_04_stale_time,1,6,3.652557075090453,0.41171204834712966,0.4551763931502271,5.165495752934722,0.4566725701504964,-5.036250895188403
lambda_04,lambda_04_stale_time,2,6,4.95082056428852,0.49208316950622283,0.6899093966017887,7.001517586892445,0.6917826101563471,-5.678024505675743
lambda_04,lambda_04_stale_time,4,6,5.880332128186031,0.6449943494326041,0.8646983014448976,8.316045446938931,0.8658240981697344,9.285007244567474
lambda_04,lambda_04_stale_time,6,6,6.6167209143274315,0.7581976968787905,0.9088607641726553,9.357456455479559,0.9098627506539213,15.40411287595076
lambda_04,lambda_04_wrong_cell,1,6,3.6732339925910202,0.39103517059088105,0.44846412628805243,5.194737330092093,0.44982832421940905,-5.675398597049188
lambda_04,lambda_04_wrong_cell,2,6,4.948446508423928,0.49156243961864826,0.6903552343143865,6.998160164890908,0.6920735176713441,-5.615217214945943
lambda_04,lambda_04_wrong_cell,4,6,6.845899932999797,0.6240389169968014,0.8168762145308802,9.681564531897376,0.8182375421658611,-5.810921612006788
lambda_04,lambda_04_wrong_cell,6,6,8.266656034736862,0.6927472915652519,0.8583471216873794,11.690817079798263,0.8596820829325331,-5.976125954496308
lambda_05,lambda_05_real,1,6,3.649059012650168,0.3766149809330063,0.45558919678844684,5.160548745589643,0.4568237574580802,-5.022678987870378
lambda_05,lambda_05_real,2,6,4.2179397363407185,0.49107396427360145,0.7749497760047714,5.965067580405441,0.7762557037443901,10.135064539372726
lambda_05,lambda_05_real,4,6,5.175607897480796,0.6989274519629378,0.8948386194902156,7.319414882142641,0.8956590528846596,20.29376601161822
lambda_05,lambda_05_real,6,6,5.931215785579514,0.8405489793839811,0.9263822648815531,8.388005805327941,0.9271720709465843,24.280490124722082
lambda_05,lambda_05_stale_time,1,6,3.6705334964112413,0.40761647414282187,0.4497306762948465,5.190918251769514,0.4512703544055688,-5.581230379230555
lambda_05,lambda_05_stale_time,2,6,4.985036566819863,0.49754341069932767,0.6855821822643464,7.049906321722463,0.6874712763470407,-6.416034068291457
lambda_05,lambda_05_stale_time,4,6,5.868471070743346,0.6432964225447055,0.8652683957038434,8.299271378639398,0.8663793877389349,9.467765422382742
lambda_05,lambda_05_stale_time,6,6,6.569227541498297,0.7595575843892135,0.9101781809435204,9.290290683501754,0.9111524457105374,16.016355829514403
lambda_05,lambda_05_wrong_cell,1,6,3.7021775455461916,0.39184044839848764,0.4398602121532021,5.235669695224561,0.44117858052951614,-6.518879341386246
lambda_05,lambda_05_wrong_cell,2,6,4.97268700663511,0.4912121500688853,0.6872937144505128,7.032441406219841,0.6890026579243665,-6.144774439427851
lambda_05,lambda_05_wrong_cell,4,6,6.876771517740594,0.6241310315077183,0.8152244648791919,9.725223545729763,0.8165711613111496,-6.301105691102016
lambda_05,lambda_05_wrong_cell,6,6,8.299015447865273,0.6943448132540366,0.8572445487375538,11.736580200714895,0.8585590680883574,-6.403687164812005
