state,islands,frames,functional_delta_mean,functional_delta_median,decrease_fraction
observed,22,398,-0.007943576304419716,-0.00015651847104377128,0.5125628140703518
potential_damped,22,398,-0.040475058880053046,-0.01755378763942797,1.0
potential_raw,22,398,-0.040475058880053046,-0.01755378763942797,1.0
time_shuffled_observed,22,398,-0.008370120896416849,0.0,0.49246231155778897
