outer_test_movie,validation_movie,train_movies,movie,split,rows,duplicate_keys,real_donor_coverage,real_future_donor_violations,stale_donor_coverage,stale_future_or_nonstale_violations,coherent_wrong_packet,wrong_fixed_point_fraction,wrong_single_permutation_sha256,feature_columns,uses_whole_movie_xy_normalization,prediction_time,latest_real_measurement,latest_stale_measurement,target_time
5,6,"1,2,3,4",1,train,14446,0,0.9760487332133463,0,0.9505745535096221,0,True,0.0,a46b88c3cae75d7cdc1e43ee72ff857228f5fbd9ed64e817a7cbe9a37cf62a7c,25,False,t,completed transition t-1 to t,completed transition no later than t-2,t+1
5,6,"1,2,3,4",2,train,13633,0,0.9763074891806646,0,0.9517347612411061,0,True,0.0,1e1a673adf2a11464dd67bb627e8d60cba669f88a737610eae248244ca4c5b62,25,False,t,completed transition t-1 to t,completed transition no later than t-2,t+1
5,6,"1,2,3,4",3,train,12799,0,0.9762481443862802,0,0.9514805844206579,0,True,0.0,6cef94962037d1002c112eab2a54e7e490748fd505d61365552ceb2817eefb4e,25,False,t,completed transition t-1 to t,completed transition no later than t-2,t+1
5,6,"1,2,3,4",4,train,13260,0,0.9763197586726998,0,0.9513574660633484,0,True,0.0,b74d100dc3c75f7ff21e691fb803d84959fde3408ba721668cf1bece1b980232,25,False,t,completed transition t-1 to t,completed transition no later than t-2,t+1
5,6,"1,2,3,4",5,test,14154,0,0.9761198247845132,0,0.9507559700438039,0,True,0.0,a9ca73c3bce6c3a02f846d22a679030908a631b4e273901ab6e169cc07935e7f,25,False,t,completed transition t-1 to t,completed transition no later than t-2,t+1
5,6,"1,2,3,4",6,validation,12960,0,0.9761574074074074,0,0.9513117283950617,0,True,0.0,4f83a2e70945c6da32da4aa706c44d545d90d8363084e33d85307dcd85da6d2b,25,False,t,completed transition t-1 to t,completed transition no later than t-2,t+1
6,1,"2,3,4,5",1,validation,14446,0,0.9760487332133463,0,0.9505745535096221,0,True,0.0,959506280fe74a6e9eb8104b1b84a09268a03f7b136d53127be706e9ec35ec49,25,False,t,completed transition t-1 to t,completed transition no later than t-2,t+1
6,1,"2,3,4,5",2,train,13633,0,0.9763074891806646,0,0.9517347612411061,0,True,0.0,4a40a93925c98e54e8cffaa063dbce46f9a4d98582757a4fbc4385babac61993,25,False,t,completed transition t-1 to t,completed transition no later than t-2,t+1
6,1,"2,3,4,5",3,train,12799,0,0.9762481443862802,0,0.9514805844206579,0,True,0.0,b20355d3ab842a826114af0fad6e561a443c1d36a3c5e2cbfa55644441003857,25,False,t,completed transition t-1 to t,completed transition no later than t-2,t+1
6,1,"2,3,4,5",4,train,13260,0,0.9763197586726998,0,0.9513574660633484,0,True,0.0,5b474389d6dd102a5f99969b580f77cb39c47d42c16d88a2e5641895fecb9d0e,25,False,t,completed transition t-1 to t,completed transition no later than t-2,t+1
6,1,"2,3,4,5",5,train,14154,0,0.9761198247845132,0,0.9507559700438039,0,True,0.0,4aa3bb4b54a542781617eba9a7890fd88be0b7cb2a09262daf2882ee25455f2e,25,False,t,completed transition t-1 to t,completed transition no later than t-2,t+1
6,1,"2,3,4,5",6,test,12960,0,0.9761574074074074,0,0.9513117283950617,0,True,0.0,3f17f35f5f08bb2edcae544bf2f5eb3a8b75e27746179f941cbaec5b9097b5e2,25,False,t,completed transition t-1 to t,completed transition no later than t-2,t+1
