objective_name,horizon,comparator,mean_component_rmse_delta_comparator_minus_real,relative_gain_percent,movies_real_better,exact_two_sided_sign_flip_p,bootstrap_ci_low,bootstrap_ci_high,bootstrap_probability_positive
h1_strict,1,v97_no_update,0.008640153820638133,0.2480654555373928,4,0.84375,-0.03955079719882241,0.05751807889487045,0.60764
h1_strict,1,constant_velocity,0.8173343988563713,19.044501812380638,6,0.03125,0.6736957190635415,0.9736047951013522,1.0
h1_strict,1,stale_time,0.09143886405069135,2.5643206465044583,6,0.03125,0.055146109373072814,0.1428619322367113,1.0
h1_strict,1,wrong_cell,0.04560861486377651,1.2957058495272182,6,0.03125,0.029561914191902128,0.06232802212492931,1.0
h1_strict,2,v97_no_update,0.3057158971961655,6.515478543114743,6,0.03125,0.2615206998346617,0.3491215965087206,1.0
h1_strict,2,constant_velocity,0.46272743977187036,9.542425531242351,6,0.03125,0.4074523554970395,0.5256757509419633,1.0
h1_strict,2,stale_time,0.38091953649350185,7.990170728588234,6,0.03125,0.2965896991745747,0.46836626137806664,1.0
h1_strict,2,wrong_cell,0.42725781374365995,8.87588980028341,6,0.03125,0.332035407429674,0.5224802200576458,1.0
h1_strict,4,v97_no_update,0.746470942268108,11.519824365768873,6,0.03125,0.6132899643608042,0.8744381361487242,1.0
h1_strict,4,constant_velocity,0.21333649102880767,3.587448688582219,4,0.1875,0.02085366382988359,0.4243153872393453,0.9861
h1_strict,4,stale_time,0.3578158586184834,5.874282898654258,6,0.03125,0.2949291650401178,0.4236169554775664,1.0
h1_strict,4,wrong_cell,0.9407796463736143,14.095787638334894,6,0.03125,0.7291687456109294,1.1523905471362994,1.0
h1_strict,6,v97_no_update,1.0274020666156507,13.151520694093243,6,0.03125,0.8231798289659334,1.219065377248082,1.0
h1_strict,6,constant_velocity,-0.12771916115622547,-1.9185927327213885,2,0.5,-0.456076586815632,0.22078156134282909,0.22804
h1_strict,6,stale_time,0.32357544623003137,4.552134632165787,6,0.03125,0.2661205290608195,0.37628763752462396,1.0
h1_strict,6,wrong_cell,1.304353058810395,16.12504017574392,6,0.03125,1.0119565591732667,1.5967495584475238,1.0
balanced_guard2,1,v97_no_update,-0.07710339176755047,-2.213697626147452,1,0.0625,-0.12473477386971621,-0.032750006143183207,2e-05
balanced_guard2,1,constant_velocity,0.7315908532681826,17.046613173851487,6,0.03125,0.6028528560806335,0.8753851355680017,1.0
balanced_guard2,1,stale_time,0.027704643074192365,0.7721856062429593,3,0.25,-0.004317256902072779,0.0599248481440399,0.94988
balanced_guard2,1,wrong_cell,0.04544149754267216,1.26031782091477,6,0.03125,0.03146492296883374,0.06024153211628258,1.0
balanced_guard2,2,v97_no_update,0.39058500798032086,8.324226061182403,6,0.03125,0.3527341782425542,0.4285666026105794,1.0
balanced_guard2,2,constant_velocity,0.5475965505560257,11.292607387671326,6,0.03125,0.47183269778315395,0.6225670161963341,1.0
balanced_guard2,2,stale_time,0.5471142669031055,11.283783924503128,6,0.03125,0.4404051030075526,0.6680466316907173,1.0
balanced_guard2,2,wrong_cell,0.5430687591598224,11.209701485148962,6,0.03125,0.45184832147656256,0.6442362073817905,1.0
balanced_guard2,4,v97_no_update,0.9934107909991052,15.330694320930368,6,0.03125,0.8649058816834364,1.1318327005400228,1.0
balanced_guard2,4,constant_velocity,0.4602763397598049,7.739968645278625,5,0.0625,0.18559746218662884,0.7183707935959008,0.99966
balanced_guard2,4,stale_time,0.4749705910486847,7.967378774311328,6,0.03125,0.3772538046947731,0.5853319692120627,1.0
balanced_guard2,4,wrong_cell,1.2070112456265243,18.032636734468415,6,0.03125,0.9915274331883347,1.44906981058873,1.0
balanced_guard2,6,v97_no_update,1.4080322227980382,18.023873532859042,6,0.03125,1.218852432756655,1.619035468711199,1.0
balanced_guard2,6,constant_velocity,0.2529109950261619,3.7992200441169075,4,0.34375,-0.15313911505864194,0.6552199974338735,0.88588
balanced_guard2,6,stale_time,0.42750327454120357,6.257814220568355,6,0.03125,0.33397983160908645,0.5349412821583716,1.0
balanced_guard2,6,wrong_cell,1.6707387800573652,20.690912754289382,6,0.03125,1.3639052390562865,2.0247652211808274,1.0
trajectory_guard5,1,v97_no_update,-0.1469379835437976,-4.2187024189861,0,0.03125,-0.21227329202655362,-0.09542302512207039,0.0
trajectory_guard5,1,constant_velocity,0.6617562614919356,15.419415038656751,6,0.03125,0.5317482707898719,0.79745435581455,1.0
trajectory_guard5,1,stale_time,0.0012189758459139426,0.03356977563556781,3,1.0,-0.04385493462228903,0.04629288631411691,0.52282
trajectory_guard5,1,wrong_cell,0.048072483272319534,1.3070192307144943,6,0.03125,0.031417477003209036,0.06650037509937128,1.0
trajectory_guard5,2,v97_no_update,0.4393778552834962,9.364109013220466,6,0.03125,0.41456759994046993,0.4660887298597752,1.0
trajectory_guard5,2,constant_velocity,0.5963893978592011,12.298819839816757,6,0.03125,0.5337346177895879,0.6588349704359643,1.0
trajectory_guard5,2,stale_time,0.6770735301062037,13.734178456030095,6,0.03125,0.5758812047017391,0.7966709397012214,1.0
trajectory_guard5,2,wrong_cell,0.6523705762892154,13.299732082352865,6,0.03125,0.5790126375619198,0.7470285881358127,1.0
trajectory_guard5,4,v97_no_update,1.1717490339534173,18.082878123679933,6,0.03125,1.0747054382602208,1.2933796379631795,1.0
trajectory_guard5,4,constant_velocity,0.638614582714117,10.7388897052679,6,0.03125,0.3921099080276426,0.8854763688729218,1.0
trajectory_guard5,4,stale_time,0.5820555113735245,9.881781966900931,6,0.03125,0.48819932540846284,0.6994185546001357,1.0
trajectory_guard5,4,wrong_cell,1.4602342128825878,21.574396455952773,6,0.03125,1.2746178329644533,1.7031413703100917,1.0
trajectory_guard5,6,v97_no_update,1.689385598745926,21.625408770490495,6,0.03125,1.5395187390758318,1.8929732010244118,1.0
trajectory_guard5,6,constant_velocity,0.5342643709740499,8.025700530940359,5,0.0625,0.15528217916740994,0.9357756227053584,0.99756
trajectory_guard5,6,stale_time,0.5263588773824449,7.916345624163779,6,0.03125,0.432551669865236,0.6495208065080046,1.0
trajectory_guard5,6,wrong_cell,2.0284614039466473,24.885689697773692,6,0.03125,1.7666193299675312,2.3748258382610623,1.0
h6_guard10,1,v97_no_update,-0.32495122493370815,-9.329599369871008,0,0.03125,-0.3869368586959367,-0.263846791311213,0.0
h6_guard10,1,constant_velocity,0.48374302010202497,11.271573588423532,6,0.03125,0.36253151476996903,0.6114154364329838,1.0
h6_guard10,1,stale_time,-0.037326744432665405,-0.9899317454710919,2,0.375,-0.10932191491485987,0.03745342759967696,0.16254
h6_guard10,1,wrong_cell,0.042998465349906624,1.1165638544243321,5,0.0625,0.015197698263571683,0.0704362300446139,0.99772
h6_guard10,2,v97_no_update,0.5114129057031412,10.899334461638114,6,0.03125,0.47490189959169493,0.5532321619387387,1.0
h6_guard10,2,constant_velocity,0.6684244482788463,13.784336031827424,6,0.03125,0.6209902561364994,0.7244331919242372,1.0
h6_guard10,2,stale_time,0.9841674147054705,19.054907811599243,6,0.03125,0.890569143295243,1.064831983392937,1.0
h6_guard10,2,wrong_cell,0.9138755721199666,17.938084558004892,6,0.03125,0.8614463972934628,0.9647809201988969,1.0
h6_guard10,4,v97_no_update,1.5549031235700443,23.99585821102042,6,0.03125,1.4937286361411404,1.6110778904594156,1.0
h6_guard10,4,constant_velocity,1.0217686723307442,17.181977006888854,6,0.03125,0.8417353993392188,1.1867769380849291,1.0
h6_guard10,4,stale_time,0.8849016655153036,15.230980554315925,6,0.03125,0.8028614846236365,0.9659394269485125,1.0
h6_guard10,4,wrong_cell,2.1004563795250153,29.897885597670054,6,0.03125,1.9598702297196071,2.2421523611392815,1.0
h6_guard10,6,v97_no_update,2.3112914367652824,29.58627216006037,6,0.03125,2.2081716235235493,2.4142214777135043,1.0
