objective_name,variant,control,horizon,movies,component_rmse_mean,component_rmse_std,vector_rmse_mean,r2_mean,gain_vs_prior_percent_mean,movies_improved_vs_prior,sign_flip_p
h1_strict,dense_start,no_update,1,6,3.483013707781548,0.43705543570803357,4.925725223476065,0.5059191051218614,0.0,0,1.0
h1_strict,dense_start,no_update,2,6,4.692148016038391,0.5283004496556831,6.6356993609435015,0.7232227225122462,0.0,0,1.0
h1_strict,dense_start,no_update,4,6,6.4798812774111765,0.6812862143374456,9.16393598508238,0.8370813057016641,0.0,0,1.0
h1_strict,dense_start,no_update,6,6,7.8120400713591165,0.761255921746067,11.047893018718142,0.8746039002712102,0.0,0,1.0
h1_strict,dense_start,real,1,6,3.4743735539609104,0.37777356241136023,4.913506200761929,0.5077326421395097,0.08100806624961872,4,0.84375
h1_strict,dense_start,real,2,6,4.386432118842225,0.5300500290500706,6.203351792895627,0.7580525595068085,6.57663636453513,6,0.03125
h1_strict,dense_start,real,4,6,5.733410335143067,0.7150817835279705,8.108266654609398,0.8721906212630041,11.6358906942337,6,0.03125
h1_strict,dense_start,real,6,6,6.7846380047434645,0.8353324822226046,9.594927082100144,0.9050428519157294,13.280449335117476,6,0.03125
h1_strict,dense_start,stale_time,1,6,3.565812418011601,0.42940679858481856,5.042820282430406,0.4823104480782447,-2.4378987984056986,0,0.03125
h1_strict,dense_start,stale_time,2,6,4.767351655335728,0.4928896624977271,6.742053367577611,0.7141759711674843,-1.6947027904991516,0,0.03125
h1_strict,dense_start,stale_time,4,6,6.091226193761551,0.6931877993701397,8.614294694699831,0.8559388340665474,6.0536201935100635,6,0.03125
h1_strict,dense_start,stale_time,6,6,7.108213450973497,0.8260857410183204,10.052531866609579,0.8959496216326911,9.112673847039686,6,0.03125
h1_strict,dense_start,wrong_cell,1,6,3.525396926112824,0.38330226841763904,4.985664145657175,0.4933364530390998,-1.3914053055037143,2,0.25
h1_strict,dense_start,wrong_cell,2,6,4.823008473147038,0.5098689223615557,6.820763994164895,0.7075279879089847,-2.8640992556591978,0,0.03125
h1_strict,dense_start,wrong_cell,4,6,6.691506457934307,0.6450535069895493,9.463219185517849,0.826279726253341,-3.3598814847902445,0,0.03125
h1_strict,dense_start,wrong_cell,6,6,8.113600641821622,0.7271465042389146,11.474364067343187,0.8647289983794327,-3.95047902650044,0,0.03125
