ladder_level,causal,horizon,movies,component_rmse,vector_rmse,r2,v97_component_rmse,gain_vs_v97_percent,conditional_information_proxy_nats
A0_v97,True,1,7,3.420378932523928,4.837146274830549,0.4899134428720919,3.420378932523928,0.0,0.0
A0_v97,True,2,7,4.3704799043987395,6.180791954879766,0.7481035821221542,4.3704799043987395,0.0,0.0
A0_v97,True,4,7,5.602715480152857,7.923436218149857,0.875297136103634,5.602715480152857,0.0,0.0
A0_v97,True,6,7,6.496100228503577,9.18687304568472,0.9137298669609996,6.496100228503577,0.0,0.0
A1_own,True,1,7,3.4536560830621426,4.884207272438823,0.4798574732490993,3.420378932523928,-0.9729083003577862,-0.009682060221896988
A1_own,True,2,7,4.285494622904855,6.060604617189019,0.757763134223888,4.3704799043987395,1.9445297393622594,0.01963684438042175
A1_own,True,4,7,5.399707360064433,7.636339381448941,0.8841459462035867,5.602715480152857,3.6233879947600975,0.036906627860670026
A1_own,True,6,7,6.217086574689767,8.79228815237396,0.9209655705986284,6.496100228503577,4.295094656784305,0.04390063133793769
A2_own_local,True,1,7,3.4133488053385506,4.827204173619779,0.49242058912120873,3.420378932523928,0.2055365011908216,0.0020574801733571706
A2_own_local,True,2,7,4.171774911941566,5.899780659635588,0.7704462526703859,4.3704799043987395,4.5465257089315,0.04653123741047246
A2_own_local,True,4,7,5.063580489142106,7.160984201912557,0.8981086877049256,5.602715480152857,9.622744415999536,0.10117754776804563
A2_own_local,True,6,7,5.772662824317561,8.16377805715687,0.9318507837709357,6.496100228503577,11.136487719381522,0.11806856325855207
A3_global,True,1,7,3.41059935231342,4.823315859862533,0.49327743644032385,3.420378932523928,0.2859209579826182,0.002863304927704987
A3_global,True,2,7,4.151639131466207,5.871304365798367,0.7726452748133286,4.3704799043987395,5.0072481219345395,0.051369593318603475
A3_global,True,4,7,5.0042909800406905,7.077136174034892,0.900470004652734,5.602715480152857,10.680972507564132,0.11295564697917115
A3_global,True,6,7,5.681860930665063,8.035364787664347,0.9339636335727486,6.496100228503577,12.53427855478271,0.13392322429232748
A4_causal_field,True,1,7,3.4084091675092694,4.8202184708084,0.4938764425453659,3.420378932523928,0.34995435449680584,0.0035056812711568236
A4_causal_field,True,2,7,4.195040968636256,5.932683832556159,0.7679340081236321,4.3704799043987395,4.01418012667007,0.04096971508321338
A4_causal_field,True,4,7,5.156853805811183,7.292892591353486,0.8943456974568129,5.602715480152857,7.957956742959748,0.08292472140370785
A4_causal_field,True,6,7,5.897028203430003,8.339657262987359,0.9288916311046735,6.496100228503577,9.222025584595613,0.09675350232388834
A5_noncausal_neighbour,False,1,7,3.235300297315727,4.575405558813608,0.5440215979507782,3.420378932523928,5.411056460683724,0.05562959266652738
A5_noncausal_neighbour,False,2,7,3.9544918599593832,5.592496020648566,0.793831831867953,4.3704799043987395,9.51813195664573,0.10002070846768443
A5_noncausal_neighbour,False,4,7,4.793834039394284,6.779505114277193,0.9087041394492269,5.602715480152857,14.437310686647695,0.155920870367995
A5_noncausal_neighbour,False,6,7,5.386981708518475,7.618342592442615,0.940650664276211,6.496100228503577,17.073605408957736,0.18721678379813927
A6_true_innovation,False,1,7,0.0,0.0,1.0,3.420378932523928,100.00000000000001,15.045261901884638
A6_true_innovation,False,2,7,0.0,0.0,1.0,4.3704799043987395,100.0,15.290383378982439
A6_true_innovation,False,4,7,0.0,0.0,1.0,5.602715480152857,100.0,15.53876194534604
A6_true_innovation,False,6,7,0.0,0.0,1.0,6.496100228503577,100.0,15.686712589969334
