outer_group,variant,control,term,coefficient_standardized,term_scale,coefficient_physical,validation_rmse,alpha,threshold
cn03_1_4/island01,relaxation,real,u_prev,-0.04385027402298503,0.11444690572756852,-0.3831494940314683,0.08621527340261598,0.01,0.0
cn03_1_4/island01,relaxation,kin_time_shuffled,u_prev,-0.0034015048801148257,0.11444690572756851,-0.029721248106190215,0.09453206449586574,0.01,0.0
cn03_1_4/island01,relaxation,kin_spatial_shifted,u_prev,-0.013209107856826429,0.11444690572756851,-0.11541690684298297,0.09481786324607379,100.0,0.0
cn03_1_4/island01,relaxation,kin_wrong_island,u_prev,-0.008065165393434917,0.11426232530726964,-0.07058464259104127,0.09496531877667666,100.0,0.0
cn03_1_4/island01,isotropic_pde,real,u_prev,-0.03618849969571412,0.11444690572756852,-0.31620339113280943,0.08585116901107905,0.01,0.0
cn03_1_4/island01,isotropic_pde,real,lap_u,0.011871601177007505,0.0007639418461511505,15.53992785814568,0.08585116901107905,0.01,0.0
cn03_1_4/island01,helmholtz_pde,real,u_prev,-0.03617864053906361,0.11444690572756852,-0.31611724501476607,0.08592145258416234,0.01,0.0
cn03_1_4/island01,helmholtz_pde,real,lap_u,0.009473032507906484,0.0007639418461511505,12.400201082887383,0.08592145258416234,0.01,0.0
cn03_1_4/island01,helmholtz_pde,real,grad_div_u,0.0036308288850554257,0.0005931208058959767,6.121567223679911,0.08592145258416234,0.01,0.0
cn03_1_4/island01,helmholtz_pde,kin_time_shuffled,u_prev,-0.00221085729904312,0.11444690572756851,-0.019317755119617516,0.09454636321346363,100.0,0.0
cn03_1_4/island01,helmholtz_pde,kin_time_shuffled,lap_u,0.0027742016559118444,0.0007639418461511505,3.631430415664063,0.09454636321346363,100.0,0.0
cn03_1_4/island01,helmholtz_pde,kin_time_shuffled,grad_div_u,-0.001400471065031215,0.0005931208058959767,-2.3611902518166485,0.09454636321346363,100.0,0.0
cn03_1_4/island01,helmholtz_pde,kin_spatial_shifted,u_prev,-0.022044906700330876,0.11444690572756851,-0.19262125577083727,0.09478436978210918,100.0,0.0
cn03_1_4/island01,helmholtz_pde,kin_spatial_shifted,lap_u,-0.013287791763261973,0.0007639418461511503,-17.39372156428895,0.09478436978210918,100.0,0.0
cn03_1_4/island01,helmholtz_pde,kin_spatial_shifted,grad_div_u,-0.000616371533749371,0.0005931208058959767,-1.0392006613530802,0.09478436978210918,100.0,0.0
cn03_1_4/island01,helmholtz_pde,kin_wrong_island,u_prev,-0.014522242964893014,0.11426232530726964,-0.1270956365174644,0.09518960912131777,100.0,0.0
cn03_1_4/island01,helmholtz_pde,kin_wrong_island,lap_u,-0.00991023050341499,0.000757380114821581,-13.084883415178625,0.09518960912131777,100.0,0.0
cn03_1_4/island01,helmholtz_pde,kin_wrong_island,grad_div_u,-0.00014647770178064887,0.0005891203624218063,-0.248637988302587,0.09518960912131777,100.0,0.0
cn03_1_4/island01,advective_pde,real,u_prev,-0.031822284469727735,0.11444690572756852,-0.27805281643418195,0.08607760992090695,0.01,0.01
cn03_1_4/island01,advective_pde,real,lap_u,0.0076314270785060945,0.0007639418461511505,9.989539278355188,0.08607760992090695,0.01,0.01
cn03_1_4/island01,advective_pde,real,grad_div_u,0.0029835811057901287,0.0005931208058959767,5.03030929977762,0.08607760992090695,0.01,0.01
cn03_1_4/island01,advective_pde,real,advect_v_u,-0.005729886118216652,0.0025841005690182468,-2.2173618886642457,0.08607760992090695,0.01,0.01
cn03_1_4/island01,advective_pde,real,advect_u_u,0.0006779864055813724,0.0036829558862815676,0.18408757164503797,0.08607760992090695,0.01,0.01
cn03_1_4/island01,advective_pde,real,cubic_u,-0.009012172583025831,0.08911944132920417,-0.10112465303429331,0.08607760992090695,0.01,0.01
cn03_1_4/island01,advective_pde,kin_time_shuffled,u_prev,-0.003688634126972794,0.11444690572756851,-0.032230090481898094,0.09443833158427972,0.01,0.0
