movie,method,neighbor_k,n_rows,n_directed_neighbor_pairs,mean_neighbor_distance_px,error_energy,frame_mean_energy_fraction,neighbor_dot,random_same_frame_dot,neighbor_dot_excess,neighbor_dot_excess_normalized,neighbor_cosine,random_same_frame_cosine,neighbor_cosine_excess,neighbor_component_corr,random_same_frame_component_corr,neighbor_component_corr_excess
1,constant_velocity,1,14446,14446,22.558321494344337,35.59734187200214,0.08895675043643285,12.469853385642406,3.025377102057764,9.444476283584642,0.26531408770756754,0.4460581454651139,0.16095366029269578,0.28510448517241815,0.34314885728577554,0.0850185489914306,0.2581303082943449
2,constant_velocity,1,13633,13633,22.810095317496152,28.722950642843564,0.14650592088221095,12.418931121780972,4.148583450835791,8.270347670945181,0.2879351698153536,0.5246654035746946,0.26796513195865335,0.25670027161604125,0.4222085793917044,0.1441927291655194,0.278015850226185
3,constant_velocity,1,12799,12799,23.55132968254307,30.868571207879523,0.05983896450486551,11.535066002520551,1.635894259443486,9.899171743077066,0.32068772073746643,0.4164742615033901,0.11995613964648871,0.2965181218569014,0.3651581559156521,0.05318447027381084,0.31197368564184125
4,constant_velocity,1,13260,13260,22.92339222223951,47.05353929305513,0.3087545265103765,24.45710615265656,14.47378214209794,9.98332401055862,0.2121694597377951,0.5722221412298946,0.33969340661688996,0.2325287346130046,0.5228624897022046,0.3097586874364859,0.21310380226571873
5,constant_velocity,1,14154,14154,22.65809537417309,29.11091688072845,0.06571867327971224,11.085191571082573,1.8363910084025739,9.24880056268,0.31770900932367213,0.4457837698400341,0.12285851534922061,0.3229252544908135,0.37243831211731265,0.0627879986109969,0.3096503135063158
6,constant_velocity,1,12960,12960,23.131100534142515,52.99342514624229,0.28654235842000286,28.481450591435365,15.19411207565193,13.287338515783436,0.2507356050135519,0.6033773324653899,0.35474632622303637,0.24863100624235357,0.5376132225730396,0.28671061473155823,0.25090260784148133
1,imm_cv_ca_turn,1,14446,14446,22.558321494344337,31.602345886356275,0.06981224685557567,11.054608294208052,2.069226792538975,8.985381501669076,0.28432640836161305,0.433678284475236,0.11260048080026427,0.32107780367497174,0.3457766050456109,0.06526247759226032,0.2805141274533506
2,imm_cv_ca_turn,1,13633,13633,22.810095317496152,24.861424418121448,0.11054467786930332,10.592117321630946,2.6030678052870937,7.989049516343853,0.3213431934543802,0.49821955972986254,0.18950149143942063,0.3087180682904419,0.4164050860056499,0.104319999664899,0.31208508634075094
3,imm_cv_ca_turn,1,12799,12799,23.55132968254307,28.369750533505414,0.05236046007132957,10.888418816108775,1.4156062866436976,9.472812529465077,0.33390538694647454,0.4164236681104168,0.09291776983253963,0.3235058982778772,0.3782873871399928,0.050041270247377284,0.3282461168926155
4,imm_cv_ca_turn,1,13260,13260,22.92339222223951,40.120018852628235,0.24680037614756128,19.586843609846632,9.859069749503115,9.727773860343516,0.2424668317349571,0.5366157368248528,0.27440002312178163,0.2622157137030711,0.49295367962023995,0.24526641581045683,0.24768726380978312
