method,neighbor_k,n_rows_mean,n_rows_std,n_directed_neighbor_pairs_mean,n_directed_neighbor_pairs_std,mean_neighbor_distance_px_mean,mean_neighbor_distance_px_std,error_energy_mean,error_energy_std,frame_mean_energy_fraction_mean,frame_mean_energy_fraction_std,neighbor_dot_mean,neighbor_dot_std,random_same_frame_dot_mean,random_same_frame_dot_std,neighbor_dot_excess_mean,neighbor_dot_excess_std,neighbor_dot_excess_normalized_mean,neighbor_dot_excess_normalized_std,neighbor_cosine_mean,neighbor_cosine_std,random_same_frame_cosine_mean,random_same_frame_cosine_std,neighbor_cosine_excess_mean,neighbor_cosine_excess_std,neighbor_component_corr_mean,neighbor_component_corr_std,random_same_frame_component_corr_mean,random_same_frame_component_corr_std,neighbor_component_corr_excess_mean,neighbor_component_corr_excess_std
constant_velocity,1,13542.0,658.8380681168932,13542.0,658.8380681168932,22.938722437489776,0.36125706815858327,37.391124173791844,10.259185921796856,0.15938619900560017,0.11161456195429169,16.741266470853073,7.660148358655892,6.719023339748247,6.354398423862339,10.022243131104824,1.7133986562162176,0.2757585087225678,0.04172660652266995,0.5014301756797529,0.07658288652821683,0.22769553001449747,0.10710753762099919,0.2737346456652554,0.033723480696964334,0.42723826949761484,0.08399991025717174,0.1569421748683003,0.11415687538861528,0.27029609462931453,0.03779005889183767
constant_velocity,4,13542.0,658.8380681168932,54168.0,2635.3522724675727,30.262445894508133,0.49104686626892197,37.391124173791844,10.259185921796856,0.15938619900560017,0.11161456195429169,14.449951768258737,7.321768159849843,6.717500146879542,6.297438757795213,7.732451621379197,1.3449868506346159,0.21239209910741208,0.030436417071120696,0.45170701442844835,0.08255222206181517,0.22793807406905808,0.10595805959546127,0.2237689403593903,0.025671141500524155,0.36890308884279904,0.08775231233479433,0.15682537304456826,0.11229072020905478,0.21207771579823073,0.028672640139468738
constant_velocity,8,13542.0,658.8380681168932,108336.0,5270.704544935145,39.09497421487964,0.6137798935685846,37.391124173791844,10.259185921796856,0.15938619900560017,0.11161456195429169,12.399871467721974,7.225418968335101,6.69996574222847,6.288408542038779,5.699905725493505,1.1145472259199691,0.15565271818221224,0.01845180764917417,0.39929094109005553,0.0904944967636381,0.22789327252150382,0.10649470621016098,0.17139766856855165,0.018877645563708245,0.3123800659140806,0.09805534241001251,0.15632168256127088,0.11202987151065735,0.1560583833528097,0.017667844406425083
constant_velocity,16,13542.0,658.8380681168932,216672.0,10541.40908987029,53.15649620692076,0.8453092077706186,37.391124173791844,10.259185921796856,0.15938619900560017,0.11161456195429169,10.422470231196256,7.010438694252367,6.709606131184747,6.2849143602608954,3.71286410001151,0.859690218788886,0.1007513937033286,0.011646028991923706,0.34616988997836096,0.0961042689851885,0.22775063184299812,0.10623845814760627,0.1184192581353629,0.013454287342285055,0.2574341301066437,0.10508592659045836,0.15659564968784997,0.11201193548669662,0.10083848041879369,0.01179519450012652
imm_cv_ca_turn,1,13542.0,658.8380681168932,13542.0,658.8380681168932,22.938722437489776,0.36125706815858327,32.83913641978004,8.534425414302415,0.1266831428920608,0.0881619781019016,14.3163394406708,5.7927075557276035,4.598464239110625,4.293980845451422,9.717875201560176,1.83795365903879,0.3019367888606666,0.03766116440562444,0.4819669667918453,0.060811299500464815,0.1721045210614791,0.08808281152636893,0.30986244573036614,0.03175264814322598,0.4215166301022329,0.06684641961013205,0.12297663424169498,0.08887186853638208,0.298539995860538,0.03274662171612703
imm_cv_ca_turn,4,13542.0,658.8380681168932,54168.0,2635.3522724675727,30.262445894508133,0.49104686626892197,32.83913641978004,8.534425414302415,0.1266831428920608,0.0881619781019016,12.285226051193808,5.4750078120492836,4.623855585080002,4.264890695388332,7.661370466113805,1.4585994101710837,0.2374259996054013,0.025224954373347937,0.4302855560443328,0.06765857281782989,0.17327605716590133,0.08625294213077773,0.25700949887843144,0.021739776929836335,0.3617417153161226,0.06895091052300414,0.12391031896735057,0.08783366286413712,0.23783139634877204,0.023666173858167577
imm_cv_ca_turn,8,13542.0,658.8380681168932,108336.0,5270.704544935145,39.09497421487964,0.6137798935685846,32.83913641978004,8.534425414302415,0.1266831428920608,0.0881619781019016,10.365567455041218,5.30647418706255,4.615651829531552,4.278713486011491,5.749915625509665,1.1821205247175206,0.1775795059522257,0.01663142619640365,0.3731150015023421,0.07250594613496311,0.17317238972092272,0.08651103673865657,0.1999426117814194,0.017660061969741788,0.3020813864391954,0.07715813847252367,0.12357399849186405,0.08844193634929301,0.17850738794733137,0.01611165119456443
imm_cv_ca_turn,16,13542.0,658.8380681168932,216672.0,10541.40908987029,53.15649620692076,0.8453092077706186,32.83913641978004,8.534425414302415,0.1266831428920608,0.0881619781019016,8.450688098925403,5.054600724449796,4.605214127423988,4.273520037391673,3.845473971501414,0.8815246402283407,0.11825527370051747,0.010624992113850056,0.3135796145587914,0.07762878032290245,0.17306938371822536,0.08670634944376933,0.14051023084056602,0.012926965283852499,0.242019451685342,0.0830690213652829,0.12315994122057318,0.08814930173186734,0.11885951046476884,0.010815522560302463
kalman_cv,1,13542.0,658.8380681168932,13542.0,658.8380681168932,22.938722437489776,0.36125706815858327,32.696790179758416,8.424879342458192,0.13407936694371003,0.09463051847832249,15.160102017064254,6.178024909937309,4.909510267158075,4.551735679382409,10.25059174990618,1.9891609927120155,0.3194031238594471,0.04062849661969665,0.5053020458989117,0.061499749120952886,0.17643878003099464,0.09245114796229946,0.3288632658679171,0.035150819762669754,0.4473170306941603,0.07067603334704954,0.13205090658340338,0.09441654557744814,0.3152661241107569,0.03807479317867879
kalman_cv,4,13542.0,658.8380681168932,54168.0,2635.3522724675727,30.262445894508133,0.49104686626892197,32.696790179758416,8.424879342458192,0.13407936694371003,0.09463051847832249,13.094283299397185,5.838529675398307,4.88022587119568,4.585048701255176,8.214057428201508,1.6012302651367487,0.25583617685139287,0.0333560349308625,0.4527099348028169,0.06730648922837044,0.17498824937080418,0.09201926383608441,0.27772168543201275,0.027783710085608437,0.3870763601958857,0.07351711244760646,0.13101152106363015,0.09568486967478448,0.25606483913225553,0.03189654743997435
