n,repeats,nearest_neighbour_scale,support_radius,edges,edges_per_cell,edge_fraction,graph_build_seconds,sparse_apply_seconds,sparse_total_seconds,dense_apply_seconds,measured_speedup,sparse_graph_bytes,dense_pair_bytes_conceptual,relative_mean_error,mean_row_cosine,relative_full_feature_error,full_feature_row_cosine
128,3,0.4613222885214644,4.982280716031815,6505,50.8203125,0.4001599409448819,0.0002483749995008111,0.001570166990859434,0.0018185419903602451,0.0010201669938396662,0.5609807193055661,156120,390144,0.2755704427436417,0.9435025653483027,0.5105999695544414,0.9607214548652334
256,3,0.49701385287809136,5.367749611083387,16415,64.12109375,0.25145526960784315,0.0008977079996839166,0.003589290994568728,0.0044869989942526445,0.004000542001449503,0.8915852235700877,393960,1566720,0.23887009237809287,0.9584681792910001,0.6429316135152271,0.9272326931988195
512,3,0.49616109645665885,5.358539841731916,35592,69.515625,0.13603840508806261,0.0014519160031341016,0.007146374991862103,0.008598290994996205,0.017068665998522192,1.9851230911416398,854208,6279168,0.29165698372980625,0.9513660681174665,0.7460420685581723,0.8939449757758697
1000,3,0.4705443883834968,5.081879394541766,70970,70.97,0.07104104104104104,0.003067291996558197,0.016437292011687532,0.01950458400824573,0.07020016699971166,3.599162482523797,1703280,23976000,0.309750263972742,0.9373878189853398,0.8058240615015436,0.8711708716833013
5000,1,0.4686207090510872,5.061103657751742,380166,76.0332,0.015209681936387278,0.01952379199792631,0.097357541002566,0.1168813330004923,1.952017417002935,16.70084834671344,9123984,599880000,0.3087723142919537,0.9393053382266718,0.8485130572893099,0.8501065386262134
10000,1,0.4718492742032993,5.095972161395633,780537,78.0537,0.0078061506150615065,0.037942875002045184,0.18776504100242164,0.22570791600446682,6.9237069160008105,30.675516563910804,18732888,2399760000,0.31220399553884165,0.9376017416539629,0.8564286315926457,0.8450736994047938
50000,1,0.47097828584463836,5.086565487122095,3982838,79.65676,0.0015931670633412668,0.20317337500455324,0.9412798330013175,1.1444532080058707,,,95588112,59998800000,,,,
