movie,representation,detrend,control,control_repeat,lag,geometry,metric,unit,first_value,e_folding,first_zero,integral_positive,exponential_xi,exponential_amplitude,exponential_rmse,n_points
10,gaussian_score,affine,real,0,0,current,vector_correlation,nearest_neighbour,0.15764098359054426,1.382885825975736,6.807636832610449,0.8329988477274558,0.7211527996395757,0.40625674744524426,0.005022238220136714,8
10,gaussian_score,affine,real,0,0,current,vector_correlation,px,0.15764098359054426,109.62954060875416,539.6790595841404,66.03845022558163,57.1727623960615,0.4062153562183584,0.005021522985829073,8
10,gaussian_score,affine,real,0,0,current,direction_correlation,nearest_neighbour,0.15744821131608622,1.5075265989535924,9.571815830837721,1.0460366891154484,0.8289701564277983,0.3552442797794154,0.006415777052312169,8
10,gaussian_score,affine,real,0,0,current,direction_correlation,px,0.15744821131608622,119.51041961609343,758.807141659076,82.92699378793893,65.71966097775103,0.3552175897610424,0.006415033735031142,8
10,gaussian_score,affine,real,0,1,endpoint,vector_correlation,nearest_neighbour,0.049462806631833035,1.3090055312096003,1.702293414295752,0.5059640137213406,,,,8
10,gaussian_score,affine,real,0,1,endpoint,vector_correlation,px,0.049462806631833035,103.88535566766937,135.09601928598317,40.15674618290862,,,,8
10,gaussian_score,affine,real,0,1,endpoint,direction_correlation,nearest_neighbour,0.043652754075562426,1.1870243155832638,1.5622877328123015,0.431683284463211,,,,8
10,gaussian_score,affine,real,0,1,endpoint,direction_correlation,px,0.043652754075562426,94.20435130843171,123.9854043462507,34.26153083079073,,,,8
10,gaussian_score,affine,real,0,1,start,vector_correlation,nearest_neighbour,0.04973503075355812,1.2802489319491452,1.741313414496144,0.4904478395417865,,,,8
10,gaussian_score,affine,real,0,1,start,vector_correlation,px,0.04973503075355812,101.60328019335778,138.19223892571762,38.92512714928468,,,,8
10,gaussian_score,affine,real,0,1,start,direction_correlation,nearest_neighbour,0.03845272271141826,1.2886259159257771,1.6122585638024,0.4991831871719349,,,,8
10,gaussian_score,affine,real,0,1,start,direction_correlation,px,0.03845272271141826,102.26805731808757,127.95075907856216,39.618394782225685,,,,8
10,gaussian_score,affine,real,0,2,endpoint,vector_correlation,nearest_neighbour,0.03221180871394612,2.412475190819594,,1.8466011792336448,1.510964031341418,0.050964878730404485,0.0024217532367862824,8
10,gaussian_score,affine,real,0,2,endpoint,vector_correlation,px,0.03221180871394612,191.48476328402592,,146.5731146432028,119.93225913905937,0.0509640669922588,0.002421726415950165,8
10,gaussian_score,affine,real,0,2,endpoint,direction_correlation,nearest_neighbour,0.036436350360016335,2.3198365269641883,,1.6575359948057131,1.4110387138590166,0.058531763769592265,0.0018418904292495618,8
10,gaussian_score,affine,real,0,2,endpoint,direction_correlation,px,0.036436350360016335,184.13199756254824,,131.56666121492864,112.00091544871677,0.058530585820348986,0.0018417894358288011,8
10,gaussian_score,affine,real,0,2,start,vector_correlation,nearest_neighbour,0.03444589461078029,2.180229767533269,,1.7303215990995435,1.3555564370417366,0.05669160080346014,0.0020844501220262535,8
10,gaussian_score,affine,real,0,2,start,vector_correlation,px,0.03444589461078029,173.05119226909147,,137.3428914184348,107.59473255723337,0.05669139808456801,0.0020844174710447664,8
10,gaussian_score,affine,real,0,2,start,direction_correlation,nearest_neighbour,0.03828260795989112,2.1195086842336344,,1.6006094938039952,1.3385157957287566,0.062411270138207284,0.001599797972228819,8
10,gaussian_score,affine,real,0,2,start,direction_correlation,px,0.03828260795989112,168.23169922116278,,127.04746918472414,106.24269675018823,0.0624108096403925,0.001599691020040283,8
10,gaussian_score,affine,real,0,3,endpoint,vector_correlation,nearest_neighbour,0.025943494767921866,2.4583996938769763,3.276924005101346,1.801955525724445,2.183793321352524,0.03890093667812766,0.00253390212262832,8
10,gaussian_score,affine,real,0,3,endpoint,vector_correlation,px,0.025943494767921866,195.00823481687013,259.9387595544019,142.9395424466901,173.2302683575648,0.03890036216205254,0.0025340229556560807,8
10,gaussian_score,affine,real,0,3,endpoint,direction_correlation,nearest_neighbour,0.030576999096484536,2.1863953243639784,3.2873450456486197,1.49477232382082,1.5512941287437942,0.05051223234327125,0.0033863856711993214,8
10,gaussian_score,affine,real,0,3,endpoint,direction_correlation,px,0.030576999096484536,173.4324382074297,260.7654270186855,118.57235183327643,123.05701117001347,0.05051122949365816,0.0033864975302514773,8
10,gaussian_score,affine,real,0,3,start,vector_correlation,nearest_neighbour,0.030058795858959406,2.330716248413754,3.2690586975832856,1.5456882764207585,1.7183568491870689,0.047056066713441265,0.0022829735086520365,8
10,gaussian_score,affine,real,0,3,start,vector_correlation,px,0.030058795858959406,184.88254259105813,259.3151975198735,122.6128266977267,136.31151762276397,0.04705505176428873,0.0022830446685126083,8
