variant,fit_mode,control,horizon,movies,component_rmse_mean,component_rmse_std,vector_rmse_mean,vector_r2_mean,gain_percent_mean,movies_improved,sign_flip_p
dense_start,refit,no_update,1,6,3.504166311529793,0.4400021001319743,4.9556395225763366,0.49987482753383133,0.0,0,1.0
dense_start,refit,no_update,2,6,4.725920363751878,0.5353964601933989,6.683460673113095,0.7194235414558064,0.0,0,1.0
dense_start,refit,no_update,4,6,6.540294724488888,0.678737196919583,9.249373501289389,0.8342795685177462,0.0,0,1.0
dense_start,refit,no_update,6,6,7.907653089072791,0.7336409101763481,11.18311024510824,0.8717515905144743,0.0,0,1.0
dense_start,refit,real,1,6,3.494142747340996,0.386759824485712,4.941464062157223,0.5021939192813271,0.13768983579547056,3,0.6875
dense_start,refit,real,2,6,4.414360415645594,0.5321816275155002,6.242848369008932,0.7550479520895278,6.64268313153881,6,0.03125
dense_start,refit,real,4,6,5.776460095594142,0.701330960112065,8.16914820969622,0.8704308036894686,11.753606134819576,6,0.03125
dense_start,refit,real,6,6,6.850383849746667,0.7925453893167738,9.68790574777335,0.9033953256431934,13.430326566975074,6,0.03125
dense_start,refit,stale_time,1,6,3.582515034527546,0.4269662161486964,5.066441349234373,0.47731396264426684,-2.307342623052744,0,0.03125
dense_start,refit,stale_time,2,6,4.792200843113608,0.5022690049179344,6.777195425947045,0.711312814111841,-1.4824039648914076,1,0.0625
dense_start,refit,stale_time,4,6,6.126775444471083,0.6735785172620876,8.664568927185455,0.8544242531489262,6.353656567921303,6,0.03125
dense_start,refit,stale_time,6,6,7.160479172842137,0.7638982527738716,10.12644675932343,0.8946109824167433,9.49265970638573,6,0.03125
dense_start,refit,wrong_cell,1,6,3.5479787456531446,0.39998232048558474,5.017599661114158,0.487127894264876,-1.3895569933328302,2,0.1875
dense_start,refit,wrong_cell,2,6,4.853714477399275,0.5426014580737013,6.864188841824693,0.704063783712685,-2.7244378754019904,0,0.03125
dense_start,refit,wrong_cell,4,6,6.74391839491319,0.7047064821031234,9.537340857623628,0.8237839078169941,-3.113060919565504,0,0.03125
dense_start,refit,wrong_cell,6,6,8.19585606220099,0.8025023907097539,11.590690798422388,0.8621691519656,-3.614212842276777,0,0.03125
field0p5_start,frozen_dense,real,1,6,3.5959936897552667,0.3680434090753784,5.085503046259967,0.4726187297827131,-2.9211940354279835,2,0.3125
field0p5_start,frozen_dense,real,2,6,4.646832547806761,0.521845887265078,6.571613611185043,0.7282617180314134,1.6010485891861472,5,0.34375
field0p5_start,frozen_dense,real,4,6,6.302226669437645,0.769057152337637,8.912694429068138,0.8451326338702643,3.5942693311910925,5,0.25
field0p5_start,frozen_dense,real,6,6,7.686554338693568,1.0959121645398153,10.870429393698197,0.8770607536392526,2.7959618684645022,5,0.5625
field0p5_start,refit,no_update,1,6,3.504166311529793,0.4400021001319743,4.9556395225763366,0.49987482753383133,0.0,0,1.0
field0p5_start,refit,no_update,2,6,4.725920363751878,0.5353964601933989,6.683460673113095,0.7194235414558064,0.0,0,1.0
field0p5_start,refit,no_update,4,6,6.540294724488888,0.678737196919583,9.249373501289389,0.8342795685177462,0.0,0,1.0
field0p5_start,refit,no_update,6,6,7.907653089072791,0.7336409101763481,11.18311024510824,0.8717515905144743,0.0,0,1.0
field0p5_start,refit,real,1,6,3.5031398186255824,0.3944266736404266,4.954187842389524,0.4997210593658596,-0.10020063204897145,3,0.9375
field0p5_start,refit,real,2,6,4.4145195486978235,0.5557441877929192,6.243073417129615,0.7551337965977352,6.680498053845984,6,0.03125
field0p5_start,refit,real,4,6,5.795472004772215,0.754080057060267,8.196035109502457,0.8696748391470548,11.528292827681467,6,0.03125
field0p5_start,refit,real,6,6,6.8896525590380415,0.8572636122167543,9.7434400890301,0.9023877926400564,12.99771882017839,6,0.03125
field0p5_start,refit,stale_time,1,6,3.5799282685624987,0.4218892839706375,5.0627831097239175,0.47797158914271815,-2.245209998132846,0,0.03125
field0p5_start,refit,stale_time,2,6,4.801426545072936,0.5041259112815561,6.7902425387803405,0.7102006534962619,-1.6754883345465172,0,0.03125
field0p5_start,refit,stale_time,4,6,6.139421098214176,0.7060234116458787,8.682452582214008,0.8538771659284753,6.198494861919969,6,0.03125
field0p5_start,refit,stale_time,6,6,7.189153686888928,0.8162582016627437,10.166998645982861,0.8938285033056103,9.178494529739188,6,0.03125
field0p5_start,refit,wrong_cell,1,6,3.5452698894873955,0.4026447500887897,5.01376875998604,0.4878752798103367,-1.299563878646815,2,0.1875
field0p5_start,refit,wrong_cell,2,6,4.837200909327657,0.5337070536881622,6.84083512989464,0.7060378875325322,-2.3851100440500352,0,0.03125
field0p5_start,refit,wrong_cell,4,6,6.71613154651602,0.6916502123016739,9.498044319764745,0.8252054317047136,-2.6996989981512356,0,0.03125
field0p5_start,refit,wrong_cell,6,6,8.150137573790323,0.7822010179370716,11.526035092060825,0.8636708798282484,-3.050891495376155,0,0.03125
field1_start,frozen_dense,real,1,6,3.560798103104618,0.3688757349499196,5.03572897028294,0.48302096932266814,-1.8686847004650105,2,0.40625
field1_start,frozen_dense,real,2,6,4.568101726539245,0.5016100053713466,6.460271415971751,0.7375679113949777,3.288481008867672,5,0.0625
field1_start,frozen_dense,real,4,6,6.132246893725771,0.6828939956926373,8.67230672492727,0.8537260741426403,6.210193447165643,5,0.0625
field1_start,frozen_dense,real,6,6,7.418189443746161,0.9045630807133355,10.490904119598747,0.8860762905739783,6.193223921783435,5,0.125
field1_start,refit,no_update,1,6,3.504166311529793,0.4400021001319743,4.9556395225763366,0.49987482753383133,0.0,0,1.0
field1_start,refit,no_update,2,6,4.725920363751878,0.5353964601933989,6.683460673113095,0.7194235414558064,0.0,0,1.0
field1_start,refit,no_update,4,6,6.540294724488888,0.678737196919583,9.249373501289389,0.8342795685177462,0.0,0,1.0
field1_start,refit,no_update,6,6,7.907653089072791,0.7336409101763481,11.18311024510824,0.8717515905144743,0.0,0,1.0
field1_start,refit,real,1,6,3.497240064870507,0.3874122747092207,4.945844330614434,0.5012627370132275,0.05073658531575235,2,0.8125
field1_start,refit,real,2,6,4.386846300208468,0.5380041531969522,6.203937533801049,0.7581841142169922,7.244664842197608,6,0.03125
field1_start,refit,real,4,6,5.713806459826418,0.7062764884344332,8.08054258826152,0.8733419642204813,12.744779048747292,6,0.03125
field1_start,refit,real,6,6,6.764044110893608,0.7917653057743639,9.565802918115603,0.9059149900945259,14.55459194793705,6,0.03125
field1_start,refit,stale_time,1,6,3.5856280470032744,0.4269659417890363,5.070843813697385,0.4762414270732343,-2.3953246042636755,0,0.03125
field1_start,refit,stale_time,2,6,4.796971357796102,0.49967931973282886,6.783941952510528,0.710696271022219,-1.5881738531677543,0,0.03125
field1_start,refit,stale_time,4,6,6.091481252423038,0.68241267627781,8.614655402118109,0.8561266594049975,6.9120724046625,6,0.03125
field1_start,refit,stale_time,6,6,7.100189827595952,0.7746407960649712,10.041184749609684,0.8964191695919305,10.280935133288958,6,0.03125
field1_start,refit,wrong_cell,1,6,3.5503606214416688,0.40298898550931916,5.020968142158178,0.48639909576770735,-1.4458708556045916,1,0.09375
field1_start,refit,wrong_cell,2,6,4.855367880673851,0.5413039651065878,6.866527107159673,0.7038501799214072,-2.758886601570524,0,0.03125
field1_start,refit,wrong_cell,4,6,6.7465780916719345,0.7013568188452256,9.541102236851644,0.823626058335292,-3.1563958843639632,0,0.03125
field1_start,refit,wrong_cell,6,6,8.195421285623627,0.7959698189972373,11.590075931490079,0.8621603299104396,-3.614285576959244,0,0.03125
field1p5_start,frozen_dense,real,1,6,3.5465057010566703,0.37262854128870876,5.015516461467844,0.48720790104559253,-1.4358935814015708,2,0.40625
field1p5_start,frozen_dense,real,2,6,4.564058463955084,0.5069807601913678,6.454553379188996,0.7380696656318991,3.3889618507390122,5,0.0625
field1p5_start,frozen_dense,real,4,6,6.147654840032433,0.680520646546071,8.694096851562465,0.8530335680075812,5.978454272550359,5,0.0625
field1p5_start,frozen_dense,real,6,6,7.451363323581624,0.8860006718431626,10.537819070378594,0.8851320031911861,5.769137149503751,5,0.125
field1p5_start,refit,no_update,1,6,3.504166311529793,0.4400021001319743,4.9556395225763366,0.49987482753383133,0.0,0,1.0
field1p5_start,refit,no_update,2,6,4.725920363751878,0.5353964601933989,6.683460673113095,0.7194235414558064,0.0,0,1.0
field1p5_start,refit,no_update,4,6,6.540294724488888,0.678737196919583,9.249373501289389,0.8342795685177462,0.0,0,1.0
field1p5_start,refit,no_update,6,6,7.907653089072791,0.7336409101763481,11.18311024510824,0.8717515905144743,0.0,0,1.0
field1p5_start,refit,real,1,6,3.496226497126237,0.38699596888550003,4.9444109293641025,0.5015563112473848,0.07866487083516645,2,0.78125
field1p5_start,refit,real,2,6,4.387309632715561,0.5380929983820202,6.204592784916469,0.7581327555291747,7.235046455873551,6,0.03125
field1p5_start,refit,real,4,6,5.713775739023606,0.7056475029759659,8.080499142485538,0.8733453734355198,12.745095254267262,6,0.03125
field1p5_start,refit,real,6,6,6.7608788736731436,0.7896953376928654,9.561326596710295,0.9060071151288142,14.594423857564024,6,0.03125
field1p5_start,refit,stale_time,1,6,3.5849244099328743,0.42744520250580187,5.069848720609436,0.47644258023381464,-2.3735508362634987,0,0.03125
field1p5_start,refit,stale_time,2,6,4.794533832678609,0.4983276435911159,6.780494771430746,0.7109833562280761,-1.5383938948610918,1,0.0625
field1p5_start,refit,stale_time,4,6,6.089972683711623,0.6797998627227732,8.612521963786653,0.8561940114148454,6.932330276120826,6,0.03125
field1p5_start,refit,stale_time,6,6,7.096572338484834,0.7701867999308679,10.036068847447,0.8965222050596865,10.323459505486541,6,0.03125
field1p5_start,refit,wrong_cell,1,6,3.5506171258052355,0.4030178093420893,5.021330894107942,0.4863371354450703,-1.453602363999037,1,0.09375
field1p5_start,refit,wrong_cell,2,6,4.856265299847791,0.5413552220474623,6.867796249526591,0.7037428937903333,-2.778040380557835,0,0.03125
field1p5_start,refit,wrong_cell,4,6,6.749403235241936,0.70309555368657,9.545097593203993,0.8234858227975478,-3.1975922410186493,0,0.03125
field1p5_start,refit,wrong_cell,6,6,8.200284818681,0.7998621294529236,11.59695400590087,0.862008952996383,-3.6718184423328997,0,0.03125
field2_start,frozen_dense,real,1,6,3.539804760871871,0.3743882497707797,5.006039900977851,0.4891492938283008,-1.2334739258594734,2,0.40625
field2_start,frozen_dense,real,2,6,4.5598765115835045,0.5108921119426164,6.448639205427909,0.7385534776178996,3.4858794345694495,5,0.0625
field2_start,frozen_dense,real,4,6,6.15023303977635,0.6894053227124414,8.697742976606824,0.8529071598370259,5.947728339442967,5,0.0625
field2_start,frozen_dense,real,6,6,7.46074902417094,0.8969417716676861,10.551092455444378,0.8848382302137016,5.65814600693091,5,0.15625
field2_start,refit,no_update,1,6,3.504166311529793,0.4400021001319743,4.9556395225763366,0.49987482753383133,0.0,0,1.0
field2_start,refit,no_update,2,6,4.725920363751878,0.5353964601933989,6.683460673113095,0.7194235414558064,0.0,0,1.0
field2_start,refit,no_update,4,6,6.540294724488888,0.678737196919583,9.249373501289389,0.8342795685177462,0.0,0,1.0
field2_start,refit,no_update,6,6,7.907653089072791,0.7336409101763481,11.18311024510824,0.8717515905144743,0.0,0,1.0
field2_start,refit,real,1,6,3.4962288165169557,0.38597485970577056,4.944414209477913,0.5015487066417539,0.07558809330260896,2,0.78125
field2_start,refit,real,2,6,4.389099356413671,0.5363604752140987,6.207123836443237,0.7579379305267913,7.19426897076188,6,0.03125
field2_start,refit,real,4,6,5.718493803555357,0.702744513102847,8.087171493334493,0.8731435039742875,12.67050740787441,6,0.03125
field2_start,refit,real,6,6,6.768898626888407,0.7859151338485532,9.572668240474206,0.9057925245246162,14.491590625502724,6,0.03125
field2_start,refit,stale_time,1,6,3.5854452433300232,0.4271097274051774,5.070585290263421,0.47628727815952737,-2.3896519988134157,0,0.03125
field2_start,refit,stale_time,2,6,4.7947320178626045,0.4973919840974822,6.780775047605814,0.7109558144158911,-1.5444354843437376,1,0.0625
field2_start,refit,stale_time,4,6,6.092988302810973,0.6782777189903568,8.616786693215905,0.8560546507223901,6.884638790091899,6,0.03125
field2_start,refit,stale_time,6,6,7.102647913815551,0.7678649088591406,10.044661008478924,0.8963503673061693,10.245680816949367,6,0.03125
field2_start,refit,wrong_cell,1,6,3.55090670152623,0.40216958700168776,5.021740416019906,0.48624753157617023,-1.4646766941739473,1,0.09375
field2_start,refit,wrong_cell,2,6,4.8576492972410135,0.5406263582562422,6.869753517410376,0.7035706200227027,-2.8089542734414743,0,0.03125
field2_start,refit,wrong_cell,4,6,6.751851481987191,0.7020621082292775,9.548559936955167,0.8233568962817737,-3.2364664655327275,0,0.03125
field2_start,refit,wrong_cell,6,6,8.203507702954344,0.7982777102369653,11.601511852550189,0.861899934763707,-3.7141532829285793,0,0.03125
field2p5_start,frozen_dense,real,1,6,3.5344625202006092,0.3762700882361068,4.998484831767092,0.4906956716260101,-1.071395894610942,3,0.5
