method_id,horizon,n_movies,component_rmse_movie_mean,component_rmse_movie_sd,vector_rmse_movie_mean,vector_rmse_movie_sd,r2_movie_mean,r2_movie_sd,cosine_movie_mean,cosine_movie_sd,magnitude_ratio_movie_mean,magnitude_ratio_movie_sd
baseline/constant_velocity,1,6,4.291707952817281,0.5763383282946157,6.06939156850179,0.815065518337808,0.2501360234361652,0.07994149973120124,0.6720659136772156,0.057447221152337705,1.0094749530156453,0.0035804956057487705
baseline/constant_velocity,2,6,4.849159558614095,0.5410056553087423,6.857747316360474,0.7650977385861656,0.7045065827594517,0.018470367966282562,0.8210990230242411,0.014740702268657018,1.010821541150411,0.003423969630236181
baseline/constant_velocity,4,6,5.946746826171875,0.6579547565845417,8.409969886144003,0.9304883598737783,0.863040553411583,0.009271618598392192,0.8926202456156412,0.00794459507281432,1.0111326575279236,0.004168812874782907
baseline/constant_velocity,6,6,6.656918843587239,0.7077032300137067,9.414305051167807,1.000843715145468,0.9091860748262638,0.006306917776780203,0.9203526675701141,0.0055808982458232514,1.0104352831840515,0.003964591629818951
baseline/imm_cv_ca_turn,1,6,4.024976015090942,0.5127995816057269,5.69217570622762,0.7252081736924246,0.34057988949087564,0.05714367870245418,0.6713196039199829,0.04340853297640264,0.8705650369326273,0.009891324294878026
baseline/imm_cv_ca_turn,2,6,5.233658949534099,0.5557763855223614,7.401511589686076,0.785986567778719,0.6556664350338092,0.017426848002845753,0.7839354276657104,0.013731190075219035,0.8957453668117523,0.009272710119365339
baseline/imm_cv_ca_turn,4,6,6.912796497344971,0.6697891507584932,9.776170412699381,0.9472248635858886,0.8147322810621035,0.007884767976122612,0.8581786950429281,0.008425492464903294,0.90276567141215,0.009744935478507572
baseline/imm_cv_ca_turn,6,6,8.089844226837158,0.7544771072974044,11.440766970316568,1.0669913077682531,0.865757791868747,0.006323312145982671,0.8896186351776123,0.007809875291170915,0.8995717068513235,0.00879576903399606
baseline/kalman_ca,1,6,4.417144934336345,0.5372295606620341,6.24678619702657,0.7597574283858318,0.2054858017963315,0.059475234517896915,0.6707070469856262,0.04200432301204681,1.1242465575536091,0.010809317722674204
baseline/kalman_ca,2,6,6.1265168984731035,0.6149183345543942,8.66420308748881,0.8696261672523711,0.5279516949646555,0.017083272092035938,0.781197985013326,0.013648989645131256,1.1673200726509094,0.0059181828224622824
baseline/kalman_ca,4,6,8.007211844126383,0.7349841032546294,11.323907693227133,1.0394244642381325,0.751354677557103,0.007026095688175945,0.8712176084518433,0.005414482457213586,1.1818143526713054,0.007012514701672289
baseline/kalman_ca,6,6,8.646100838979086,0.7629605623988048,12.22743272781372,1.0789893381797908,0.8466243068512594,0.005421125111673501,0.9154026110967001,0.0038839672312905235,1.1722107728322346,0.007488658872176124
baseline/kalman_cv,1,6,4.016905705134074,0.5054066476921807,5.680762529373169,0.7147530974542996,0.3430670733737975,0.055464504603149715,0.6699259976545969,0.04221216848553413,0.9393536547819773,0.009736357542348492
baseline/kalman_cv,2,6,5.314875682195027,0.552469502621266,7.516369342803955,0.7813098933034479,0.6447023799274866,0.02006469987854409,0.7815149426460266,0.01599432331616748,0.9713346461455027,0.006838126949583215
baseline/kalman_cv,4,6,7.162206490834554,0.7462654762301497,10.12889019648234,1.0553787545451918,0.8008506690334082,0.018663028769020127,0.8528505762418112,0.012569625248832712,0.9906732936700186,0.005240213979927302
baseline/kalman_cv,6,6,8.352275212605795,0.8930305756298436,11.811901092529297,1.2629357903919434,0.8565908321779953,0.017071295588413343,0.8840519984563192,0.01263989146429919,0.9968502819538116,0.004740868441097857
baseline/v52_rolling,1,6,3.615192691485087,0.4272402560517119,5.112654553519355,0.6042089032137047,0.46689213895015774,0.04705395985634521,0.6835402647654215,0.043536084327251603,0.74495397011439,0.024429974644620156
baseline/v52_rolling,2,6,4.983581437004937,0.48352588657237777,7.047848410076566,0.6838090004151328,0.6868772015307197,0.023846560842754928,0.8065248992707993,0.0177297398630796,0.7589848405785031,0.019604266684018355
baseline/v52_rolling,4,6,7.472856680552165,0.6836206598320891,10.568215317196318,0.9667854414434446,0.7825298013112291,0.022355791154015852,0.8603698247008853,0.017865803964497346,0.7783672312895457,0.020482544437825875
baseline/v52_rolling,6,6,9.468919912974041,0.8325068598406073,13.391075240241156,1.1773422821053068,0.8149114740899188,0.023407705630749617,0.8815531863106622,0.02095762696924787,0.7905444800853729,0.023939113984645367
v97/v97_direct,1,6,3.4989212618933787,0.4382588862231797,4.948221948411729,0.6197916427614292,0.5014000291245306,0.04368394223478359,0.7061002982987298,0.038068952961445315,0.7827773756451077,0.01709641350421098
v97/v97_direct,2,6,4.729126903745863,0.530882744561849,6.687995327843559,0.7507815696210588,0.7188329288550955,0.020149607824715535,0.8169042236275142,0.015503747629069423,0.8108252154456244,0.010289060782258856
v97/v97_direct,4,6,6.562779691484239,0.686957872888962,9.281172169579401,0.971505083700047,0.8328460116444094,0.013770516845598227,0.8798529737525516,0.010354886577493682,0.8325024512079028,0.010188690245409047
v97/v97_direct,6,6,7.940995878643459,0.7691499551321388,11.230264027913412,1.087742165471206,0.8703721526817612,0.011329376040581988,0.9052550494670867,0.010107662687879871,0.8417751491069794,0.011803633395679067
