outer_test_movie,objective_name,variant,correction_cosine_mean,legacy_correction_explained_r2,graph_correction_rms,legacy_correction_rms
1,h1_strict,self_memory,0.5869404431583018,0.38438550945148864,0.269878677364034,0.6844941653221022
1,h1_strict,forced_potential,0.855431083366248,0.8365190607653868,0.6382511082126611,0.6844941653221022
1,h1_strict,active_advective,0.8533568669672666,0.8336933871553462,0.6389874202366569,0.6844941653221022
1,h6_guard10,self_memory,0.9150354225447954,0.9048581557242298,1.0424796497611917,1.3102528736872812
1,h6_guard10,forced_potential,0.9577979832613306,0.9785770701513579,1.3034138583700792,1.3102528736872812
1,h6_guard10,active_advective,0.9567535702368404,0.9780273485032392,1.3040187525601907,1.3102528736872812
2,h1_strict,self_memory,0.46110271314602197,0.29060279431663916,0.43872657482151545,0.5481513448590797
2,h1_strict,forced_potential,0.8233638760178874,0.7276013009053393,0.6324754451315466,0.5481513448590797
2,h1_strict,active_advective,0.8218457975569878,0.7250431249950753,0.6324834179101672,0.5481513448590797
2,h6_guard10,self_memory,0.920521773950887,0.9489880008864029,1.5116159476391453,1.4810623642339993
2,h6_guard10,forced_potential,0.9489394313175173,0.9735663155366089,1.480958907791824,1.4810623642339993
2,h6_guard10,active_advective,0.9487102217732046,0.9732256564680958,1.4812550204094972,1.4810623642339993
3,h1_strict,self_memory,0.5629482765826761,0.2807051326565452,0.2806457612798104,0.9492157701709529
3,h1_strict,forced_potential,0.8685166411026343,0.8441900082846661,0.8665906543960528,0.9492157701709529
3,h1_strict,active_advective,0.8659987858396899,0.8413721019013508,0.8682344138250151,0.9492157701709529
3,h6_guard10,self_memory,0.9092306651800495,0.8477325648399043,1.0522098855551907,1.5182149221466654
3,h6_guard10,forced_potential,0.9515331293768241,0.9625186105277164,1.3211389276185783,1.5182149221466654
3,h6_guard10,active_advective,0.9511694332143654,0.9622399752728529,1.3216412822402108,1.5182149221466654
4,h1_strict,self_memory,0.2699964788080524,0.03014704588025585,0.2948821116965083,0.556556543109067
4,h1_strict,forced_potential,0.8556223074047511,0.8298744150432293,0.5322794005146964,0.556556543109067
4,h1_strict,active_advective,0.8522920960838241,0.7241684007187592,0.6704806711310888,0.556556543109067
4,h6_guard10,self_memory,0.8555155315762688,0.8709486740796855,1.4718231736297653,1.540011372395095
4,h6_guard10,forced_potential,0.9415271323504071,0.9666654876136545,1.5960076589491017,1.540011372395095
4,h6_guard10,active_advective,0.9411739364087923,0.9662036278077938,1.5957893227514404,1.540011372395095
5,h1_strict,self_memory,0.6060841436371927,0.32211940941312645,0.27126016047070084,0.9050087100005514
5,h1_strict,forced_potential,0.8292922902109913,0.7972979322968157,0.7227962696344683,0.9050087100005514
5,h1_strict,active_advective,0.8277793565693223,0.794031796914366,0.7231541926547052,0.9050087100005514
5,h6_guard10,self_memory,0.9092406355746607,0.874336554394995,1.280563529914411,1.6953185497650318
5,h6_guard10,forced_potential,0.9373943024975651,0.8930682933816456,1.288269513251349,1.6953185497650318
5,h6_guard10,active_advective,0.9366344068394288,0.9406516867182586,1.4624461153138353,1.6953185497650318
6,h1_strict,self_memory,0.17189043801818263,-0.008705711344868305,0.3021032220358802,0.8907734645965082
6,h1_strict,forced_potential,0.8594259231338474,0.830209100475934,0.7329581594267737,0.8907734645965082
6,h1_strict,active_advective,0.8564073470097677,0.8359769496132656,0.8461206363483069,0.8907734645965082
6,h6_guard10,self_memory,0.8643605014862722,0.8148325518114632,1.8023935537180178,1.5998813874643034
6,h6_guard10,forced_potential,0.9335657725075939,0.9343975983484661,1.7109266421241034,1.5998813874643034
6,h6_guard10,active_advective,0.9330817035794087,0.9335159644035839,1.7110823886189825,1.5998813874643034
