objective_name,variant,control,horizon,movies,component_rmse_mean,component_rmse_std,vector_rmse_mean,r2_mean,gain_percent_mean,movies_improved,delta_ci_low,delta_ci_high,sign_flip_two_sided_p,sign_flip_one_sided_p,holm_p
h1_strict,active_advective,real,1,6,3.4672302127593277,0.3859879379315648,4.903403990753994,0.5098655460224619,0.31157637299386165,3,-0.021830936034840393,0.05551469245067627,0.46875,0.234375,0.234375
h1_strict,active_advective,real,2,6,4.3507297005546315,0.5311644592042669,6.152860948743796,0.7620875804176516,7.349300206528052,6,0.3135746358400227,0.3747008182045197,0.03125,0.015625,0.0625
h1_strict,active_advective,real,4,6,5.675930559543354,0.7020682929972583,8.026977976394122,0.8749023690495125,12.528882781338703,6,0.7204550573787873,0.8969451076001486,0.03125,0.015625,0.0625
h1_strict,active_advective,real,6,6,6.698116409811996,0.7999639604002858,9.472567069109907,0.9076462822817911,14.38587244681887,6,0.9826339801912037,1.2480348145085005,0.03125,0.015625,0.0625
h1_strict,active_advective,stale_time,1,6,3.560898411547583,0.4391370432654299,5.035870827843403,0.4836326787828658,-2.2623403666745387,0,-0.09301501566065602,-0.06109055248363107,0.03125,1.0,1.0
h1_strict,active_advective,stale_time,2,6,4.757698670501922,0.5106540761789913,6.72840198550826,0.7153554388516271,-1.4508543361614414,0,-0.10014571442013127,-0.03216797659726082,0.03125,1.0,1.0
h1_strict,active_advective,stale_time,4,6,6.032824179237287,0.6980757324164952,8.531701773689706,0.8587748659483889,6.9763048605587725,6,0.39914948546368006,0.49400407242424677,0.03125,0.015625,0.0625
h1_strict,active_advective,stale_time,6,6,7.003803472049722,0.7972884132890479,9.90487385836849,0.8991186930531453,10.449108983666854,6,0.7085418119196674,0.9082168410216583,0.03125,0.015625,0.0625
h1_strict,active_advective,wrong_cell,1,6,3.5179762133221004,0.4031444473190638,4.975169672986059,0.4956653882543045,-1.117992002613452,1,-0.07162816517111274,0.0003299751743751263,0.15625,0.9375,1.0
h1_strict,active_advective,wrong_cell,2,6,4.817704611585701,0.5363960925583544,6.813263201211903,0.7082132129804997,-2.691556795620095,0,-0.15687716337381982,-0.09755072682451409,0.03125,1.0,1.0
h1_strict,active_advective,wrong_cell,4,6,6.684959844582856,0.6908910653341119,9.453960876128612,0.8266026474663319,-3.18386700142781,0,-0.2516037393300718,-0.16772576096960976,0.03125,1.0,1.0
