operating_point,condition,movies,scale_factor_mean,scale_factor_ratio_vs_real_mean,movies_expanded_vs_real,mean_step_scale,calibration_error_gain_mean,coverage_90_gain_mean,nll_gain_mean,source_path,source_sha256
h6_utility,delay_1frame,6,1.225,1.3368363719756908,6,2.9546325236801425,0.0056838879262683,0.0585731038675369,0.0330301135858819,<AIRI_SOURCE_ROOT>/outputs/lachance_foldlocal_semigroup_stress_v188_h6_2026-07-29/v157f_uncertainty_response.csv,3927debc3089f331cfe1fce73e7070a16148701e028256184378ae075d12b20e
h6_utility,missing_0.1,6,0.9467703528225728,1.0327402191993065,6,2.287393798972645,0.0126368386160789,-0.0137495594496554,-0.0005608151497011,<AIRI_SOURCE_ROOT>/outputs/lachance_foldlocal_semigroup_stress_v188_h6_2026-07-29/v157f_uncertainty_response.csv,3927debc3089f331cfe1fce73e7070a16148701e028256184378ae075d12b20e
h6_utility,missing_0.2,6,0.9771704676714692,1.0655034215121626,6,2.3594276413847166,0.010154503285411,-0.0052595528194388,0.0021516265187309,<AIRI_SOURCE_ROOT>/outputs/lachance_foldlocal_semigroup_stress_v188_h6_2026-07-29/v157f_uncertainty_response.csv,3927debc3089f331cfe1fce73e7070a16148701e028256184378ae075d12b20e
h6_utility,missing_0.4,6,1.0369322163733496,1.130385546485374,6,2.5017300620157443,0.0104211986834559,0.0113972928816799,0.0098518067813876,<AIRI_SOURCE_ROOT>/outputs/lachance_foldlocal_semigroup_stress_v188_h6_2026-07-29/v157f_uncertainty_response.csv,3927debc3089f331cfe1fce73e7070a16148701e028256184378ae075d12b20e
h6_utility,no_update,6,1.225,1.3368363719756908,6,2.9546325236801425,0.042620275177577,0.0625845951245508,0.0464881005516297,<AIRI_SOURCE_ROOT>/outputs/lachance_foldlocal_semigroup_stress_v188_h6_2026-07-29/v157f_uncertainty_response.csv,3927debc3089f331cfe1fce73e7070a16148701e028256184378ae075d12b20e
h6_utility,real_update_every_1,6,0.9166666666666666,1.0,0,2.2156679344963437,0.0160909968119813,-0.0216894694520189,-0.0029034328463689,<AIRI_SOURCE_ROOT>/outputs/lachance_foldlocal_semigroup_stress_v188_h6_2026-07-29/v157f_uncertainty_response.csv,3927debc3089f331cfe1fce73e7070a16148701e028256184378ae075d12b20e
h6_utility,tracking_noise_0.5px,6,0.936576903714438,1.0186363263307656,6,2.2563627006398552,0.0139020433387517,-0.0171976111404114,-0.0036279728535713,<AIRI_SOURCE_ROOT>/outputs/lachance_foldlocal_semigroup_stress_v188_h6_2026-07-29/v157f_uncertainty_response.csv,3927debc3089f331cfe1fce73e7070a16148701e028256184378ae075d12b20e
h6_utility,tracking_noise_1px,6,0.9846450642469216,1.0642669762620898,6,2.356281037146931,0.0102210646905985,-0.006336356515178,-0.0054699834198913,<AIRI_SOURCE_ROOT>/outputs/lachance_foldlocal_semigroup_stress_v188_h6_2026-07-29/v157f_uncertainty_response.csv,3927debc3089f331cfe1fce73e7070a16148701e028256184378ae075d12b20e
h6_utility,tracking_noise_2px,6,1.0980550998682646,1.1748638427821243,6,2.5999191522444716,0.0033907747967476,0.02140196243277,-0.0032983333063113,<AIRI_SOURCE_ROOT>/outputs/lachance_foldlocal_semigroup_stress_v188_h6_2026-07-29/v157f_uncertainty_response.csv,3927debc3089f331cfe1fce73e7070a16148701e028256184378ae075d12b20e
h6_utility,update_every_1,6,0.9166666666666666,1.0,0,2.2156679344963437,0.0160909968119813,-0.0216894694520189,-0.0029034328463689,<AIRI_SOURCE_ROOT>/outputs/lachance_foldlocal_semigroup_stress_v188_h6_2026-07-29/v157f_uncertainty_response.csv,3927debc3089f331cfe1fce73e7070a16148701e028256184378ae075d12b20e
h6_utility,update_every_2,6,1.070710829718558,1.1675206343552498,6,2.5831371148330167,0.0148966367610727,0.020427422797727,0.0133514545711671,<AIRI_SOURCE_ROOT>/outputs/lachance_foldlocal_semigroup_stress_v188_h6_2026-07-29/v157f_uncertainty_response.csv,3927debc3089f331cfe1fce73e7070a16148701e028256184378ae075d12b20e
h6_utility,update_every_3,6,1.1220647172388525,1.2230765300714512,6,2.705047586948767,0.0209404726169556,0.0342010148996765,0.0215860807884496,<AIRI_SOURCE_ROOT>/outputs/lachance_foldlocal_semigroup_stress_v188_h6_2026-07-29/v157f_uncertainty_response.csv,3927debc3089f331cfe1fce73e7070a16148701e028256184378ae075d12b20e
h6_utility,update_every_6,6,1.1735095116458876,1.278718051065883,6,2.8271259418994403,0.0343995181694281,0.048299296207806,0.0342231819119393,<AIRI_SOURCE_ROOT>/outputs/lachance_foldlocal_semigroup_stress_v188_h6_2026-07-29/v157f_uncertainty_response.csv,3927debc3089f331cfe1fce73e7070a16148701e028256184378ae075d12b20e
h6_utility,wrong_cell,6,1.225,1.3368363719756908,6,2.9546325236801425,0.1294317532978466,0.0750409670146854,0.0966199628949536,<AIRI_SOURCE_ROOT>/outputs/lachance_foldlocal_semigroup_stress_v188_h6_2026-07-29/v157f_uncertainty_response.csv,3927debc3089f331cfe1fce73e7070a16148701e028256184378ae075d12b20e
