test_movie,validation_movie,train_movies,method,horizon,component_rmse,vector_rmse,r2,n_rows,n_seeds,source_path,source_sha256,exact_key_contract_verified,method_family,source_fidelity,status,protocol_id
1,2,"3,4,5,6",gru_track,2,4.847842534383138,6.855885028839111,0.6861430879381784,14078.0,3,<AIRI_SOURCE_ROOT>/outputs/lachance_online_lomo_baselines_v117_production_2026-07-21/v117_seed_aggregated_within_movie.csv,8510dd42add12014fa4e3d35a32c42381a6aa6fb5ee4acd45719268ac4b3b7f4,True,neural_sequence,architecture-faithful causal adaptation,complete,mdck_bulk_online_outer_lomo_v188
1,2,"3,4,5,6",gru_track,4,6.747161865234375,9.541927655537922,0.814992139228198,13348.0,3,<AIRI_SOURCE_ROOT>/outputs/lachance_online_lomo_baselines_v117_production_2026-07-21/v117_seed_aggregated_within_movie.csv,8510dd42add12014fa4e3d35a32c42381a6aa6fb5ee4acd45719268ac4b3b7f4,True,neural_sequence,architecture-faithful causal adaptation,complete,mdck_bulk_online_outer_lomo_v188
1,2,"3,4,5,6",gru_track,6,8.056342283884684,11.393389383951822,0.8623412516205969,12627.0,3,<AIRI_SOURCE_ROOT>/outputs/lachance_online_lomo_baselines_v117_production_2026-07-21/v117_seed_aggregated_within_movie.csv,8510dd42add12014fa4e3d35a32c42381a6aa6fb5ee4acd45719268ac4b3b7f4,True,neural_sequence,architecture-faithful causal adaptation,complete,mdck_bulk_online_outer_lomo_v188
1,2,"3,4,5,6",hgbdt_v52,1,3.4044343630472818,4.814597129821777,0.4991165209491826,14446.0,3,<AIRI_SOURCE_ROOT>/outputs/lachance_online_lomo_baselines_v117_production_2026-07-21/v117_seed_aggregated_within_movie.csv,8510dd42add12014fa4e3d35a32c42381a6aa6fb5ee4acd45719268ac4b3b7f4,True,tree_regressor,exact local implementation,complete,mdck_bulk_online_outer_lomo_v188
1,2,"3,4,5,6",hgbdt_v52,2,4.777336756388347,6.756174087524414,0.6952087763159122,14078.0,3,<AIRI_SOURCE_ROOT>/outputs/lachance_online_lomo_baselines_v117_production_2026-07-21/v117_seed_aggregated_within_movie.csv,8510dd42add12014fa4e3d35a32c42381a6aa6fb5ee4acd45719268ac4b3b7f4,True,tree_regressor,exact local implementation,complete,mdck_bulk_online_outer_lomo_v188
1,2,"3,4,5,6",hgbdt_v52,4,6.790736198425293,9.603551546732584,0.812606844225809,13348.0,3,<AIRI_SOURCE_ROOT>/outputs/lachance_online_lomo_baselines_v117_production_2026-07-21/v117_seed_aggregated_within_movie.csv,8510dd42add12014fa4e3d35a32c42381a6aa6fb5ee4acd45719268ac4b3b7f4,True,tree_regressor,exact local implementation,complete,mdck_bulk_online_outer_lomo_v188
1,2,"3,4,5,6",hgbdt_v52,6,8.234306971232096,11.645068168640137,0.8562112890840332,12627.0,3,<AIRI_SOURCE_ROOT>/outputs/lachance_online_lomo_baselines_v117_production_2026-07-21/v117_seed_aggregated_within_movie.csv,8510dd42add12014fa4e3d35a32c42381a6aa6fb5ee4acd45719268ac4b3b7f4,True,tree_regressor,exact local implementation,complete,mdck_bulk_online_outer_lomo_v188
1,2,"3,4,5,6",position_imm,1,3.856944084167481,5.454543113708496,0.3571147844676959,14446.0,3,<AIRI_SOURCE_ROOT>/outputs/lachance_online_lomo_baselines_v117_production_2026-07-21/v117_seed_aggregated_within_movie.csv,8510dd42add12014fa4e3d35a32c42381a6aa6fb5ee4acd45719268ac4b3b7f4,True,classical_filter,exact causal adaptation,complete,mdck_bulk_online_outer_lomo_v188
1,2,"3,4,5,6",position_imm,2,5.296651363372803,7.490596294403076,0.6253438722673419,14078.0,3,<AIRI_SOURCE_ROOT>/outputs/lachance_online_lomo_baselines_v117_production_2026-07-21/v117_seed_aggregated_within_movie.csv,8510dd42add12014fa4e3d35a32c42381a6aa6fb5ee4acd45719268ac4b3b7f4,True,classical_filter,exact causal adaptation,complete,mdck_bulk_online_outer_lomo_v188
1,2,"3,4,5,6",position_imm,4,7.086954593658447,10.022467613220217,0.7959026121803007,13348.0,3,<AIRI_SOURCE_ROOT>/outputs/lachance_online_lomo_baselines_v117_production_2026-07-21/v117_seed_aggregated_within_movie.csv,8510dd42add12014fa4e3d35a32c42381a6aa6fb5ee4acd45719268ac4b3b7f4,True,classical_filter,exact causal adaptation,complete,mdck_bulk_online_outer_lomo_v188
