dataset,objective,control,horizon,outer_folds,component_rmse_macro,component_rmse_ci_low,component_rmse_ci_high,r2_macro,gain_percent_macro,gain_percent_ci_low,gain_percent_ci_high,positive_folds,sign_test_p_two_sided
HUVEC,h1_strict,real,1,18,1.0814487561386732,1.0059707863959404,1.171219051751406,0.588353044352547,3.2279653501862997,2.8198424818475436,3.562587696661007,18,7.62939453125e-06
HUVEC,h1_strict,real,6,18,1.7325232872842486,1.6758223811550848,1.794461154420654,0.9607618674528012,-7.231395848732093,-8.170548306015618,-6.243290093365249,0,7.62939453125e-06
HUVEC,h6_guard10,real,1,18,1.217147344847545,1.1408818881042992,1.3118941832335145,0.4806312169044046,-9.184850595353256,-10.583547761575806,-7.905224880293526,0,7.62939453125e-06
HUVEC,h6_guard10,real,6,18,1.439869238513619,1.3786875377366243,1.5153493092521322,0.9726065530228496,11.023769849425143,9.548074426004671,12.684562425313464,18,7.62939453125e-06
MDAMB231,h1_strict,real,1,17,23.582245039136794,22.737219384963662,24.377915477996787,0.2947856268919235,1.8317445747548995,1.7032819679069444,1.9541468471946823,17,1.52587890625e-05
MDAMB231,h1_strict,real,6,17,34.35770212904535,33.201437398573404,35.507587915888465,-0.1742466303850934,-2.7194530879005745,-2.988799620835474,-2.4507755125674184,0,1.52587890625e-05
MDAMB231,h6_guard10,real,1,17,24.911037544503216,24.045797682828137,25.726668110118485,0.2127759676023665,-3.722138415337902,-3.9603216283555582,-3.4762835150986917,0,1.52587890625e-05
MDAMB231,h6_guard10,real,6,17,31.337438805353393,30.2094350475697,32.401905878324285,0.0237379312947424,6.328989185624299,6.029195769910916,6.614321843105314,17,1.52587890625e-05
