scale,mean_coefficient_l2,std_coefficient_l2
m2,0.23419939322537195,0.03282090369396178
m4,0.07474262244159856,0.010189340204432594
m0p5,0.059299454905302196,0.002687527994104504
m1,0.05111883410180579,0.012175108281517154
