operator,control,horizon,component_rmse,r2,fields
equivariant,own_only,1,4.371531150167205,-0.5461402164697221,48
equivariant,own_only,6,5.095601057079665,0.7064583288227863,48
equivariant,real,1,4.355145798451681,-0.5338764196894409,48
equivariant,real,6,5.08845916258759,0.7072921283477464,48
equivariant,stale_time,1,4.341564577877741,-0.5240204835919536,48
equivariant,stale_time,6,5.10263377673192,0.7056486136599363,48
equivariant,wrong_cell,1,4.337998408849227,-0.5212011339460304,48
equivariant,wrong_cell,6,5.162743048150296,0.6986304065720851,48
free,own_only,1,4.370273782304796,-0.5452544071708383,48
free,own_only,6,5.0975027780482876,0.7062465929691691,48
free,real,1,4.355015819121648,-0.5337833892654057,48
free,real,6,5.088666886510802,0.7072685398780018,48
free,stale_time,1,4.341605224434648,-0.524049790624083,48
free,stale_time,6,5.102743796105263,0.7056362948830911,48
free,wrong_cell,1,4.338006333355289,-0.5212074766170584,48
free,wrong_cell,6,5.1627196616255695,0.6986326687479648,48
