source,annotation_kind,horizon,quality_stratum,fields,windows,component_rmse,baseline_rmse,gain_percent
automatic,automatic,1,observed_only,48,2557419,4.355145798451681,4.338749107303889,-0.3951517234385413
automatic,automatic,6,observed_only,48,2180938,5.088459162587589,5.14843164528357,1.2206845748980857
manual,manual,1,any_interpolated,48,980982,0.7603569777889478,0.769776117363715,1.374595904373978
manual,manual,1,observed_only,48,35742,4.517676443814229,4.454025422975229,-1.6703912436453576
manual,manual,6,any_interpolated,48,960717,1.2282627858810176,1.404716897842917,12.911824319167303
manual,manual,6,observed_only,48,27259,3.57700147477647,3.6749177789257232,2.9981324199211534
