objective_name,method,horizon,family,movies,component_rmse_mean,joint_nll_mean,joint_nll_std,energy_score_mean,calibration_error_mean,marginal_coverage50_mean,marginal_coverage90_mean,conformal_radial_coverage50_mean,conformal_radial_coverage90_mean
h1_strict,active_advective,1,gaussian,6,3.467230212697823,5.262681631702487,0.21771191970847514,2.787305223515643,0.09632797570844091,0.6373715431265191,0.9392416852696203,0.4985422047935442,0.8944318981048855
h1_strict,active_advective,1,student_t,6,3.467230212697823,5.028238451275092,0.29439278393813545,2.735793531484539,0.04400750089941797,0.505583336563426,0.9097788445942565,0.4985422047935442,0.8944318981048855
h1_strict,active_advective,6,gaussian,6,6.698116409210443,6.482177334857101,0.23388568222417971,5.587242537199313,0.039778710518451714,0.5182109256372894,0.8883038993778506,0.49977646515917207,0.8964226317244374
h1_strict,active_advective,6,student_t,6,6.698116409210443,6.462376737315268,0.2358166269707918,5.591259509402845,0.04813654351927896,0.4652275635090514,0.8987608167467247,0.49977646515917207,0.8964226317244374
h1_strict,forced_potential,1,gaussian,6,3.4695821417185946,5.264880776227436,0.2196084253291113,2.7904448962276107,0.09576993801560489,0.6363638204375827,0.9389940709100477,0.49877967575521703,0.8942116674205695
h1_strict,forced_potential,1,student_t,6,3.4695821417185946,5.031529081363817,0.2974202359947397,2.7392358859520933,0.04433677742940653,0.5048367663721874,0.9091412608361368,0.49877967575521703,0.8942116674205695
h1_strict,forced_potential,6,gaussian,6,6.7540134522059,6.53835434262482,0.2365744066272663,5.678689156907762,0.05363929774664205,0.532936840151537,0.8898704174628653,0.4996239891465235,0.8957571229471252
h1_strict,forced_potential,6,student_t,6,6.7540134522059,6.479584043563904,0.26023823225997383,5.642118488015847,0.050332834990900806,0.4632651607363098,0.8958225236791831,0.4996239891465235,0.8957571229471252
h1_strict,legacy_dense,1,gaussian,6,3.474373553543137,5.266519711809621,0.21449013282630405,2.795021664686448,0.09387054489055897,0.6341345724978509,0.9391526971767851,0.4996212081667029,0.8948368212560379
h1_strict,legacy_dense,1,student_t,6,3.474373553543137,5.036644352583784,0.28834866687784844,2.7450848551024145,0.04215423322113976,0.5014648799194897,0.909068820836568,0.4996212081667029,0.8948368212560379
