objective_name,variant,control,horizon,movies,component_rmse_mean,r2_mean,gain_percent_mean,movies_improved,delta_ci_low,delta_ci_high,sign_flip_two_sided_p,sign_flip_one_sided_p
h1_strict,active_advective,no_update,1,7,3.4203789387833106,0.48991344100311485,0.0,0,0.0,0.0,1.0,1.0
h1_strict,active_advective,no_update,2,7,4.3704799007272435,0.748103582534573,0.0,0,0.0,0.0,1.0,1.0
h1_strict,active_advective,no_update,4,7,5.60271543048183,0.8752971383007889,0.0,0,0.0,0.0,1.0,1.0
h1_strict,active_advective,no_update,6,7,6.4961001339053235,0.9137298694624304,0.0,0,0.0,0.0,1.0,1.0
h1_strict,active_advective,real,1,7,3.4083169105222737,0.4939370140285636,0.27116580267593104,3,-0.023589205013073804,0.05250421242913582,0.578125,0.2890625
h1_strict,active_advective,real,2,7,4.14594369099131,0.7732630667210524,5.159015783616198,7,0.21293002132540387,0.2351402032656878,0.015625,0.0078125
h1_strict,active_advective,real,4,7,5.041786089265775,0.8989644771722223,10.025277807295874,7,0.5380769951221555,0.5799732279923884,0.015625,0.0078125
h1_strict,active_advective,real,6,7,5.746386364826262,0.9324513092831989,11.549874930293685,7,0.7098272494476612,0.7843789986378102,0.015625,0.0078125
h1_strict,active_advective,stale_time,1,7,3.5387325054625927,0.4536000620673212,-3.4399010156220453,0,-0.148071393024312,-0.0965764416041076,0.015625,1.0
h1_strict,active_advective,stale_time,2,7,4.466608838344583,0.7369181886584901,-2.2353997341494414,0,-0.12214791613192119,-0.0657076625689796,0.015625,1.0
h1_strict,active_advective,stale_time,4,7,5.341481399957766,0.8866088110726306,4.671098272218086,7,0.23917126745644016,0.28307872376948634,0.015625,0.0078125
h1_strict,active_advective,stale_time,6,7,5.9859687796044385,0.9267080463963933,7.85359120469245,7,0.4701839134095766,0.5475707373798385,0.015625,0.0078125
h1_strict,active_advective,wrong_cell,1,7,3.4008739639275576,0.49618901535392534,0.4861363231734415,3,-0.01814791443312615,0.062487174328239616,0.421875,0.2109375
h1_strict,active_advective,wrong_cell,2,7,4.46733469853896,0.7368562203641807,-2.2208868160892448,0,-0.10685998279437545,-0.0881020840366249,0.015625,1.0
h1_strict,active_advective,wrong_cell,4,7,5.73846316047693,0.8691903027972069,-2.4299416461649317,0,-0.1569069605677533,-0.1167900489310891,0.015625,1.0
h1_strict,active_advective,wrong_cell,6,7,6.684718448560444,0.9086458207554301,-2.9084032233115793,0,-0.21367110540590734,-0.16689848161687917,0.015625,1.0
h1_strict,forced_potential,no_update,1,7,3.4203789387833106,0.48991344100311485,0.0,0,0.0,0.0,1.0,1.0
h1_strict,forced_potential,no_update,2,7,4.3704799007272435,0.748103582534573,0.0,0,0.0,0.0,1.0,1.0
h1_strict,forced_potential,no_update,4,7,5.60271543048183,0.8752971383007889,0.0,0,0.0,0.0,1.0,1.0
h1_strict,forced_potential,no_update,6,7,6.4961001339053235,0.9137298694624304,0.0,0,0.0,0.0,1.0,1.0
